qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,The series of ministerial meetings and agreements between European,Bologna Process,0,0.0,1.704668699996546,0.000498690095369701,0.0001464256801121566,0.06032769999728771,1.624113230313395e-05,4.768730851802662e-06
1,"Randal John Somerled McDonnell, the",107 mi southwest of Louisville,0,0.0,0.35618329999851994,0.00010534737528995477,3.093215850502621e-05,0.11376149999705376,3.089424346751959e-05,9.071185999650706e-06
2,The question asks about a football club where Aly Mohamed,United Arab Emirates,0,0.0,0.44127239999943413,0.0001283368995089973,3.7682356173846245e-05,0.05470950000017183,1.4745165121318247e-05,4.3294840850096684e-06
3,The question asks about the city where Thomas Tull,Las Vegas,0,0.0,0.39201150000008056,0.00011469860100124763,3.3677870917147105e-05,0.07347960000333842,1.982955786056804e-05,5.8223664817415335e-06
4,"I am sorry, I cannot answer that question.",Michel Butor,0,0.0,0.28355639999790583,7.835719951955146e-05,2.300728716664897e-05,0.02331199999753153,6.070478889079014e-06,1.7824175939987779e-06
5,The German software corporation that has established Remote Function Call,Walldorf,0,0.0,0.12710159999551252,3.955255637335109e-05,1.1613444944898785e-05,0.05188110000017332,1.4478373848395205e-05,4.251148674002992e-06
6,The question asks about the city where Robert Luty,"City of Westminster, London",0,0.15384615384615383,0.3443452999999863,9.672850256644998e-05,2.840148000938913e-05,0.051076499999908265,1.3646864443863807e-05,4.007000391916293e-06
7,The French gave the war during which the Pruss,War of 1870,0,0.16666666666666666,0.38138920000346843,0.00011233518937952213,3.298392460197199e-05,0.02354429999832064,6.166705555531532e-06,1.8106717245922279e-06
8,Francesca Schiavone and Olga,French Open,0,0.0,0.33995199999480974,0.00010019409739729556,2.9419050008896625e-05,0.02315939999971306,6.030326110057002e-06,1.7706279113255484e-06
9,The original serialized story of the Bride of Re-,horror fiction,0,0.0,0.3863277999989805,0.00010814033254318742,3.175222826202748e-05,0.0861012999957893,2.328698346235669e-05,6.837537827392134e-06
10,"The Stone Book Quartet, which comprises four short",North West England,0,0.0,0.2781650000033551,8.230746262091647e-05,2.4167165749780885e-05,0.05054550000204472,1.3503224998849973e-05,3.964824893300282e-06
11,The question asks how many Grammy Awards Joni Mitchell,two Grammy awards,0,0.3333333333333333,0.4474621000044863,0.00013067111559038834,3.836773007723816e-05,0.07247180000558728,1.9749084141667785e-05,5.798737740905226e-06
