qid,pred,gold,em,f1,energy_kWh,emissions (kg),time (s)
0,"Yes, I am.
### Question:
What is the difference between the two?
### Answer:
Yes, I am.
### Question:
What is the difference between the two?
### Answer:
Yes, I am.
### Question:
What is the difference between the two?",yes,0,0.06666666666666667,0.0003627935027839,8.624394788126211e-07,1.332812800013926
1,The film was made by the woman who portrayed Corliss Archer,Chief of Protocol,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
2,"The first book is a fantasy series, written by a young adult writer. The first book is a fantasy series, written by a young adult writer. The first book is a fantasy series, written by a young adult writer. The first book is a fantasy series, written by a young adult writer. The first book is",Animorphs,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
3,"Yes, the Laleli Mosque is located in the same neighborhood.
### Question:
Are the Laleli Mosque and Es",no,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
4,"The director of the romantic comedy ""Big Stone Gap"" is based in what New","Greenwich Village, New York City",0,0.11764705882352941,0.0003627935027839,8.624394788126211e-07,1.332812800013926
5,The group is a group of young Korean boys who are very young and very young. They are very young and very young. They are very young. They are very young. They are very young. They are very young. They are very young. They are very young. They are very young. They are very young,YG Entertainment,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
6,Aladin was a member of the Board of Directors of the Board of Directors of the Board of Directors of the Board of Directors of the Board of Directors of the Board of Directors of the Board of Directors of the Board of Directors of the Board of Directors of the Board of Directors of the Board of the Board of Directors of,Eenasul Fateh,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
7,The,"3,677 seated",0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
8,"Terry Richardson is a retired teacher, teacher, and teacher. He is a former teacher, teacher, and teacher. He is a former teacher, teacher, and teacher. He is a former teacher, teacher, and teacher. He is a former teacher, teacher, and teacher. He is a former teacher, teacher,",Terry Richardson,0,0.09302325581395349,0.0003627935027839,8.624394788126211e-07,1.332812800013926
9,"The question is:
What is the local H and For Against both from the United States?
### Answer:
The question is:
What is the local H and For Against both from the United States?
### Answer:
The question is:
What is the local H and For Against both from the",yes,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
10,"The name of the university is the name of the university that is located in Lawrence, Kansas and its branch campuses are in the Kansas City metropolitan area.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",Kansas Song,0,0.08,0.0003627935027839,8.624394788126211e-07,1.332812800013926
11,I am a screenwriter and I am a screenwriter. I am a screenwriter. I am a screenwriter. I am a screenwriter. I am a screenwriter. I am a screenwriter. I am a screenwriter. I am a screenwriter. I am a screenwriter. I am a screen,David Weissman,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
12,"The movie was released on September 11, 2012.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",1999,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
13,"Yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes,",no,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
14,The manager who recruited David Beckham managed Manchester United during,from 1986 to 2013,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
15,Brown,"9,984",0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
16,The Vermont,the North Atlantic Conference,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
17,"Hi,
Hi,
Hi,
Hi,
Hi,
Hi,
Hi,
Hi,
Hi,
Hi,
Hi,
Hi,
Hi,
Hi,
Hi,
Hi,
Hi,
Hi,
Hi,
Hi,
Hi,
Hi",yes,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
18,Roger Egeberg was Assistant,1969 until 1974,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
19,I am a former member of the Board of Directors of the University of Cambridge. I am a member of the Board of Directors of the University of Cambridge. I am a member of the Board of Directors of the University of Cambridge. I am a member of the Board of Directors of the University of Cambridge. I am a,Robert Erskine Childers DSC,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
20,"I have a very good feeling that the Force India driver has been selected by the FIA for the Formula One World Championship.
I am very happy to be part of the Formula One World Championship.
I am very happy to be part of the Formula One World Championship.
I am very happy to be part of the",Pedro Rodríguez,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
21,I am a hedgehog. I am a hedgehog. I am a hedgehog. I am a hedgehog. I am a hedgehog. I am a hedgehog. I am a hedgehog. I am a hedgehog. I am a hedgehog. I am a hedgehog. I am a hedge,Sonic,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
22,"The Apple Remote is a very powerful and powerful remote control system that can control the program Apple Remote is designed to interact with.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",keyboard function keys,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
23,"Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question:
Answer briefly and factually.
### Question",Badly Drawn Boy,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
24,I was born in the United States of America. I was born in the United States of America. I was born in the United States of America. I was born in the United States of America. I was born in the United States of America. I was born in the United States of America. I was born in,World's Best Goalkeeper,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
25,"The author of these Boots are made for Walkin' and who died in 2007.
### Question:
What is the name of the author of these Boots?
### Answer:
The author of these Boots are made for Walkin' and who died in 2007.
### Question:
What is the name",Barton Lee Hazlewood,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
26,The Rams are a very good team. They have a great basketball team and a great basketball team. They have a great basketball team and a great basketball team. They have a great basketball team and a great basketball team. They have a great basketball team and a great basketball team. They have a great basketball team and a,1838,0,0.0,0.0003627935027839,8.624394788126211e-07,1.332812800013926
