qid,original_pred,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,No one. It's a song by Lee Bowman.,No one. It's a song by Lee Bowman.,Hal Derwin,0,0.0,0.2857695000129752,8.245592061847407e-05,2.421075607463854e-05,0.0,0.0,0.0
1,It undermines fair markets and investor trust.,It undermines fair markets and investor trust.,"because it is seen as unfair to other investors who do not have access to the information, as the investor with insider information could potentially make larger profits than a typical investor could make",0,0.10526315789473685,0.33369820000370964,9.360207853083501e-05,2.7483497538944164e-05,0.0,0.0,0.0
2,2020.,2020.,2020 National Football League (NFL) season,0,0.2857142857142857,0.29211430001305416,8.245316756777864e-05,2.4209947722268594e-05,0.0,0.0,0.0
3,Muhammad Ali Jinnah,Muhammad Ali Jinnah,Haji Sahib,0,0.0,0.28716850001364946,8.05760630775661e-05,2.365879119405002e-05,0.0,0.0,0.0
4,Jon Rahs,Jon Rahs,Dustin Johnson,0,0.0,0.26132059999508783,7.409886535643405e-05,2.1756952576552394e-05,0.0,0.0,0.0
5,Hieroglyphics.,Hieroglyphics.,hieroglyphs,0,0.0,0.29358420000062324,8.291534593784731e-05,2.43456528080499e-05,0.0,0.0,0.0
6,Nickelous Nelson LSU 2022 (24.5),"Nickelous Nelson, LSU, 2022 (24.5)","Mike Czerwien, Waynesburg University, 2002–04",0,0.0,0.4190944000147283,0.00012266669986225212,3.601746880721254e-05,0.0,0.0,0.0
7,Israelites in the north.,Israelites in the north.,"the ruling city of the Northern Kingdom of Israel, Samaria",0,0.0,0.2641884000040591,7.655508168502538e-05,2.2478148264527592e-05,0.0,0.0,0.0
8,At the bottom of a map.,At the bottom of a map.,on the continent of Antarctica,0,0.25,0.27987149998079985,7.753163802650541e-05,2.2764885313842853e-05,0.0,0.0,0.0
9,Lorna May.,Lorna May.,Sitti Navarro,0,0.0,0.2344695000210777,6.562318442700285e-05,1.9268318139998065e-05,0.0,0.0,0.0
10,Los Angeles California.,"Los Angeles, California.",China,0,0.0,0.29219279999961145,8.221238734712605e-05,2.4139249691780392e-05,0.0,0.0,0.0
11,golden dust.,golden dust.,a little warmth,0,0.0,0.2599503000092227,7.292418928006338e-05,2.1412043493755107e-05,0.0,0.0,0.0
12,AirAsia X is a long-haul subsidiary of AirAsia offering international flights.,"AirAsia X is a long-haul subsidiary of AirAsia, offering international flights.",AirAsia X is the medium and long-haul operation of the brand AirAsia,0,0.5,0.41619690001243725,0.00012140807670672112,3.5647911133489524e-05,0.0,0.0,0.0
13,Alexis Tipton.,Alexis Tipton.,Mark Jackson,0,0.0,0.3129493999877013,9.012984492072596e-05,2.646397825715135e-05,0.0,0.0,0.0
14,Ratan Lal Bhatia,Ratan Lal Bhatia,Michael Madhusudan Dutta,0,0.0,0.32493040000554174,9.106611625481906e-05,2.6738886798822838e-05,0.0,0.0,0.0
15,South Korean won.,South Korean won.,The won,0,0.5,0.2955789999978151,8.283905837818632e-05,2.432325320975995e-05,0.0,0.0,0.0
16,United States especially New England and West Coast.,"United States, especially New England and West Coast.",Virginia,0,0.0,0.34003439999651164,9.502519329737873e-05,2.7901353336570014e-05,0.0,0.0,0.0
17,Golden State Warriors.,Golden State Warriors.,Miami Heat,0,0.0,0.23534040001686662,6.57585382380205e-05,1.9308060805870222e-05,0.0,0.0,0.0
18,Ulysses S. Grant.,Ulysses S. Grant.,George B. McClellan,0,0.0,0.30727079999633133,8.510818319729251e-05,2.4989514978305165e-05,0.0,0.0,0.0
19,cone.,cone.,"either on the surface of scales or leaves, which are often modified to form cones, or solitary",0,0.0,0.22110270001576282,6.188903657513825e-05,1.8171895443968234e-05,0.0,0.0,0.0
20,New York City.,New York City.,"Atlanta, Georgia",0,0.0,0.3537452000018675,9.869495156703724e-05,2.8978869925471986e-05,0.0,0.0,0.0
21,9:30 AM HK time Monday to Friday.,"9:30 AM HK time, Monday to Friday.",09:15,0,0.0,0.3691300000064075,0.00010807231074384826,3.17322556611614e-05,0.0,0.0,0.0
22,Jesus,Jesus,Jesus Christ,0,0.6666666666666666,0.2208478000247851,6.13630433932433e-05,1.8017453015477192e-05,0.0,0.0,0.0
23,1969,1969,"September 13, 1969",0,0.5,0.3964941999875009,0.0001096769396780059,3.220340775580545e-05,0.0,0.0,0.0
24,P!NK,P!NK,Spektor,0,0.0,0.26690219997544773,7.515311942067886e-05,2.2066503277080365e-05,0.0,0.0,0.0
25,Emperor Palpatine.,Emperor Palpatine.,Sheev Palpatine,0,0.5,0.31727240001782775,8.777808403161921e-05,2.5773452836963615e-05,0.0,0.0,0.0
26,Rufus Jones,Rufus Jones,Jason Flemyng,0,0.0,0.2627111000183504,7.394185049200869e-05,2.171084977939506e-05,0.0,0.0,0.0
27,Speaker of the House.,Speaker of the House.,the Speaker of the House of Representatives,0,0.7499999999999999,0.3126885999809019,8.772715508417736e-05,2.575849904935923e-05,0.0,0.0,0.0
