qid,original_pred,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
573173d8497a881900248f0c,84%,84%,['84%'],1,1.0,0.19294390000140993,5.433106917914241e-05,1.595272059670409e-05,0.027996500000881497,7.266864443388639e-06,2.1337010265206857e-06
57277e815951b619008f8b52,Books,Books,['books'],1,1.0,0.30156279999937396,8.410808868400682e-05,2.4695866637092913e-05,0.02262989999871934,5.814192778173795e-06,1.7071667148635587e-06
5727e2483acd2414000deef0,The executive,The executive.,['the executive'],1,1.0,0.33353920000081416,9.313587389015838e-05,2.734661025721078e-05,0.023148200001742225,5.930118889753228e-06,1.7412050081611068e-06
5728f5716aef0514001548cc,Anjiro,Anjiro,['Anjiro'],1,1.0,0.3110190999941551,8.691861491618611e-05,2.55210950080611e-05,0.023369199996523093,6.0072872228677925e-06,1.7638632196722956e-06
572826002ca10214002d9f16,Loops,Loops,['loops'],1,1.0,0.30960599999525584,8.677561609954316e-05,2.5479107611125426e-05,0.03690179999830434,9.65908722302831e-06,2.8361068908859135e-06
572692f4f1498d1400e8e437,22 billion,2.2 billion,['2.2 billion'],1,1.0,0.3443576999998186,9.638491677428414e-05,2.8300596146320907e-05,0.044384499997249804,1.1830111775359893e-05,3.4735644012053708e-06
57324e38e17f3d1400422823,Military Governor,Military Governor,['Military Governor of the U.S. Occupation Zone'],0,0.5,0.2979311000017333,8.341088484358267e-05,2.4491153234001896e-05,0.02495259999705013,6.41849502560997e-06,1.8846022973941252e-06
56f8fa3c9b226e1400dd1212,The brown men,The brown men.,['the brown men'],1,1.0,0.35038060000078985,9.795312060457447e-05,2.87610530804706e-05,0.01696490000176709,4.182242778390193e-06,1.227992592806459e-06
57342ac5d058e614000b6a8a,Target resources to high-risk communities,Target resources to high-risk communities.,['resources could be targeted to the communities at greatest risk'],0,0.42857142857142855,0.3399517000070773,9.408528932995724e-05,2.7625378178956792e-05,0.017763699994247872,4.364539480812151e-06,1.2815186581568244e-06
5729a5f51d046914007795a5,Honey ants,Honey ants,['honey ants'],1,1.0,0.2807985000035842,7.855485802286797e-05,2.3065323773044e-05,0.013547100003052037,3.3109488888941185e-06,9.721627667650006e-07
57270aeaf1498d1400e8f27f,Cossacks,Cossacks,['The Cossacks'],1,1.0,0.34276840000529774,9.595681900112479e-05,2.817489782551731e-05,0.005363999996916391,1.0927316664795702e-06,3.208485168042957e-07
572a1bcf3f37b319004786dc,Verdigris,Verdigris,['verdigris'],1,1.0,0.3119829000061145,8.725706706899e-05,2.5620471528910175e-05,0.014901199996529613,3.7063655551012034e-06,1.0882652416580117e-06
