qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration,retrieval_energy,retrieval_emissions
0,"### Instruction:
Answer using the context.

### Context:
Adam Collis. Ed Wood (film). Tyler Bates. Doctor Strange (2016 film). Hellraiser: Inferno. Sinister (film). Deliver Us from Evil (2014 film). Woodson, Arkansas. Conrad Brooks. The Exorcism: The Secret History of the Church of Jesus Christ of Latter-day Saints.
http://www.youtube.com/watch?v=XqZqZqZqZq
http://www.youtube.com/watch?v=XqZqZqZqZq
http",yes,0,0,1.0887401,0.000296352,8.70E-05,0.0217157,5.89E-06,1.73E-06
1,"### Instruction:
Answer using the context.

### Context:
A Kiss for Corliss. Lord High Treasurer. Meet Corliss Archer (TV series). Village accountant. Joseph Kalite. Charles Craft. Meet Corliss Archer. Janet Waldo. Kiss and Tell (1945 film). Secretary of State.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",Chief of Protocol,0,0.052631579,1.0887401,0.000296352,8.70E-05,0.0655377,1.78E-05,5.23E-06
2,"### Instruction:
Answer using the context.

### Context:
Animorphs. Science Fantasy (magazine). The Divide trilogy. Kazon. Victoria Hanley. Shadowshaper. Andre Norton Award. Etiquette &amp; Espionage. List of Square Enix companion books. Left Behind: The Kids in the Room.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",Animorphs,0,0.060606061,1.0887401,0.000296352,8.70E-05,0.0752449,2.05E-05,6.01E-06
3,"### Instruction:
Answer using the context.

### Context:
Esma Sultan. Esma Sultan (daughter of Abdul Hamid I). Laleli Mosque. Gevheri Kadın. Esma Sultan (daughter of Ahmed III). Djamaâ el Kebir. Sultan Ahmed Mosque. Esma Sultan (daughter of Abdul Hamid I).
### Context:
Ezraq al-Muhajir. Esma Sultan (daughter of Abdul Hamid I).
### Context:
Ezraq al-Muhajir. Esma Sultan (daughter of Abdul Hamid I).",no,0,0,1.0887401,0.000296352,8.70E-05,0.0547307,1.49E-05,4.37E-06
4,"### Instruction:
Answer using the context.

### Context:
Great Eastern Conventions. Big Stone Gap (film). I Love NY (2015 film). Just Another Romantic Wrestling Comedy. Hamish and Andy's Gap Year. Sex and the City (film). Nola (film). Kingston Morning. Clinton, NY (2015 film).
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###","Greenwich Village, New York City",0,0.045454545,1.0887401,0.000296352,8.70E-05,0.0678776,1.85E-05,5.42E-06
5,"### Instruction:
Answer using the context.

### Context:
SF9 (band). Baro (singer). List of awards and nominations received by Shinee. History (band). Seventeen discography. Warrior (B.A.P song). Cho Kyuhyun. BTS discography.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",YG Entertainment,0,0,1.0887401,0.000296352,8.70E-05,0.2024643,5.51E-05,1.62E-05
6,"### Instruction:
Answer using the context.

### Context:
Lil Ru. James P. Comer. Tragedy Khadafi. Amaruk Kayshapanta. Method Man. Eenasul Fateh. Criss Angel. Indriati Iskak. ELDee.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",Eenasul Fateh,0,0.16,1.0887401,0.000296352,8.70E-05,0.070167,1.91E-05,5.60E-06
7,"### Instruction:
Answer using the context.

### Context:
Dwyer Arena. Lewiston Maineiacs. Loan modification in the United States. 2007 Memorial Cup. Cedar Rapids Ice Arena. 2011–12 QMJHL season. Robins Center. 2006–07 QMJHL season. Case Gymnasium. 2006–07 QMJHL season.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###","3,677 seated",0,0,1.0887401,0.000296352,8.70E-05,0.0667577,1.81E-05,5.33E-06
8,"### Instruction:
Answer using the context.

### Context:
Gumbo (PJ Morton album). Lady Gaga x Terry Richardson. Piano Girl. Snoecks. James Joseph Richardson. Kenton Richardson. Amanda Lepore. Index Magazine. Madonna (book). Annie MortonGumbo is the fourth and first female artist to have been nominated for the Grammy for Best Female Artist.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",Terry Richardson,0,0.083333333,1.0887401,0.000296352,8.70E-05,0.0149188,4.04E-06,1.19E-06
9,"### Instruction:
Answer using the context.

### Context:
E.R. Hays House. Cresco Opera House. Ophur. Mendocino County GMO Ban. Wilford H. Fawcett House. Suffrajett. Hallelujah! I'm a Bumgarner.
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###
###",yes,0,0,1.0887401,0.000296352,8.70E-05,0.0224446,6.09E-06,1.79E-06
