qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,"The term ""Swedish Higher Education System"" refers",Bologna Process,0,0.0,4.940141200000653,0.0013861434540394142,0.00040700025902914056,0.0,0.0,0.0
1,Randal Malone was born in 198,107 mi southwest of Louisville,0,0.0,0.2783029999991413,7.880042914314518e-05,2.3137428510307403e-05,0.0,0.0,0.0
2,"I am sorry, I cannot answer that question.",United Arab Emirates,0,0.0,0.34863269999914337,9.769381072606075e-05,2.868491436090565e-05,0.0,0.0,0.0
3,Thomas Tull is not associated with producing The Hang,Las Vegas,0,0.0,0.30571880000206875,8.55908353858618e-05,2.5131231598757567e-05,0.0,0.0,0.0
4,"I am sorry, I cannot answer that question.",Michel Butor,0,0.0,0.3254966999957105,9.119122444924137e-05,2.677562114070366e-05,0.0,0.0,0.0
5,The German software corporation that has established Remote Function Call,Walldorf,0,0.0,0.33271500000410015,9.309443886790643e-05,2.7334444081523642e-05,0.0,0.0,0.0
6,"I am sorry, I cannot answer that question.","City of Westminster, London",0,0.0,0.3081347999977879,8.623296981899618e-05,2.5319775489980092e-05,0.0,0.0,0.0
7,The Prussians were a Germanic people who,War of 1870,0,0.0,0.3183190999989165,8.906848155063259e-05,2.615234011804446e-05,0.0,0.0,0.0
8,Francesca Schiavone and Olga,French Open,0,0.0,0.3205911999975797,8.984947610924098e-05,2.6381656201259123e-05,0.0,0.0,0.0
9,The question refers to a specific piece of information about,horror fiction,0,0.0,0.32851579999987734,9.197913719487018e-05,2.7006968546074135e-05,0.0,0.0,0.0
10,The Stone Book series is a collection of books that,North West England,0,0.0,0.3183318000010331,8.914256166157652e-05,2.6174091563939347e-05,0.0,0.0,0.0
11,"I am sorry, I cannot answer that question.",two Grammy awards,0,0.0,0.31741459999466315,8.849411491557408e-05,2.598369424768719e-05,0.0,0.0,0.0
12,"I am sorry, I cannot answer your question.",Daredevil,0,0.0,0.3360063000000082,9.41137122776545e-05,2.7633723741633906e-05,0.0,0.0,0.0
13,The question posed is a bit confusing because it refers,fashion model,0,0.0,0.35489769999549026,9.955404529229208e-05,2.9231117532088813e-05,0.0,0.0,0.0
14,"I am sorry, I cannot answer that question.","October 15, 2013",0,0.0,0.32143669999641133,9.008864111071666e-05,2.6451879970139353e-05,0.0,0.0,0.0
15,"I am sorry, I cannot answer that question.",1896,0,0.0,0.3312124000003678,9.286550342789277e-05,2.7267223922517025e-05,0.0,0.0,0.0
16,"I am sorry, I cannot answer that question.",Mercury Prize,0,0.0,0.17148550000274554,4.773430932243691e-05,1.4015776074397938e-05,0.0,0.0,0.0
17,"I am sorry, I cannot answer that question.",Adolfo Rodríguez Saá,0,0.0,0.3441573000018252,9.644110079637558e-05,2.831709293204527e-05,0.0,0.0,0.0
18,"I am sorry, I cannot answer that question.","January 30, 1930",0,0.0,0.22498520000226563,6.193400111296414e-05,1.818509795810119e-05,0.0,0.0,0.0
19,"I am sorry, I cannot answer that question.",West Bromwich Albion Football Club,0,0.0,0.2582232000058866,7.185749585578311e-05,2.1098840340992244e-05,0.0,0.0,0.0
