qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,The BolognaProcess,Bologna Process,0,0.0,38.12991260000854,0.010379725031670306,0.0030477009895549714,1.666811899995082,0.0004537151761116951,0.0001332201177769738
1,"According to context, Raldon Malone  was born 75  miles northwest  of Louisville.",107 mi southwest of Louisville,0,0.11764705882352941,26.86276829999406,0.0073125781744433176,0.002147123519211629,1.318400499993004,0.0003588736838878604,0.00010537270285803182
2,ENPPIs football Club,United Arab Emirates,0,0.0,17.7039730999968,0.004819365659446016,0.001415064989150033,1.208049300010316,0.000328835793889852,9.655295986948929e-05
4,"According to this context, neither Ann Marie MacDonald nor Michel Butcher had information about their lifespans in the text.",Michel Butor,0,0.09523809523809525,19.33756600000197,0.005264061783334424,0.0015456369274904715,1.0208767000003718,0.00027787372277776335,8.158944647350007e-05
5,"I cannot find this information in this context, so I am unable to answer this question from this provided context",Walldorf,0,0.0,20.197707999992417,0.0054982062611108025,0.001614386567239172,0.8832974000106333,0.00024043047277987674,7.059533731140507e-05
6,"This information is not mentioned in this context, so I cannot answer this question fromthe provided context.","City of Westminster, London",0,0.0,20.626191400006064,0.0056148563027808756,0.0016486374213171727,1.0788640999962809,0.000293663291666841,8.622558900917034e-05
7,"Not mentioned in this context, so I cannot answer this question from this provided context.",War of 1870,0,0.0,24.389325800002553,0.006639267905001906,0.001949425760533729,1.219521099992562,0.00033195882111265544,9.746994496575186e-05
8,"Not mentioned in this context, so I cannot answer this question from this provided context.",French Open,0,0.0,28.66788209999504,0.007803979183333771,0.002291408973449981,1.0508153999981005,0.0002860320883333366,8.398491058271362e-05
9,H .P.Lovecraft,horror fiction,0,0.0,15.18220690000453,0.00413287629000398,0.0012134975753520993,1.3706727999961004,0.00037310464499734934,0.00010955120605762269
10,Eastern Cheshire,North West England,0,0.0,13.434047199989436,0.003656997325553109,0.0010737697129626729,0.8623118000105023,0.00023470815944407757,6.891514829263563e-05
11,"Not mentioned in this context, so I cannot answer this question from the given context.",two Grammy awards,0,0.0,25.23809309999342,0.006870322356112914,0.002017268104829316,1.339624600004754,0.00036465007333309687,0.00010706876973596809
12,"According to context, it is not specified which show was released earlier, so I cannot answer this question from the provided context.",Daredevil,0,0.0,26.813790800006245,0.007299250710559379,0.002143210301400617,0.7320827999938047,0.00019926741166580338,5.8509015014071026e-05
13,"According to this passage, according to Wikipedia, Louisa Adams was born into the family of an American consul in England.",fashion model,0,0.0,26.222824299999047,0.007138384513334312,0.002095976673633708,1.1201952999981586,0.00030491782555473035,8.953015189137039e-05
14,"End of Production of skateboard Magazine came first, followed by Riley Hawks amateur Career.","October 15, 2013",0,0.0,24.38146649999544,0.0066371098338843795,0.0019487921064185816,1.2292702000122517,0.0003346103733330286,9.824849529355255e-05
15,The passage does not specify the name of an event in which Sinsimole participated at her first Olympics or the beginning of her career.,1896,0,0.0,28.047187200005283,0.007635018563887812,0.002241798656653525,0.6852251000091201,0.00018650362777916597,5.4761305256531254e-05
16,"According to this context, the song “Hold on” is by Neon Hit, a singer from Britain.",Mercury Prize,0,0.0,26.35928669999703,0.007175524766108881,0.0021068818165722743,0.6084569000086049,0.00016561368333358487,4.8627587439894573e-05
17,"According to this passage, Ricardo Rodriguez Saa' s grandson, Rodolfo Rodríguez Sáa, served in that capacity from  108 to  212",Adolfo Rodríguez Saá,0,0.08695652173913045,24.83988839999074,0.006761918582776626,0.0019854385249261446,0.584371499993722,0.000159056442776475,4.6702246597658615e-05
18,"Answer the following to the best of your ability. You must provide an answer. If you are unsure, make an educated guess based on what you know and the context provided. Context: Lego Superman: Lego Superman is a part of the 2012 Lego theme DC Universe Superheroes which features character Superman. The first set was released in December 2012; the second in 2013 based on the Superman film ""Man of Steel"". The characters from the first set featured in """" which were Superman, Wonder Woman and Lex Luthor. As of October 2012 there are four Lego Superman sets.
Lex Luthor: Man of Steel: Lex Luthor: Man of Steel (later collected as simply Luthor) is a five-issue monthly American comic book limited series written by Brian Azzarello and illustrated by Lee Bermejo, which features Superman's nemesis Lex Luthor as the protagonist.
Superman: A Tale of Five Cities: Superman og Fredsbomben (translation: Superman and the Peace Bomb) or Superman: A Tale of Five Cities is a large prestige format 48-page graphic novel published by Danish publisher Interpresse in 1990. In celebration of Superman's 50th anniversary in 1988, DC Comics incentived overseas publishers to produce an original story with the Man of Steel. Only the Interpresse editors from Denmark attended the call, comic book translator and writer Niels Søndergaard wrote the story featuring Clark Kent and Lois Lane in a cold war adventure where Superman needs to devise a Lex Luthor plan to control all Nuclear Bombs in Europe. The storyline presents the Man of Steel visiting five capitals from northern Europe and Scandinavia: Amsterdam, Copenhagen, Oslo, Stockholm and Helsinki. The art and colors are provided by Teddy Kristiansen and the lettering by Rebecca Løwe. It was dedicated to danish editors Henning Kure and Ove Høyer, pioneers of the super-heroes comics in Denmark.
Lex Luthor (Smallville): Lex Luthor is a fictional character from the television series ""Smallville"". He was a series regular from the pilot episode until the season seven finale, and has been played continuously by Michael Rosenbaum, with various actors portraying the character as a child throughout the series. The character of Lex Luthor, first created for comic books by Jerry Siegel and Joe Shuster in 1940 as nemesis of Superman, was adapted to television in 2001 by Alfred Gough and Miles Millar—this is only the third time the character has been adapted to a live action television series. The character has also appeared in various literature based on the ""Smallville"" television series, none of which directly continues from or into the television episodes.
Alternative versions of Lex Luthor: The fictional character Lex Luthor has appeared in a number of media, always as the archenemy of Superman. Each version of the work typically establishes its own continuity, and sometimes introduces parallel universes, to the point where distinct differences in the portrayal of the character can be identified. In addition, the DC Universe has been rewritten a number of times, establishing additional versions of the character. This article details and lists various versions of Lex Luthor depicted in works including DC Comics ""Multiverse"", ""Elseworlds"", television and film.
Batman v Superman: Dawn of Justice: Batman v Superman: Dawn of Justice is a 2016 American superhero film featuring the DC Comics characters Batman and Superman. Directed by Zack Snyder and distributed by Warner Bros. Pictures, the film is the second installment in the DC Extended Universe (DCEU) following 2013's ""Man of Steel"". It was written by Chris Terrio and David S. Goyer, and features an ensemble cast that includes Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg, Diane Lane, Laurence Fishburne, Jeremy Irons, Holly Hunter and Gal Gadot. ""Batman v Superman: Dawn of Justice"" is the first live-action film to feature Batman and Superman together, as well as the first live-action cinematic portrayal of Wonder Woman, Aquaman, Flash and Cyborg. In the film, criminal mastermind Lex Luthor manipulates Batman into a preemptive battle with Superman, whom Luthor is obsessed with defeating.
Superman IV: The Quest for Peace: Superman IV: The Quest for Peace is a 1987 American superhero film directed by Sidney J. Furie, based on the DC Comics character Superman. It is the fourth and final film in the original ""Superman"" film series, and the first film in that series not to be produced by Alexander and Ilya Salkind, but rather by Golan-Globus' Cannon Films, in association with Warner Bros. Gene Hackman returned as Lex Luthor, who creates an evil solar-powered version of Superman called Nuclear Man.
It's Superman!: It's Superman! is a novel by Tom De Haven based on the comic book superhero Superman. It was released on September 15, 2005 in hardcover and August 29, 2006 in paperback. The premise tells the tale of Clark Kent's beginnings into becoming Superman, set in the 1930s, where Clark befriends a wrongly convicted photographer named Willi Berg, and is then taken from Kansas to Hollywood and finally in New York where he meets Lois Lane, fights Lex Luthor, as he debuts in his superhero persona. Despite the setting, this is not about the Golden Age Superman also known as the Superman of Earth-2; as Perry White, the Daily Planet, Lex Luthor's position and his trademark powers (including flight) are not part of that alternate Earth. Rather, it's a Superman period piece set in the 1930s.
Superman Returns: Superman Returns is a 2006 American superhero film directed and produced by Bryan Singer. It is based on the DC Comics character Superman and serves as an homage sequel to the motion pictures ""Superman"" (1978) and ""Superman II"" (1980), while ignoring the events of ""Superman III"" (1983) and """" (1987). The film stars Brandon Routh as Clark Kent/Superman, Kate Bosworth as Lois Lane, Kevin Spacey as Lex Luthor, with James Marsden, Frank Langella, and Parker Posey. The film tells the story of the title character returning to Earth after a five-year absence. He finds that his love interest Lois Lane has moved on with her life, and that his archenemy Lex Luthor is plotting a scheme that will destroy Superman and the world.
Lionel Luthor: Lionel Luthor is a fictional character portrayed by John Glover in the television series ""Smallville"". The character was initially a recurring guest in season one, and became a series regular in season two and continued until being written out of the show in season seven. The character returned to the show in season ten again as a recurring guest role as a parallel universe (Earth-2) version of the character. In ""Smallville"", Lionel Luthor is the father of Lex Luthor (Michael Rosenbaum), and founder and CEO of LuthorCorp. Lex Luthor's father was first introduced in ""Superman"" comics by Jerry Siegel in 1961 and has since appeared in other Superman-related media under different names. ""Smallville"" is the first appearance in which the character has been an intricate part of a Superman adaptation. Series developers Alfred Gough and Miles Millar created Lionel Luthor for ""Smallville"" to provide an antithesis to the parenting style of Jonathan Kent (John Schneider) and Martha Kent (Annette O'Toole).
Question: What is the birthday of the man who played Lex Luthor in Superman IV: The Quest for Peace?
Answer:The passage does not specify the birthdate of any actor who portrayed LexLuthorin SupermanIV:  The Quest For Peace, so I cannot answer this question fromthe provided context.","January 30, 1930",0,0.0,32.56926380000368,0.008865992480002508,0.002603237944381497,0.9612628000031691,0.0002616545372214912,7.682715963846318e-05
19,Westbromwich Albion,West Bromwich Albion Football Club,0,0.28571428571428575,19.186132700007875,0.005222836897224867,0.0015335324521014767,0.8042379999969853,0.00021890944277838572,6.427631978139718e-05
20,"Not mentioned in this context, so I cannot answer this question from the given context.",John D Rockefeller's Standard Oil Company,0,0.0,21.362335899990285,0.005815253078888862,0.0017074780409852693,0.7001985999959288,0.00019058672944318258,5.5960187976825674e-05
21,Call me By Your Names is directed and co -written by  Luca Guagnina.,Luca Guadagnino,0,0.13333333333333336,20.164343000011286,0.005489118581115003,0.00161171823727557,0.620237700000871,0.00016881943944390513,4.956886344093356e-05
22,"Interviews by Ehuda Barak, Benjamin Netanyah, Yaser Arafat and Alexander Dyukov.",Palestinian,0,0.0,25.492970799998147,0.0069396912344420955,0.0020376362358234513,0.847939100000076,0.00023080667055562823,6.776959082268488e-05
23,"There is no scientific evidence or record to support the existence of a true, identifiable creature in connection with ""creature from Black lagoon.""",Eucritta melanolimnetes,0,0.0,24.821831599998404,0.00675700336277805,0.0019839953151293693,0.8146272000012686,0.0002217330016660627,6.510537480836401e-05
24,"According to this passage, Ezo died in 966.",1002,0,0.0,20.20259640000586,0.005499543637222976,0.0016147792484025017,0.5816441000060877,0.0001583143533321466,4.6484353857059307e-05
25,"This context does not mention anything about the release date of either board games, so I cannot answer this question fromthe given context.",San Marco,0,0.0,24.846105000004172,0.006763605674444341,0.0019859338897772827,0.7363086999976076,0.00020041763222300988,5.8846743452898526e-05
26,"Not mentioned in context, so I cannot answer this question from provided context.",Battle of the Rosebud,0,0.0,21.01239020000503,0.005719983902777475,0.0016795050492708602,0.5688223999895854,0.00015482017610855917,4.54583914785266e-05
27,"According to this passage, BeeCliff overlooks WATAUGA RIVER, approximately 5.5miles long",78.5 mi long,0,0.14285714285714288,22.480162799998652,0.0061195432894463,0.0017968239121907382,0.6770105000032345,0.00018427079722484145,5.4105700231430854e-05
28,"This question cannot be answered from the given context, so I cannot give an accurate answer to this question from this context.",1952,0,0.0,22.778765000010026,0.006200827368892917,0.0018206905915689156,0.4613184000045294,0.00012555262222247417,3.686483503379284e-05
29,The lead role in 'Bangalore Natkal' was played  by Arya. And the photographer was Permal Venkateshan aka 'Pevee'.,Ramanaidu Daggubati,0,0.0,26.138419499999145,0.007115411260554457,0.0020892312535944653,0.5913039000006393,0.0001609442666654003,4.725655056205345e-05
30,"Not mentioned in this context, so I cannot answer this question from the provided context.",Bonnie Franklin,0,0.0,19.11225910000212,0.0052027306216681606,0.0015276288356064858,0.42652839999936987,0.00011608700333462266,3.4085534429659886e-05
31,"Not mentioned in this context, so I cannot answer this question from this provided context.","Bell's Brewery, Inc.",0,0.0,27.380218000005698,0.007453452401670074,0.0021884870929490623,0.6023718000069493,0.00016395652944467857,4.81410129370388e-05
32,"The company that designed, built, owned, operated, maintained, repaired, inspected, tested, documented, certified, surveyed, audited, appraised, evaluated, assessed, analyzed, prepared, implemented, delivered, installed, commissioned, started, finished, completed, achieved, accomplished, fulfilled, exceeded, surpassed, excelled,","Vernier, Switzerland",0,0.0,41.323443800007226,0.011249072564446155,0.0033029593251875647,0.4309246000048006,0.00011728308722215136,3.443672928660354e-05
33,In the section in tomorrowland of Magic kingdom theme Park.,Tomorrowland,0,0.18181818181818182,21.738621199998306,0.005917677272781212,0.0017375518932431701,0.3370629999990342,9.173316944668638e-05,2.693474735069072e-05
34,"This question cannot be answered from the given context, so I cannot give an accurate answer to this question from this context.",Cuyler Reynolds,0,0.0,24.366293200000655,0.006633002240556864,0.0019475860324415966,0.6957327999989502,0.0001893718700013576,5.560348023054885e-05
35,"This context does not mention anything about the type students that attend a hospital adjacent, so I cannot answer this question fromthe given context.",girls aged 11 to 18,0,0.0,29.169221000003745,0.007940454161111119,0.002331480836967794,0.6655358999996679,0.00018115233555573567,5.319005567573943e-05
36,Gambit,Ted,0,0.0,13.701869099997566,0.003729929437778628,0.0010951840827963483,0.33500989999447484,9.117033166629779e-05,2.6769486589445566e-05
