qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,"Yes! The question is ""Were he born in England?"" It's a simple one that can be answered by asking questions about whether or not they were raised here at home (or if their parents lived there). In fact it may seem like this would have been impossible for them to live with any other family member who was",yes,0,0.0,1.5470607999886852,0.0004211142405581389,0.00012364781183979017,0.0,0.0,0.0
1,The female character is a male-dominated role model with no gender roles or responsibilities whatsoever (except for her own personal life). She has been married since she first met him at age 13 years old; he had two children when they were three months older than his mother's.[1] In addition there have also been several,Chief of Protocol,0,0.0,1.5062006999796722,0.0004099972188841396,0.0001203836253749875,0.0,0.0,0.0
2,"The book is written by David Siegel (The Dark Knight Trilogy), who was born into one man's family as well as his mother-inlaw; he grew up with two sisters from New York City where they were raised at home for their parents' sake. He also had three children when she left school after her",Animorphs,0,0.0,1.5060445999843068,0.00040995488499967096,0.00012037119527484582,0.0,0.0,0.0
3,Yes! The El-Mulam mosque is a small building that houses several mosques with many different entrances (the main entrance) which have two floors for each one or more rooms; this will be used as flooring so it can accommodate all guests who want their own views from inside but not everyone else's view at,no,0,0.0,1.4914130000106525,0.0004059692461111505,0.00011920092963221176,0.0,0.0,0.0
4,Yes! He's a guy who has been married for over 20 years and he was born with two children (and his wife) at age 12 when they were just three months old; that means there isn't much left between them or their parents if it comes down either way as well. So let me give him some,"Greenwich Village, New York City",0,0.0,1.4727425999881234,0.0004008883449997585,0.00011770907244931213,0.0,0.0,0.0
5,"The band has been in development for over two years now and have released their first single ""The Way I Love My Life"" (which they've since announced). They're currently working with members from other countries as well as some international artists including JYP Entertainment's Yoo Jae-Yoon & Young Jin Hyun Kim",YG Entertainment,0,0.0,1.4995826000231318,0.0004081943672218282,0.00011985427100591872,0.0,0.0,0.0
6,"The first person who answered this question is someone named John Doe (aka ""John"") or whoever he has been with for over 20 years now! He's not just one guy but also another man in many ways that have made him more successful than anyone else ever before!! This may be because there were people like me out",Eenasul Fateh,0,0.0,1.5040701999969315,0.0004094190999985181,0.00012021387776660548,0.0,0.0,0.0
7,No! There is no one in town that has a stadium for them and they have not been able or willing to play any other game since it was first introduced by Bill Clinton at age 18 (he had never attended college). This means there will be only two arenas available when we get into this area – Portland State University,"3,677 seated",0,0.0,1.497982500004582,0.00040775963944357095,0.00011972662597910548,0.0,0.0,0.0
8,"The oldest person in America has been born at age 18 years old and was raised by a family member who had lived with her for more than 20 months before she died from cancer (she would have never met anyone else). She did not live as long as they were allowed into their home country until after birth; however,",Terry Richardson,0,0.0,1.495698300015647,0.00040714043222493874,0.00011954481399013593,0.0,0.0,0.0
9,Yes! The local h is a small town in North Carolina that has been experiencing some kind or other change since its founding as part (and it's not just about being able for free) but also because there have been many changes over time with regards how much money we can spend locally at home while living here - especially,yes,0,0.0,1.4950868999876548,0.0004069746311097535,0.00011949613136884513,0.0,0.0,0.0
