qid,original_pred,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,Yes both Scott Derrickson and Ed Wood were American.,"Yes, both Scott Derrickson and Ed Wood were American.",yes,0,0.0,26.717407600022852,0.008592461619217534,0.0025229236516093275,0.0,0.0,0.0
1,"The woman who portrayed Corliss Archer in ""Kiss and Tell"" was Ann Miller who later served as the U.S. Ambassador to Luxembourg.  Answer: U.S. Ambassador to Luxembourg",U.S. Ambassador to Luxembourg,Chief of Protocol,0,0.0,61.091423799982294,0.019655768960770995,0.005771338482418908,0.0,0.0,0.0
2,"""The Expanse"" series by James S.A. Corey particularly its young adult adaptation features companion books that explore various alien species and worlds fitting the description of enslaved worlds and alien narratives.  Answer: The Expanse",The Expanse,Animorphs,0,0.0,89.3122594000306,0.02874147417155848,0.00843908860848037,0.0,0.0,0.0
3,The Laleli Mosque and Esma Sultan Mansion are located in different neighborhoods: Laleli and Cibali respectively.  Answer: No they are in different neighborhoods (Laleli and Cibali).,"No, they are in different neighborhoods (Laleli and Cibali).",no,0,0.0,49.70535619999282,0.015991669905036105,0.004695483555249064,0.0,0.0,0.0
4,"The director of ""Big Stone Gap "" Michael Lehmann is based in Manhattan New York City.  Answer: Manhattan",Manhattan,"Greenwich Village, New York City",0,0.0,29.907486699987203,0.009620568066736706,0.002824796873482894,0.0,0.0,0.0
5,"The South Korean boy group that made their debut with the album ""2014 S/S"" in 2014 is B.A.P (Bangtan Boys) and they were formed by Cube Entertainment.  Answer: Cube Entertainment.",Cube Entertainment.,YG Entertainment,0,0.5,58.9491334001068,0.018972566281202658,0.005570736108441381,0.0,0.0,0.0
6,The answer is Alain Elouglou who goes by the stage name Aladin and specializes in organizational consulting to improve performance.,"The answer is Alain Elouglou, who goes by the stage name Aladin and specializes in organizational consulting to improve performance.",Eenasul Fateh,0,0.0,30.220237399917096,0.009720227314604405,0.0028540588806572607,0.0,0.0,0.0
7,The arena where the Lewiston Maineiacs played their home games can seat approximately 3 500 people.,"The arena where the Lewiston Maineiacs played their home games can seat approximately 3,500 people.","3,677 seated",0,0.0,40.38536600000225,0.012992800025040975,0.0038149536112552585,0.0,0.0,0.0
8,"Annie Morton is a fictional character from ""Shameless "" while Terry Richardson is a real person. Therefore their ages cannot be compared as one is fictional and the other is real.  Answer: Annie Morton is a fictional character; Terry Richardson is a real person so their ages can't be compared.","Annie Morton is a fictional character; Terry Richardson is a real person, so their ages can't be compared.",Terry Richardson,0,0.2222222222222222,36.35719170002267,0.011698548268899411,0.0034349346467941974,0.0,0.0,0.0
9,Local H is from the U.S. while For Against's origin isn't confirmed but likely also U.S.-based.,"Local H is from the U.S., while For Against's origin isn't confirmed but likely also U.S.-based.",yes,0,0.0,50.90391299990006,0.016376799795460275,0.004808565620965795,0.0,0.0,0.0
