qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,"The Swedish higher education system is known as the """,Bologna Process,0,0.0,3.685853099996166,0.001078545029188848,0.0003166830279905295,0.0,0.0,0.0
1,"Randal Malone was born in Covington, Kentucky",107 mi southwest of Louisville,0,0.0,0.3134072000029846,8.820031580695498e-05,2.5897428780024344e-05,0.0,0.0,0.0
2,Aly Mohamed plays for Al Shabab FC,United Arab Emirates,0,0.0,0.34879709999950137,0.00010212274201029427,2.998533977838488e-05,0.0,0.0,0.0
3,Thomas Tull is a film producer who was involved,Las Vegas,0,0.0,0.3006007000003592,8.459141237325531e-05,2.4837780423971035e-05,0.0,0.0,0.0
4,Ann-Marie MacDonald was born in 19,Michel Butor,0,0.0,0.32988110000587767,9.700960766316178e-05,2.848401825378419e-05,0.0,0.0,0.0
5,The German software corporation that has established Remote Function Call,Walldorf,0,0.0,0.3106453000000329,8.777434773487033e-05,2.5772355783307177e-05,0.0,0.0,0.0
6,The question asks about Robert Lutyens joining the,"City of Westminster, London",0,0.0,0.33357360000081826,9.433980077110018e-05,2.770010797850906e-05,0.0,0.0,0.0
7,The conflict in question involves the occupation of a specific,War of 1870,0,0.15384615384615383,0.3227287999980035,9.070654133380807e-05,2.6633308198306866e-05,0.0,0.0,0.0
8,Francesca Schiavone and Olga,French Open,0,0.0,0.31694360000255983,9.347665099719959e-05,2.7446669432495122e-05,0.0,0.0,0.0
9,The original serialized story of *The Bride of Frank,horror fiction,0,0.0,0.32334160000027623,9.08425685404122e-05,2.667324858698854e-05,0.0,0.0,0.0
10,The **Stone Book** series by Alan Dean Foster,North West England,0,0.0,0.3156724000000395,9.25497877491668e-05,2.7174523298604994e-05,0.0,0.0,0.0
11,The album *Love Actually* is not a standard,two Grammy awards,0,0.0,0.32072150000021793,9.347033565495012e-05,2.7444815117976737e-05,0.0,0.0,0.0
12,Jessica Jones is part of Marvel's Netflix series lineup,Daredevil,0,0.0,0.27186499999515945,8.14002466134506e-05,2.390078845026114e-05,0.0,0.0,0.0
13,"The question asks about the ""second First Lady to",fashion model,0,0.0,0.36640880000049947,0.00010669384183079465,3.1327508805385757e-05,0.0,0.0,0.0
14,The end of Riley Hawk's amateur career occurred before,"October 15, 2013",0,0.0,0.41518200000427896,0.00011721661859522182,3.4417212729137e-05,0.0,0.0,0.0
15,Sinimole Paulose is not widely recognized as,1896,0,0.0,0.33757179999520304,9.518242668511424e-05,2.794752029667064e-05,0.0,0.0,0.0
16,"""Hold On"" is a song by American rapper",Mercury Prize,0,0.0,0.3567332999955397,0.00010430618425165339,3.0626443377885094e-05,0.0,0.0,0.0
17,Ricardo Rodríguez Saá was a,Adolfo Rodríguez Saá,0,0.5,0.2922563000029186,8.713770675665273e-05,2.5585424883559362e-05,0.0,0.0,0.0
18,The actor who portrayed Lex Luthor in *Super,"January 30, 1930",0,0.0,0.34300059999804944,0.00010054282256920489,2.952144289967822e-05,0.0,0.0,0.0
19,The 1966 Football League Cup Final,West Bromwich Albion Football Club,0,0.1818181818181818,0.2885278999892762,8.092790151846549e-05,2.3762098204709817e-05,0.0,0.0,0.0
20,The question asks about a major benefactor who donated,John D Rockefeller's Standard Oil Company,0,0.0,0.3268420999957016,9.181169415459178e-05,2.695780382176848e-05,0.0,0.0,0.0
21,Armie Hammer stars as Oliver in the film *,Luca Guadagnino,0,0.0,0.31834019999951124,9.371222136292251e-05,2.75158377423042e-05,0.0,0.0,0.0
22,"The term ""Persona Non Grata"" refers to",Palestinian,0,0.0,0.2841794999985723,7.962938253054007e-05,2.338082629313401e-05,0.0,0.0,0.0
23,The question asks for the scientific name of the true,Eucritta melanolimnetes,0,0.0,0.32669309999619145,9.18151430224914e-05,2.695881648039657e-05,0.0,0.0,0.0
24,The user is asking about a historical figure and their,1002,0,0.0,0.32812569999077823,9.644917038466171e-05,2.8319462329320238e-05,0.0,0.0,0.0
25,"Okay, let's tackle this question about which board",San Marco,0,0.0,0.3243046999996295,9.108614574225724e-05,2.6744767868745148e-05,0.0,0.0,0.0
26,The question asks about a specific detail related to the,Battle of the Rosebud,0,0.14285714285714288,0.31338969999342225,8.812323242000326e-05,2.5874795510455618e-05,0.0,0.0,0.0
27,The question asks about the length of the river overlooked,78.5 mi long,0,0.0,0.3503266000043368,0.00010262594994027195,3.0133091987760902e-05,0.0,0.0,0.0
28,The Pennsylvania State Correctional Institution at Graterford,1952,0,0.0,0.29955120000522584,8.403503326978442e-05,2.4674416063254143e-05,0.0,0.0,0.0
29,"The film ""Bangalore Naatkal"" (",Ramanaidu Daggubati,0,0.0,0.2958558999962406,8.305091827659449e-05,2.4385459638162967e-05,0.0,0.0,0.0
30,"The question asks: ""Who starred as a divorced",Bonnie Franklin,0,0.0,0.3195149999955902,9.401789690021563e-05,2.760559037396337e-05,0.0,0.0,0.0
31,Greysky Bluegrass is a bluegrass band,"Bell's Brewery, Inc.",0,0.0,0.30146659999445546,8.463935054417808e-05,2.4851856058008833e-05,0.0,0.0,0.0
32,The company that designed the Glomar Challenger was,"Vernier, Switzerland",0,0.0,0.3120282000018051,8.815421829482525e-05,2.5883893601307648e-05,0.0,0.0,0.0
33,"The question is about ""Stitch's Great Escape",Tomorrowland,0,0.0,0.3511750000034226,0.0001027210114081934,3.0161003992073997e-05,0.0,0.0,0.0
34,The architect of Hook and Ladder Fire Engine House,Cuyler Reynolds,0,0.0,0.4484751999989385,0.00012721845760139635,3.735395860087059e-05,0.0,0.0,0.0
35,The question asks about the type of students attending a,girls aged 11 to 18,0,0.0,0.30357410000578966,8.516739777430993e-05,2.5006901597355423e-05,0.0,0.0,0.0
36,Glenn Quagmire is a character from,Ted,0,0.0,0.32208329999411944,9.506578496298556e-05,2.7913271885381293e-05,0.0,0.0,0.0
37,Colin Kaepernick is a former American football quarterback who,an American football quarterback,0,0.46153846153846156,0.2968540000001667,8.39913294010044e-05,2.4661583707510437e-05,0.0,0.0,0.0
38,British Airways and EasyJet are both major airlines based,London,0,0.0,0.3300860000017565,9.678602459413781e-05,2.841836966110635e-05,0.0,0.0,0.0
39,The animal formerly known as the pygmy chimpan,Concealed ovulation,0,0.0,0.3167814000044018,8.908991633852878e-05,2.615863381311661e-05,0.0,0.0,0.0
40,Sylvan Simon was a prominent figure in the,director and producer,0,0.0,0.3107245999999577,8.729302899362565e-05,2.563103069044518e-05,0.0,0.0,0.0
41,The company that published a magazine which was described as,GameFan,0,0.0,0.3252336000005016,9.568036754661357e-05,2.8093725986291605e-05,0.0,0.0,0.0
42,The organization **Kolel Chibat Y,the medieval city of Halych,0,0.20000000000000004,0.3005149000091478,8.479931088818963e-05,2.4898823708620587e-05,0.0,0.0,0.0
43,Fabián Bielinsky was born on **,Murdock MacQuarrie,0,0.0,0.3100358999945456,8.784637690084564e-05,2.5793505029529977e-05,0.0,0.0,0.0
44,Cardinal Hayes High School is part of the **,"New York City, Long Island, and Westchester",0,0.0,0.3329970999911893,9.780438477634902e-05,2.8717381178808284e-05,0.0,0.0,0.0
45,"The name ""ICI House"" refers to a building",explosives,0,0.0,0.3028816000005463,8.510697508914679e-05,2.4989160252878436e-05,0.0,0.0,0.0
46,The user is asking about a specific event related to,Juventus,0,0.0,0.3518917000037618,9.91089261570674e-05,2.9100421388910174e-05,0.0,0.0,0.0
47,"The book ""God Is Not Great"" was written",both a lauded intellectual and a controversial public figure,0,0.0,0.3502761999989161,9.858541830121224e-05,2.8946708703317687e-05,0.0,0.0,0.0
48,The brother of Saulius Kuzminskas,small forward,0,0.0,0.3139586000033887,9.279531379755342e-05,2.7246614801833286e-05,0.0,0.0,0.0
49,The novel *Nina* by Lourenço,1866,0,0.0,0.31841870000062045,9.0176446300163e-05,2.6477661381684185e-05,0.0,0.0,0.0
50,Blonde Redhead and White Zombie (formed by,Blonde Redhead,0,0.4444444444444445,0.35333660000469536,0.00010315192798199655,3.028752997078619e-05,0.0,0.0,0.0
51,The team president of the 2012,Mike Holmgren,0,0.0,0.32477039999503177,9.110392850347614e-05,2.6749989253589016e-05,0.0,0.0,0.0
52,The group that released the debut album *The C,two studio albums,0,0.0,0.3183957000001101,8.937984620670967e-05,2.62437631921185e-05,0.0,0.0,0.0
53,The Graham Perkin Australian Journalist of the Year,Man Haron,0,0.0,0.31579469999996945,9.314699535536107e-05,2.7349875748387103e-05,0.0,0.0,0.0
54,The genus *Cercis* contains approximately,Monstera,0,0.0,0.34812239999882877,9.79703038365919e-05,2.8766098431196508e-05,0.0,0.0,0.0
55,"The documentary ""My Best Fiend"" (2",The Devil Came on Horseback,0,0.1818181818181818,0.33276370000385214,9.405600349698365e-05,2.7616779255395598e-05,0.0,0.0,0.0
56,"Hamilton Evans ""Tony"" James serves as the Chief",the world,0,0.2,0.3466384999919683,9.749267988930777e-05,2.8625858205917753e-05,0.0,0.0,0.0
57,Francesca Caccini was born in,1618,0,0.0,0.33785149999312125,9.910918815369151e-05,2.9100498316513564e-05,0.0,0.0,0.0
58,Worldview Entertainment is known for producing films with Christian,Tom Rob,0,0.0,0.286573600009433,8.026512196701595e-05,2.3567492481663557e-05,0.0,0.0,0.0
59,The band **Of Montreal** was formed in England,"Vib Gyor was a band that was formed in Leeds, England.",0,0.4210526315789474,0.3166949000005843,9.317884740377272e-05,2.735922816563971e-05,0.0,0.0,0.0
60,Jonas Tilly was a notable figure in the,University of California,0,0.0,0.2970634999946924,8.339449162639284e-05,2.4486339847895907e-05,0.0,0.0,0.0
61,The telefilm adaptation of Katherine Paterson's,"Edmonton, Alberta",0,0.0,0.32198540000536013,9.049953799578146e-05,2.6572527756029256e-05,0.0,0.0,0.0
62,The character Netty Harris does not appear in the,Akosua Gyamama Busia,0,0.0,0.34695360000478104,9.651778695901846e-05,2.8339609568378e-05,0.0,0.0,0.0
63,Ian MacKaye and Brody Dalle have,Ian Thomas Garner MacKaye,0,0.4,0.2928013000055216,8.205651592758542e-05,2.4093482633584934e-05,0.0,0.0,0.0
64,The film *Lady in a Cage* (1,1916,0,0.0,0.3108284000045387,8.711439724102552e-05,2.557858072982443e-05,0.0,0.0,0.0
65,"The query asks whether two specific mountains, Trivor",yes,0,0.0,0.30857120000291616,9.081330617029884e-05,2.6664656552606214e-05,0.0,0.0,0.0
66,The drug Romosozumab (brand name,Merck,0,0.0,0.28096370000275783,7.863709745478049e-05,2.308947096357703e-05,0.0,0.0,0.0
67,The **Chronicle of Philanthropy** was,The Chronicle of Philanthropy,0,0.4444444444444445,0.2928673999995226,8.211918262601962e-05,2.4111882866562907e-05,0.0,0.0,0.0
68,The story primarily takes place at a remote beach house,1926 Paris,0,0.0,0.33929030000581406,9.930361238897026e-05,2.915758527521859e-05,0.0,0.0,0.0
69,"The individual referred to as the ""King of Denmark",king John of Denmark,0,0.30769230769230765,0.2844745999900624,7.965628748198803e-05,2.3388726140856534e-05,0.0,0.0,0.0
70,Disporum and Boltonia are both genera of,Disporum,0,0.25,0.3224360999884084,9.059532908753066e-05,2.660065399292126e-05,0.0,0.0,0.0
71,The Government of Canada has been involved in various issues,The sponsorship scandal,0,0.15384615384615383,0.33637829999497626,9.870078475458465e-05,2.89805826694422e-05,0.0,0.0,0.0
72,Pedro Duque and Mark Shuttleworth both visited,space,0,0.0,0.28569349998724647,8.001955973477185e-05,2.3495390354109677e-05,0.0,0.0,0.0
73,Ciril Cvetko's brother is Ivan,Musicology,0,0.0,0.30696279999392573,8.674838446626442e-05,2.547111184289095e-05,0.0,0.0,0.0
74,The question asks about British musicians heavily influenced by Dave,Eric Clapton,0,0.0,0.3418325999955414,0.0001002176253423078,2.9425958297996502e-05,0.0,0.0,0.0
75,The American sketch comedy television series that stars John C,Check It Out!,0,0.0,0.32246009999653324,9.066781302794822e-05,2.6621936770284185e-05,0.0,0.0,0.0
76,The singer whose song was released as the lead single,Usher,0,0.0,0.3195425999874715,8.980740132526652e-05,2.6369302178357455e-05,0.0,0.0,0.0
77,The College of Arts and Sciences at Ohio University is,Manasseh Cutler Hall,0,0.0,0.3532819000101881,0.00010354810670129182,3.0403856200156693e-05,0.0,0.0,0.0
78,The estimated population for the city that includes Para Hills,"138,535",0,0.0,0.3113751000055345,8.766099750238712e-05,2.5739073821150055e-05,0.0,0.0,0.0
79,The question asks which British racing driver has raced for,Johnny Herbert,0,0.0,0.31228709999413695,8.839504119596413e-05,2.5954604163665422e-05,0.0,0.0,0.0
80,The user is asking about an American computer-animated,William Steig's 1990 fairy tale,0,0.0,0.335551399999531,9.839746970032316e-05,2.8891523124203852e-05,0.0,0.0,0.0
