qid,prompt,original_pred,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,"Answer with as few words as possible. Question: who sang for lee bowman in my dream is yours
Answer: ",Peggy Lee.,Peggy Lee.,Hal Derwin,0,0.0,0.3311824999982491,0.00010020779825610428,2.9423072863145817e-05,0.0,0.0,0.0
1,"Answer with as few words as possible. Question: why is most insider trading against the law
Answer: ",Unfair advantage market integrity.,"Unfair advantage, market integrity.","seen as unfair to other investors who do not have access to the information, as the investor with insider information could potentially make larger profits than a typical investor could make",0,0.0625,0.5292813000123715,0.00015333369705971018,4.502193062293486e-05,0.0,0.0,0.0
2,"Answer with as few words as possible. Question: when do the oakland raiders move to vegas
Answer: ",2020.,2020.,2020 National Football League (NFL) season,0,0.2857142857142857,0.4127837999985786,0.00012366664702948292,3.63110738845892e-05,0.0,0.0,0.0
3,"Answer with as few words as possible. Question: who laid foundation stone of islamia college peshawar
Answer: ",Sir George Roos-Keppel.,Sir George Roos-Keppel.,Haji Sahib of Turangzai,0,0.0,0.5518865000049118,0.00016043374838022482,4.710665188186993e-05,0.0,0.0,0.0
4,"Answer with as few words as possible. Question: who is the number one ranked golfer in the world right now
Answer: ",Scottie Scheffler.,Scottie Scheffler.,Dustin Johnson,0,0.0,0.4644804999988992,0.00013363718541635638,3.9238629250011065e-05,0.0,0.0,0.0
5,"Answer with as few words as possible. Question: what type of writing did ancient egypt use
Answer: ",Hieroglyphic.,Hieroglyphic.,hieroglyphs,0,0.0,0.39707950000592973,0.00011376722197656343,3.3404398858251536e-05,0.0,0.0,0.0
6,"Answer with as few words as possible. Question: who has the most sacks in college football
Answer: ",Keenan Reynolds (Navy) - 29.5 ,Keenan Reynolds (Navy) - 29.5,"Mike Czerwien, Waynesburg University, 2002–04",0,0.0,0.5363745000067865,0.00017011608297079584,4.9949584678533527e-05,0.0,0.0,0.0
7,"Answer with as few words as possible. Question: who did the assyrians conquer in 722 bce
Answer: ",Israel.,Israel.,"the ruling city of the Northern Kingdom of Israel, Samaria",0,0.2222222222222222,0.39623369999753777,0.00011523207107934949,3.3834508716315026e-05,0.0,0.0,0.0
8,"Answer with as few words as possible. Question: where is south pole located on a map
Answer: ",Bottom.,Bottom.,on the continent of Antarctica,0,0.0,0.2751568999956362,7.656261320803336e-05,2.248035967475804e-05,0.0,0.0,0.0
9,"Answer with as few words as possible. Question: who is known as the philippine queen of bossa nova
Answer: ",Sitti Navarro.,Sitti Navarro.,Sitti Navarro,1,1.0,0.4672761999972863,0.00013662778780204499,4.01167316874474e-05,0.0,0.0,0.0
10,"Answer with as few words as possible. Question: where does the karate kid 2010 take place
Answer: ",Beijing China.,"Beijing, China.","Beijing, China",1,1.0,0.4159581999992952,0.00012073400024731084,3.5449988405660784e-05,0.0,0.0,0.0
11,"Answer with as few words as possible. Question: what does the ghost of christmas present sprinkle from his torch
Answer: ",Kindness. ,Kindness.,warmth,0,0.0,0.35519130001193844,0.00010478181225031764,3.076609755155214e-05,0.0,0.0,0.0
12,"Answer with as few words as possible. Question: what is the difference between airasia x and airasia
Answer: ",Long-haul vs. short-haul.,Long-haul vs. short-haul.,AirAsia X is the medium and long-haul operation of the brand AirAsia,0,0.15384615384615383,0.6030773999955272,0.00018200254408312573,5.343969440531547e-05,0.0,0.0,0.0
13,"Answer with as few words as possible. Question: who plays the robot on the orville show
Answer: ",Mark Grayston/Chad Jameson.,Mark Grayston/Chad Jameson.,Mark Jackson,0,0.4,0.4298060000000987,0.00012739924187975176,3.740704058737396e-05,0.0,0.0,0.0
14,"Answer with as few words as possible. Question: who translated the play neel darpan into english
Answer: ",Michael Madhusudan Dutt.,Michael Madhusudan Dutt.,Michael Madhusudan Dutta,0,0.6666666666666666,0.4399738000065554,0.00013173647590319082,3.868054180102216e-05,0.0,0.0,0.0
15,"Answer with as few words as possible. Question: what is the money called in south korea
Answer: ",Won.,Won.,won,1,1.0,0.4111523999890778,0.00011584173778668314,3.401351941472661e-05,0.0,0.0,0.0
16,"Answer with as few words as possible. Question: where are the highest average incomes found in north america
Answer: ",Washington D.C. metro area.,Washington D.C. metro area.,Virginia,0,0.0,0.43047289999958593,0.0001326221936798879,3.8940606777336055e-05,0.0,0.0,0.0
17,"Answer with as few words as possible. Question: who did the mavericks beat in the finals
Answer: ",Celtics.,Celtics.,Miami Heat,0,0.0,0.3558889999985695,0.00010597468248133491,3.111634881277433e-05,0.0,0.0,0.0
18,"Answer with as few words as possible. Question: who was the successful commanding general of the northern forces in the civil war
Answer: ",Ulysses S. Grant.,Ulysses S. Grant.,George B. McClellan,0,0.0,0.5608629000053043,0.00016293968743163459,4.784244718506372e-05,0.0,0.0,0.0
19,"Answer with as few words as possible. Question: the seed of a gymnosperm seed is made in the
Answer: ",Cone.,Cone.,the surface of scales or leaves,0,0.0,0.4072694000060437,0.00011864674418938092,3.4837127050104824e-05,0.0,0.0,0.0
20,"Answer with as few words as possible. Question: where does the movie mothers day take place
Answer: ",Various U.S. locations.,Various U.S. locations.,Atlanta,0,0.0,0.5622985999943921,0.00016280490911137796,4.780287349512845e-05,0.0,0.0,0.0
21,"Answer with as few words as possible. Question: when does the stock market open in hong kong
Answer: ",9:00 AM HK time.,9:00 AM HK time.,09:15,0,0.0,0.49520080001093447,0.0001422348296199479,4.176307461510286e-05,0.0,0.0,0.0
22,"Answer with as few words as possible. Question: who told the story of the prodigal son
Answer: ",Jesus.,Jesus.,Jesus Christ,0,0.6666666666666666,0.34094619999814313,9.73388573174223e-05,2.858069273157996e-05,0.0,0.0,0.0
23,"Answer with as few words as possible. Question: when was the first episode of scooby doo
Answer: ",September 13 1969.,"September 13, 1969.","September 13, 1969",1,1.0,0.5692008000041824,0.00017871858923548163,5.247545764487325e-05,0.0,0.0,0.0
24,"Answer with as few words as possible. Question: who sings theme tune to orange is the new black
Answer: ",Regina Spektor.,Regina Spektor.,Spektor,0,0.6666666666666666,0.4373297999991337,0.00012658979683093335,3.716937085443333e-05,0.0,0.0,0.0
25,"Answer with as few words as possible. Question: what was the emperor name in star wars
Answer: ",Palpatine.,Palpatine.,Sheev Palpatine,0,0.6666666666666666,0.3520196000026772,0.00010373418043510321,3.0458491279692697e-05,0.0,0.0,0.0
26,"Answer with as few words as possible. Question: who played hyde in league of extraordinary gentlemen
Answer: ",Jason Flemyng.,Jason Flemyng.,Jason Flemyng,1,1.0,0.4724914000107674,0.00013779055213384087,4.0458143236772735e-05,0.0,0.0,0.0
27,"Answer with as few words as possible. Question: who takes over the presidency if the vice president cant
Answer: ",Speaker of the House.,Speaker of the House.,Speaker of the House of Representatives,0,0.7499999999999999,0.4504105999949388,0.00013342296052486305,3.917572841094265e-05,0.0,0.0,0.0
28,"Answer with as few words as possible. Question: who has the most trophies in la liga
Answer: ",Real Madrid.,Real Madrid.,Real Madrid,1,1.0,0.3837931000016397,0.0001114899774942653,3.273575298940796e-05,0.0,0.0,0.0
29,"Answer with as few words as possible. Question: when did the wall come down in berlin
Answer: ",November 9 1989.,"November 9, 1989.",summer of 1990 and continued until 1992,0,0.0,0.5113638000038918,0.00015503985289702058,4.552289310680031e-05,0.0,0.0,0.0
30,"Answer with as few words as possible. Question: tempera is paint in which the vehicle is in
Answer: ",Egg yolk.,Egg yolk.,a water-soluble binder medium (usually glutinous material such as egg yolk or some other size),0,0.25,0.30677739999373443,9.096998118031903e-05,2.671065956151253e-05,0.0,0.0,0.0
31,"Answer with as few words as possible. Question: where was uncle tom's cabin first published
Answer: ",Washington D.C. ,Washington D.C.,"The National Era, an abolitionist periodical",0,0.0,0.5278604000050109,0.00015175575620250735,4.455861469719666e-05,0.0,0.0,0.0
32,"Answer with as few words as possible. Question: whens the last time the patriots played the eagles
Answer: ",November 5 2023.,"November 5, 2023.",Super Bowl LII,0,0.0,0.5372568000020692,0.0001662294945314101,4.880840228723056e-05,0.0,0.0,0.0
33,"Answer with as few words as possible. Question: new movie of ajay devgan and sonakshi sinha
Answer: ",Bholaa.,Bholaa.,Action Jackson,0,0.0,0.3439982999989297,0.00010343606304515668,3.0370957875717986e-05,0.0,0.0,0.0
34,"Answer with as few words as possible. Question: who sang the song i wanna be sedated
Answer: ",The Ramones.,The Ramones.,the Ramones,1,1.0,0.49376559999655,0.00014490117596744844,4.2545968803241684e-05,0.0,0.0,0.0
35,"Answer with as few words as possible. Question: patents to produce and sell inventions are conveyed by the federal government for a period​ of
Answer: ",20 years.,20 years.,usually 20 years from the filing date,0,0.5,0.4199422000092454,0.0001218758979351723,3.578527307867932e-05,0.0,0.0,0.0
