qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,"The Swedish higher education system is called **""hö",Bologna Process,0,0.0,11.188879600005748,0.003286362411462043,0.000964943670751303,0.0,0.0,0.0
1,"Randal Malone was born in Hardin County, Kentucky",107 mi southwest of Louisville,0,0.0,0.4558491999996477,0.0001401425358643884,4.114873408779583e-05,0.0,0.0,0.0
2,Aly Mohamed currently plays for **Sheffield United**. They,United Arab Emirates,0,0.0,0.4952365000062855,0.00015123405997047242,4.440543394165943e-05,0.0,0.0,0.0
3,"Las Vegas. 

The Hangover is famously",Las Vegas,0,0.25,0.5144861999942805,0.00015044543851746,4.417387844520873e-05,0.0,0.0,0.0
4,"Based on available information:

* **Ann-",Michel Butor,0,0.0,0.47314449999976205,0.00014354170642707725,4.2146800554485834e-05,0.0,0.0,0.0
5,SAP has established Remote Function Call (RFC). SAP,Walldorf,0,0.0,0.44614739999815356,0.000137643721467567,4.0415030729887004e-05,0.0,0.0,0.0
6,"Based on historical records, in 194","City of Westminster, London",0,0.0,0.5284653999988222,0.0001587969917720746,4.662606644062753e-05,0.0,0.0,0.0
7,The French call the war during which the Prussians occupied,War of 1870,0,0.15384615384615383,0.4979846999995061,0.00015254474930628128,4.47902793179633e-05,0.0,0.0,0.0
8,The Grand Slam singles tournament that both Francesca Schiav,French Open,0,0.0,0.48452800000086427,0.00014861599640589166,4.3636716572736356e-05,0.0,0.0,0.0
9,The American author was H.P. Lovecraft,horror fiction,0,0.0,0.5237439999982598,0.00015816530541947098,4.6440590320976545e-05,0.0,0.0,0.0
10,The Stone Book series (by Alan Durant) is,North West England,0,0.0,0.6005815000025905,0.00018221221236651625,5.3501257330423586e-05,0.0,0.0,0.0
11,This is a clever question! The album named after,two Grammy awards,0,0.0,0.5379859999957262,0.00015890183512840242,4.665685060878744e-05,0.0,0.0,0.0
12,"Daredevil.

""Daredevil"" was released",Daredevil,0,0.0,0.47024209999653976,0.00014454674228059342,4.2441899774932766e-05,0.0,0.0,0.0
13,The second First Lady born outside the United States (,fashion model,0,0.0,0.5024395000000368,0.00015390160164633477,4.518867910281729e-05,0.0,0.0,0.0
14,This is a tricky one requiring some specific knowledge!,"October 15, 2013",0,0.0,0.494000300001062,0.0001477270247248654,4.337569618311298e-05,0.0,0.0,0.0
15,Sinimole Paulose's favorite events are,1896,0,0.0,0.5045937999966554,0.00015476712853599092,4.5442815618962264e-05,0.0,0.0,0.0
16,"The song ""Hold On"" features the vocals of",Mercury Prize,0,0.0,0.5241533000007621,0.00016046725272310435,4.711648944679933e-05,0.0,0.0,0.0
17,The relative of Ricardo Rodríguez Saá who became governor,Adolfo Rodríguez Saá,0,0.3333333333333333,0.5239483999976073,0.00015864623132721888,4.6581800069835375e-05,0.0,0.0,0.0
18,Gene Hackman played Lex Luthor in *Superman,"January 30, 1930",0,0.0,0.50750970000081,0.00015630095190433295,4.5893177741584535e-05,0.0,0.0,0.0
19,"West Bromwich Albion.

They played against West",West Bromwich Albion Football Club,0,0.3333333333333333,0.5053007000024081,0.00015474299788652244,4.5435730363424255e-05,0.0,0.0,0.0
20,The major benefactor who donated money to build Archbold,John D Rockefeller's Standard Oil Company,0,0.0,0.5417079999970156,0.00015756928348158267,4.6265586007822174e-05,0.0,0.0,0.0
21,Armie Hammer stars as Oliver in the film **,Luca Guadagnino,0,0.0,0.4543690999998944,0.0001398281436254299,4.105642205304937e-05,0.0,0.0,0.0
22,Persona Non Grata prominently features interviews with Mahmoud Ahmad,Palestinian,0,0.0,0.48683149999851594,0.0001491799479382773,4.3802304354500185e-05,0.0,0.0,0.0
23,"The ""Creature from the Black Lagoon"" is",Eucritta melanolimnetes,0,0.0,0.5234143999987282,0.00015751092201381735,4.6248449879213996e-05,0.0,0.0,0.0
24,"This is a tricky historical question! Ezzo,",1002,0,0.0,0.47741270000551594,0.0001467842047366348,4.3098864821748854e-05,0.0,0.0,0.0
25,"Based on my knowledge, **San Marco** came",San Marco,0,0.0,0.47855360000539804,0.0001469627608271464,4.315129256642252e-05,0.0,0.0,0.0
26,"The 1876 battle featuring the """,Battle of the Rosebud,0,0.4,0.5314612999936799,0.00015987859566185387,4.6943647613069854e-05,0.0,0.0,0.0
27,The Bee Cliff in northeast Tennessee overlooks the Wata,78.5 mi long,0,0.0,0.4875194000051124,0.00014950009637520765,4.3896306527492246e-05,0.0,0.0,0.0
28,"This is a tricky question! William Penn wrote """,1952,0,0.0,0.5029892000020482,0.00015414956283669746,4.5261485613869726e-05,0.0,0.0,0.0
29,Bangalore Naatkal starred **Rajkumar**,Ramanaidu Daggubati,0,0.0,0.5294505999991088,0.00015944785960019322,4.681717463643948e-05,0.0,0.0,0.0
30,This is a fascinatingly specific question! The answer,Bonnie Franklin,0,0.0,0.6197637000004761,0.00018850884655132006,5.535007877582214e-05,0.0,0.0,0.0
31,"Greensky Bluegrass is originally from Kalamazoo, Michigan","Bell's Brewery, Inc.",0,0.0,0.4985221000024467,0.0001529483029257463,4.490877096987406e-05,0.0,0.0,0.0
32,The company that designed the Glomar Challenger was primarily,"Vernier, Switzerland",0,0.0,0.49619919999531703,0.00015216606717225804,4.4679090446286254e-05,0.0,0.0,0.0
33,Stitch's Great Escape! replaced the theater,Tomorrowland,0,0.0,0.5012171999987913,0.00015013079336569814,4.408149215005569e-05,0.0,0.0,0.0
34,This is a surprisingly specific question! The architect of,Cuyler Reynolds,0,0.0,0.4714912000054028,0.00014513089748275564,4.26134197701399e-05,0.0,0.0,0.0
35,The school adjacent to Pilgrim Hospital is **Haven High,girls aged 11 to 18,0,0.14285714285714285,0.5173388000039267,0.00015389863380107257,4.518780768233988e-05,0.0,0.0,0.0
36,Seth MacFarlane. He voices Glenn Quagm,Ted,0,0.0,0.5035194000010961,0.0001526320537265057,4.4815913693353653e-05,0.0,0.0,0.0
37,Colin Kaepernick is a former American football quarterback,an American football quarterback,0,0.5,0.4755525999935344,0.00014584111948157913,4.2821955572583e-05,0.0,0.0,0.0
38,Both British Airways and EasyJet are based out of,London,0,0.0,0.5959199999997509,0.00018132769377923912,5.3241544460814894e-05,0.0,0.0,0.0
39,The animal formerly known as the pygmy chimpanzee,Concealed ovulation,0,0.0,0.5165405000007013,0.00015811629695127748,4.642620042562246e-05,0.0,0.0,0.0
40,Both S. Sylvan Simon and Danny Cannon worked,director and producer,0,0.18181818181818182,0.5380521999977645,0.00016164689406394488,4.7462856433480585e-05,0.0,0.0,0.0
41,This is a tricky one! The answer is **,GameFan,0,0.0,0.4983116000003065,0.0001529854162540049,4.491966820722036e-05,0.0,0.0,0.0
42,The region where Jews supported by Kolel Chibas,the medieval city of Halych,0,0.15384615384615385,0.4927626999997301,0.0001514213807211911,4.44604351710357e-05,0.0,0.0,0.0
43,"Based on available information:

* **Fabi",Murdock MacQuarrie,0,0.0,0.5196914000043762,0.00015744240089813358,4.6228330668788126e-05,0.0,0.0,0.0
44,Cardinal Hayes High School is part of the Catholic High,"New York City, Long Island, and Westchester",0,0.0,0.4999558999988949,0.0001530709848570331,4.494479291094114e-05,0.0,0.0,0.0
45,ICI House is now named after **AkzoNob,explosives,0,0.0,0.4869567999994615,0.0001478130286359998,4.3400948702256806e-05,0.0,0.0,0.0
46,This is a tragically specific question referencing the Heysel,Juventus,0,0.0,0.5050254000016139,0.00015310765997078013,4.4955561479483925e-05,0.0,0.0,0.0
47,Christopher Hitchens. Due to his outspoken atheism,both a lauded intellectual and a controversial public figure,0,0.0,0.4890847999995458,0.00014692440767696293,4.314003129183094e-05,0.0,0.0,0.0
48,Saulius Kuzminskas' brother is Art,small forward,0,0.0,0.48759960000461433,0.00014982731662371447,4.399238512997293e-05,0.0,0.0,0.0
49,"The novel Lourenço Mutarelli based ""Nina",1866,0,0.0,0.5291211000003386,0.00015157668114634023,4.450603457352095e-05,0.0,0.0,0.0
50,This is a tricky one! While both bands have,Blonde Redhead,0,0.0,0.46929159999854164,0.00014460130477386392,4.2457920446407756e-05,0.0,0.0,0.0
51,The team president of the 2012,Mike Holmgren,0,0.0,0.5115354000008665,0.00015648622062089227,4.594757645147989e-05,0.0,0.0,0.0
52,"The group you're referring to is Love,",two studio albums,0,0.0,0.4979645999992499,0.00014898990062861726,4.3746502551278435e-05,0.0,0.0,0.0
53,The gunman was **Man Haron Monis**.,Man Haron,0,0.25,0.46408059999521356,0.00014312732915561162,4.202513085548691e-05,0.0,0.0,0.0
54,"Based on my knowledge, **Monstera**",Monstera,0,0.0,0.5001833999995142,0.00014884653433598237,4.370440725582513e-05,0.0,0.0,0.0
55,"Based on readily available information, **My Best Fi",The Devil Came on Horseback,0,0.15384615384615385,0.5127200999995694,0.00015547072232688816,4.564940524308232e-05,0.0,0.0,0.0
56,"Hamilton ""Tony"" James is the COO and director",the world,0,0.2,0.45453509999788366,0.00014040327915657274,4.12252936871287e-05,0.0,0.0,0.0
57,"Francesca Caccini's father, Giulio",1618,0,0.0,0.483044599997811,0.0001490761175579824,4.377181761696089e-05,0.0,0.0,0.0
58,Worldview Entertainment produced the 2015,Tom Rob,0,0.0,0.5197071000002325,0.0001571027460205527,4.612860100318023e-05,0.0,0.0,0.0
59,"Of Montreal. 

While both bands are indie","Vib Gyor was a band that was formed in Leeds, England.",0,0.0,0.47898999999597436,0.00014725456365454975,4.323697188481666e-05,0.0,0.0,0.0
60,Based on the context of Jonas Tilly being a character,University of California,0,0.15384615384615383,0.579697599998326,0.0001769511727020511,5.195650775925906e-05,0.0,0.0,0.0
61,The telefilm based on Katherine Paterson's,"Edmonton, Alberta",0,0.0,0.4914537999939057,0.00015119274803850193,4.4393303907813384e-05,0.0,0.0,0.0
62,Whoopi Goldberg played the role of Nettie Harris,Akosua Gyamama Busia,0,0.0,0.5010688000038499,0.00015177527769322284,4.456434660882146e-05,0.0,0.0,0.0
63,This is a tricky one! Both have been involved,Ian Thomas Garner MacKaye,0,0.0,0.46452960000169696,0.0001434022392787615,4.210585012808866e-05,0.0,0.0,0.0
64,"Olivia Newton-John, the star of ""Lady",1916,0,0.0,0.48474209999403683,0.00014897308488480017,4.374156510265479e-05,0.0,0.0,0.0
65,"Yes, both Trivor and The Crown are mountains",yes,0,0.0,0.49035070000536507,0.00014851040996959432,4.360571422099726e-05,0.0,0.0,0.0
