qid,prompt,original_pred,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,"Using the provided context, answer the question. Provide concise, direct answers without excessive reasoning or repetition. Context: Reading Football Club (/ˈrɛdɪŋ/ ( listen) RED-ing) is a professional association football club based in Reading, Berkshire, England. The team play in the Championship, the second tier of English football.
Question: who is the owner of reading football club
Answer: ",None @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@,none ,Xiu Li Dai,0,0.0,0.2951554000610485,9.738833885705277e-05,2.8595221530448557e-05,0.0721720000728964,3.621276111807674e-05,1.0632812291013089e-05
1,"Using the provided context, answer the question. Provide concise, direct answers without excessive reasoning or repetition. Context: As per the Fourth Schedule (Articles 4(1) and 80(2)) of the Constitution of India, 12 members are nominated by President for term of six years for their contributions to art, literature, science, and social services.
Question: who was the first lady nominated member of the rajya sabha
Answer: ",None @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@,none ,Mary Kom,0,0.0,0.294420100050047,9.773945540339164e-05,2.8698316578001463e-05,0.0497977000195533,2.5513235028339273e-05,7.491211126052878e-06
2,"Using the provided context, answer the question. Provide concise, direct answers without excessive reasoning or repetition. Context: Law & Order: Special Victims Unit (often abbreviated to Law & Order: SVU or just SVU) is an American police procedural, legal, crime drama television series set in New York City, where it is also primarily produced. In the style of the original Law & Order, episodes are often ""ripped from the headlines"" or loosely based on real crimes that have received media attention. Created by Dick Wolf, the series premiered on NBC on September 20, 1999, as the second series in Wolf's successful Law & Order franchise. Law & Order: Special Victims Unit has been nominated for and won numerous awards, including the 2006 Emmy for Outstanding Lead Actress in a Drama Series for Mariska Hargitay, the first, and to date only, Emmy to be received by a regular on any Law & Order series. It is the current longest running scripted non-animated U.S. primetime TV series since the cancellation of the original Law & Order on May 24, 2010 and is the fourth-longest running scripted U.S. primetime TV series on a major broadcast network.
Question: cast of law & order special victim unit
Answer: ",None @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@,none ,Christopher Meloni,0,0.0,0.3158594000851735,0.0001056444695574,3.101939149918031e-05,0.01972800004296,1.007503665621496e-05,2.958238208937196e-06
3,"Using the provided context, answer the question. Provide concise, direct answers without excessive reasoning or repetition. Context: New Earswick is a model village and civil parish in the unitary authority of City of York in North Yorkshire, England, near the River Foss, north of York and south of Haxby. According to the 2001 census the parish had a population of 2,812, reducing to 2,737 at the 2011 Census.[1] Before 1996 it had been part of the Ryedale district.
Question: who designed the garden city of new earswick
Answer: ",None @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@,none ,planner Raymond Unwin,0,0.0,0.2988440999761224,9.92884117883654e-05,2.9153122065898127e-05,0.0449328999966383,2.3772330051805407e-05,6.980045579420896e-06
4,"Using the provided context, answer the question. Provide concise, direct answers without excessive reasoning or repetition. Context: The evolution of the eye is attractive to study, because the eye distinctively exemplifies an analogous organ found in many animal forms. Complex, image-forming eyes have evolved independently several times.[1] The evolutionary geneticist Walter Gering holds a different opinion. According his theory, the genes engaged with photoreceptor cells (so called Pax 6 genes) appeared probably at once in the life history, at a very early stage of the evolution. [2] Probably, the complex, image forming kinds of eyes are at least five: Chidaria - lens eye, complex eye; Molluscs - lens eye, everse retina; Annelids- lens eye, everse retina; Arthropods - facet eye; Vertebrate- lens eye, inverse retina [3]
Question: what is the first step in the evolution of the eye
Answer: ",None @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@,none ,"photoreceptor proteins that sense light, found even in unicellular organisms, called ""eyespots""",0,0.0,0.304636099957861,0.0001014491994776,2.97875738224442e-05,0.0483086999738588,2.588618255665614e-05,7.600716199418053e-06
5,"Using the provided context, answer the question. Provide concise, direct answers without excessive reasoning or repetition. Context: 
Question: who is the president of usa right now
Answer: ",None @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@,none ,Donald Trump,0,0.0,0.2927172998897731,9.751837337572908e-05,2.8633402342564188e-05,0.0401177000021562,2.0987617791009445e-05,6.162396721964793e-06
6,"Using the provided context, answer the question. Provide concise, direct answers without excessive reasoning or repetition. Context: ""Flight"" is the twenty-fourth and final episode of the eighth season of the American television medical drama Grey's Anatomy, and the show's 172nd episode overall. It was written by series creator Shonda Rhimes, and directed by Rob Corn. The episode was originally broadcast on the American Broadcasting Company (ABC) in the United States on May 17, 2012. In the episode, six doctors from Seattle Grace Mercy West Hospital who are victims of an aviation accident fight to stay alive, but Dr. Lexie Grey (Chyler Leigh) ultimately dies. Other storylines occur in Seattle where Dr. Richard Webber (James Pickens, Jr.) plans his annual dinner for the departing residents, Dr. Owen Hunt (Kevin McKidd) fires Dr. Teddy Altman (Kim Raver), and Dr. Miranda Bailey (Chandra Wilson) gets engaged.
Question: who died in the plane crash greys anatomy
Answer: ",None @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@,none ,Dr. Lexie Grey (Chyler Leigh),0,0.0,0.3085818999679759,0.0001043413064945,3.0636755991574385e-05,0.0307096000178717,1.5729853353049192e-05,4.618608824739562e-06
7,"Using the provided context, answer the question. Provide concise, direct answers without excessive reasoning or repetition. Context: Kylo Ren is a fictional character in the Star Wars franchise. Introduced in the 2015 film Star Wars: The Force Awakens, he is portrayed by Adam Driver. Kylo Ren is the chosen name of Ben Solo,[1][2][3] the son of original Star Wars trilogy characters Han Solo and Leia Organa. Though trained by his uncle Luke Skywalker as a Jedi, he has been seduced to the dark side of the Force by Supreme Leader Snoke and aspires to be as powerful as his grandfather, Darth Vader. Kylo Ren is also the master of the Knights of Ren, as well as a commander and later the supreme leader of the First Order, an organization spawned from the fallen Galactic Empire. He is featured in The Force Awakens media and merchandising and appears in the film's sequel, Star Wars: The Last Jedi (2017).
Question: where does kylo ren's name come from
Answer: ",None @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@,none ,"the character, ""came to the name Kylo Ren when he joined a group called the Knights of Ren.""",0,0.0,0.3092650000471622,0.0001064137663329,3.124527287241601e-05,0.0414278999960515,2.175893111044489e-05,6.388870194019964e-06
8,"Using the provided context, answer the question. Provide concise, direct answers without excessive reasoning or repetition. Context: Jeep is a brand of American automobiles that is a division of FCA US LLC (formerly Chrysler Group, LLC), a wholly owned subsidiary of Fiat Chrysler Automobiles.[2][3] Jeep has been a part of Chrysler since 1987, when Chrysler acquired the Jeep brand, along with remaining assets, from its previous owner: American Motors Corporation (AMC).
Question: what type of car is a jeep considered
Answer: ",None @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@,none ,light utility vehicles,0,0.0,0.2966246000723913,9.513336952735691e-05,2.793311610505809e-05,0.0435089999809861,2.3541397198349993e-05,6.9122389387007055e-06
9,"Using the provided context, answer the question. Provide concise, direct answers without excessive reasoning or repetition. Context: Manchester United Football Club is a professional football club based in Old Trafford, Greater Manchester, England, that competes in the Premier League, the top flight of English football. Nicknamed ""the Red Devils"", the club was founded as Newton Heath LYR Football Club in 1878, changed its name to Manchester United in 1902 and moved to its current stadium, Old Trafford, in 1910.
Question: what is the name of manchester united stadium
Answer: ",None @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@,none ,Old Trafford,0,0.0,0.2964306999929249,9.991028613491152e-05,2.93357171785398e-05,0.0397460999665781,2.109774578228717e-05,6.194732567757504e-06
