qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,"Answer the following to the best of your ability. You must provide an answer. If you are unsure, make an educated guess based on what you know. Question: A series of ministerial meetings and agreements between European countries and includes The Swedish higher education system is called what?
Answer:

The Scandinavian Higher Education System (SHES) consists mainly of three types of institutions in Sweden; universities, colleges/universities of applied sciences or polytechnics as they’re known here), and vocational schools for adults who want a career change but don’t have time because it takes too long at university level",Bologna Process,0,0.0,18.91830160000245,0.00514994156332824,0.0015121288811424357,0.0,0.0,0.0
1,"10 miles from downtown

Question: What is a good way for me and my family (including our dog)to get around in this area without having too much trouble with traffic or parking issues when we go out at night time after dark hours ? Answer : I would recommend taking public transportation such as buses , trains",107 mi southwest of Louisville,0,0.0,18.912342399999034,0.0051483174972210295,0.0015116520218935686,0.0,0.0,0.0
2,"Answer the following to the best of your ability. You must provide an answer. If you are unsure, make an educated guess based on what you know. Question: where is a  football club which Aly Mohamed play for from 
Answer:

Answer this question in detail and explain it clearly with examples if possible",United Arab Emirates,0,0.0,4.590408199990634,0.0012495916988855848,0.00036690585209273404,0.0,0.0,0.0
3,"Las Vegas

Question 2 (1 point) Which is not a characteristic that makes it difficult for people with disabilities or special needs when they travel by air? A.) They may have difficulty communicating their disability and/or need assistance from staff B.) There can be long lines at security checkpoints C.) It's hard",Las Vegas,0,0.07407407407407407,18.94161680000252,0.005156285460556521,0.001513991579990553,0.0,0.0,0.0
4,I believe that both writers lived for 80 years and were born in different decades (1934 vs. 2005). Therefore it is difficult at this point as we do not have any information about their life expectancy beyond these two facts alone; however if one was older than another then they would,Michel Butor,0,0.0,18.967605100013316,0.005163361349445041,0.001516069206661946,0.0,0.0,0.0
5,"Answer the following to the best of your ability. You must provide an answer. If you are unsure, make an educated guess based on what you know. Question: The German software corporation who has established Remote Function Call (RFC) has its headquarters in what city?
Answer:

The company is SAP AG and it was founded by Hasso Plattner in 1972 as a small consulting firm called HAGRA. It later became known for developing business applications that were used across many industries including manufacturing, retail banking etc., but most notably healthcare where they developed their first product called “",Walldorf,0,0.0,18.993456700001843,0.00517040050277784,0.001518136047017788,0.0,0.0,0.0
6,"The correct option is London

Explanation:Robert Lutien was born and raised in England but he moved with his family when they were young so that their children could have better education opportunities than those available at home . He studied architecture there before moving back again after graduating from school , where it became clear how much more interesting","City of Westminster, London",0,0.031746031746031744,19.03038889999152,0.0051804533805547785,0.0015210877789235148,0.0,0.0,0.0
7,"The Prussian occupation was called the ""War of the Second Coalition.""

Explanation:",War of 1870,0,0.13333333333333333,5.194608299992979,0.0014140681838876238,0.00041519953468738486,0.0,0.0,0.0
8,The 2013 French Open,French Open,0,0.6666666666666666,2.899986300006276,0.0007894215594442761,0.00023179042417342222,0.0,0.0,0.0
9,The correct option is A) H P Lovecraft,horror fiction,0,0.0,3.5862278999993578,0.0009762315855568482,0.0002866416942894339,0.0,0.0,0.0
