qid,original_pred,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,Yes both Scott Derrickson and Ed Wood were American.,"Yes, both Scott Derrickson and Ed Wood were American.",yes,0,0.0,5.772363499971107,0.002139108560174005,0.0006280863178664309,0.0,0.0,0.0
1,Rosalind Russell who portrayed Corliss Archer in *Kiss and Tell* served as the Chairman of the National Endowment for the Arts (NEA).   Answer: Rosalind Russell was the Chairman of the National Endowment for the Arts.,Rosalind Russell was the Chairman of the National Endowment for the Arts.,Chief of Protocol,0,0.16666666666666666,8.633443099912256,0.003219602644585545,0.0009453416286017124,0.0,0.0,0.0
2,"""The Lunar Chronicles"" by Marissa Meyer is a science fantasy young adult series told in first person with companion books like *Fairest* and *Cress* exploring enslaved worlds and alien species.","""The Lunar Chronicles"" by Marissa Meyer is a science fantasy young adult series told in first person, with companion books like *Fairest* and *Cress* exploring enslaved worlds and alien species.",Animorphs,0,0.0,9.283510799985379,0.0034686698705990717,0.0010184728944946958,0.0,0.0,0.0
3,The Laleli Mosque is located in the Laleli neighborhood of Istanbul's Fatih district while the Esma Sultan Mansion is situated in a different area within the same district. Therefore they are not in the exact same neighborhood but are both part of the broader Fatih district.  Answer: No they are not in the same neighborhood; both are located in the Fatih district but in different areas.,"No, they are not in the same neighborhood; both are located in the Fatih district but in different areas.",no,0,0.0,18.439182800007984,0.006893122163647011,0.002023962597773138,0.0,0.0,0.0
4,"The director of ""Big Stone Gap "" Michael Hoffman is based in Greenwich Village New York City.   Answer: Greenwich Village",Greenwich Village,"Greenwich Village, New York City",0,0.5714285714285715,7.2826449000276625,0.0027184444239274964,0.0007981912560857887,0.0,0.0,0.0
5,The South Korean boy group behind the 2014 Spring/Summer (S/S) album is iKON formed by YG Entertainment.  Answer: YG Entertainment,YG Entertainment,YG Entertainment,1,1.0,8.6342949999962,0.0032343825478880085,0.0009496813125319712,0.0,0.0,0.0
6,The individual known as Aladin is a consultant who uses his stage name in motivational speaking or leadership training to help organizations improve their performance though he may not be widely recognized internationally.,"The individual known as Aladin is a consultant who uses his stage name in motivational speaking or leadership training to help organizations improve their performance, though he may not be widely recognized internationally.",Eenasul Fateh,0,0.0,18.35516949999146,0.006877610798006096,0.002019408141439379,0.0,0.0,0.0
7,The Androscoggin Bank Colisée where the Lewiston Maineiacs played their home games seats approximately 5 234 people.,"The Androscoggin Bank Colisée, where the Lewiston Maineiacs played their home games, seats approximately 5,234 people.","3,677 seated",0,0.0,16.71075849980116,0.006261263510810099,0.0018384358872259663,0.0,0.0,0.0
8,Terry Richardson was born in 1925 while Annie Morton was born in 1933. Therefore Terry Richardson is older than Annie Morton by eight years.  Answer: Terry Richardson is older; he was born in 1925 compared to Annie Morton's birth year of 1933.,Terry Richardson is older; he was born in 1925 compared to Annie Morton's birth year of 1933.,Terry Richardson,0,0.21052631578947367,8.739000800065696,0.003267541003858423,0.000959417317942982,0.0,0.0,0.0
9,Local H is from the United States (Chicago). The origin of For Against is unclear without additional information.,Local H is from the United States (Chicago). The origin of For Against is unclear without additional information.,yes,0,0.0,9.23757140012458,0.003456611526025022,0.0010149323162444441,0.0,0.0,0.0
10,"The fight song is ""The Kansas Jayhawk.""","The fight song is ""The Kansas Jayhawk.""",Kansas Song,0,0.5714285714285715,8.745903900125995,0.0032732211546613633,0.0009610851271739707,0.0,0.0,0.0
11,"Scott Frank co-wrote ""The Family Man"" (2000) starring Nicolas Cage and Téa Leoni.  Answer: Scott Frank",Scott Frank,David Weissman,0,0.0,14.976671900134534,0.0056210779582766416,0.001650464227475646,0.0,0.0,0.0
12,"Guns N' Roses performed a promo for the movie ""End of Days "" starring Arnold Schwarzenegger as a former New York Police detective in **1999**.","Guns N' Roses performed a promo for the movie ""End of Days,"" starring Arnold Schwarzenegger as a former New York Police detective, in **1999**.",1999,0,0.0909090909090909,23.8142260001041,0.008936113826064023,0.0026238270153952806,0.0,0.0,0.0
13,Yes both Random House Tower and 888 7th Avenue are used for real estate. Random House Tower serves as a commercial office building while 888 7th Avenue is likely an office or mixed-use property.  Answer: Yes both are used for real estate—Random House Tower as a commercial office and 888 7th Avenue possibly as commercial or mixed-use space.,"Yes, both are used for real estate—Random House Tower as a commercial office, and 888 7th Avenue possibly as commercial or mixed-use space.",no,0,0.0,8.911555200116709,0.003336889129494287,0.0009797793555190578,0.0,0.0,0.0
14,Sir Alex Ferguson managed Manchester United from 1986 to 2013. He recruited David Beckham in 1995 and Beckham played for the club until 2003.  Answer: Sir Alex Ferguson managed Manchester United during 1986–2013 recruiting David Beckham in 1995.,"Sir Alex Ferguson managed Manchester United during 1986–2013, recruiting David Beckham in 1995.",from 1986 to 2013,0,0.0,12.266280400101095,0.00460287169015866,0.0013514979021206014,0.0,0.0,0.0
