qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,"The Swedish higher education system is known as the """,Bologna Process,0,0.0,11.93609010000364,0.0035090031529643505,0.001030315576666102,0.0,0.0,0.0
1,"Randal Malone was born in Louisville, Kentucky.",107 mi southwest of Louisville,0,0.0,0.4863041000062367,0.0001524882429827118,4.4773687897888743e-05,0.0,0.0,0.0
2,Aly Mohamed is associated with several football clubs throughout,United Arab Emirates,0,0.0,0.5202105000062147,0.0001622850322525306,4.7650226945020284e-05,0.0,0.0,0.0
3,"Thomas Tull produced ""The Hangover,"" a",Las Vegas,0,0.0,0.5441052999958629,0.0001663879358854361,4.8854923931106295e-05,0.0,0.0,0.0
4,Ann-Marie MacDonald is a Canadian author and playwright,Michel Butor,0,0.0,0.536766399993212,0.0001620561040168759,4.758300890136179e-05,0.0,0.0,0.0
5,The German software corporation that established Remote Function Call (,Walldorf,0,0.0,0.47871460000169463,0.00015005198103617914,4.405835122735e-05,0.0,0.0,0.0
6,"I am sorry, I cannot answer that question.","City of Westminster, London",0,0.0,0.5114885000075446,0.00015404966311701886,4.5232152999220325e-05,0.0,0.0,0.0
7,The conflict in question is likely the Franco-Pr,War of 1870,0,0.0,0.4617696000059368,0.00014438643678450468,4.239483078056441e-05,0.0,0.0,0.0
8,Francesca Schiavone and Olga,French Open,0,0.0,0.4796520999952918,0.0001505007405540615,4.419011626183302e-05,0.0,0.0,0.0
9,The original serialized story of the Bride of Re-,horror fiction,0,0.0,0.5716686000087066,0.00017308648904501664,5.082175706307752e-05,0.0,0.0,0.0
10,The Stone Book series is set in the United States,North West England,0,0.0,0.5311933000048157,0.00016108522279402907,4.729793818372888e-05,0.0,0.0,0.0
11,The question refers to a Grammy award-winning album named,two Grammy awards,0,0.16666666666666666,0.4770053999964148,0.00014749942646546935,4.3308868647868465e-05,0.0,0.0,0.0
12,Jessica Jones is part of the Marvel Cinematic Universe,Daredevil,0,0.0,0.5175203999970108,0.00015879761624025117,4.6626249797342076e-05,0.0,0.0,0.0
13,The question refers to a historical figure from the United,fashion model,0,0.0,0.5244166000047699,0.0001592389346766502,4.675582997708849e-05,0.0,0.0,0.0
14,"I am sorry, I cannot answer that question.","October 15, 2013",0,0.0,0.48809410000103526,0.00015268012711617027,4.4830029030398226e-05,0.0,0.0,0.0
15,Sinimole Paulose is an Indian athlete who,1896,0,0.0,0.5462038999976357,0.00016742155738533484,4.9158416485914346e-05,0.0,0.0,0.0
16,"The song ""Hold On"" featuring the vocals of",Mercury Prize,0,0.0,0.5468352000025334,0.00016612916904547233,4.877894465884087e-05,0.0,0.0,0.0
17,Ricardo Rodríguez Saá is a,Adolfo Rodríguez Saá,0,0.5,0.49146060000930447,0.00015363814945099191,4.511132411374031e-05,0.0,0.0,0.0
18,The birthday of the actor who played Lex Luthor,"January 30, 1930",0,0.0,0.513864000007743,0.00015793935909778057,4.6374247828656075e-05,0.0,0.0,0.0
19,The 1966 Football League Cup Final,West Bromwich Albion Football Club,0,0.1818181818181818,0.5112904999987222,0.00015510311009395115,4.554146672229528e-05,0.0,0.0,0.0
20,"I am sorry, I cannot answer that question.",John D Rockefeller's Standard Oil Company,0,0.0,0.4802415000012843,0.000142633896027752,4.188024872927754e-05,0.0,0.0,0.0
21,"Armie Hammer stars as Oliver in ""The Man",Luca Guadagnino,0,0.0,0.4840175999997882,0.00014971310016057116,4.3958848824658173e-05,0.0,0.0,0.0
22,"I am sorry, I cannot answer that question.",Palestinian,0,0.0,0.5257559000019683,0.00015614187705242317,4.584647008968629e-05,0.0,0.0,0.0
23,"The scientific name of the creature featured in ""Creature",Eucritta melanolimnetes,0,0.0,0.4697673000046052,0.00014650628928304047,4.301726312224837e-05,0.0,0.0,0.0
24,"I am sorry, I cannot answer that question.",1002,0,0.0,0.5270476000005146,0.00016178937973788325,4.75046931611525e-05,0.0,0.0,0.0
25,"The board game ""San Marco"" was released in",San Marco,0,0.0,0.5110018000123091,0.00015535514483690409,4.561546931226334e-05,0.0,0.0,0.0
26,The question refers to a historical event that is not,Battle of the Rosebud,0,0.14285714285714288,0.4757221000036225,0.00014966027248485822,4.394333753133826e-05,0.0,0.0,0.0
27,The Beech Creek in northeast Tennessee overlooks the,78.5 mi long,0,0.0,0.56849640001019,0.0001702620825148353,4.999245315081829e-05,0.0,0.0,0.0
28,"William Penn wrote ""No Cross, No Crown""",1952,0,0.0,0.5365439000015613,0.00016126464740235847,4.7350620943116775e-05,0.0,0.0,0.0
29,Bangalore Naatkal is a 20,Ramanaidu Daggubati,0,0.0,0.47395379999943543,0.00014921068131646363,4.381132830714104e-05,0.0,0.0,0.0
30,The question refers to a specific American sitcom and an,Bonnie Franklin,0,0.0,0.5552162999956636,0.00016992098295796508,4.989229929762486e-05,0.0,0.0,0.0
31,Greensky Bluegrass is a bluegrass band,"Bell's Brewery, Inc.",0,0.0,0.53112770000007,0.00016093518166644674,4.7253883019299055e-05,0.0,0.0,0.0
32,The Glomar Challenger was a deep-sea,"Vernier, Switzerland",0,0.0,0.5154966999980388,0.0001558492634771226,4.576055271901609e-05,0.0,0.0,0.0
33,Stitch's Great Escape! replaced the theater-in,Tomorrowland,0,0.0,0.4955455999879632,0.0001531887731889832,4.497937799048293e-05,0.0,0.0,0.0
34,The architect of Hook and Ladder No.,Cuyler Reynolds,0,0.0,0.5300747000001138,0.00016115290041795148,4.731780972760598e-05,0.0,0.0,0.0
35,"I am sorry, I cannot answer that question.",girls aged 11 to 18,0,0.0,0.46760449999419507,0.00014773957598711974,4.337938149214342e-05,0.0,0.0,0.0
36,Glenn Quagmire is a character from,Ted,0,0.0,0.529214399997727,0.00016199811516550417,4.756598218059901e-05,0.0,0.0,0.0
37,Colin Kaepernick is a former professional American football quarterback,an American football quarterback,0,0.46153846153846156,0.5223429999896325,0.00016699181500348109,4.9032235274135305e-05,0.0,0.0,0.0
38,British Airways and EasyJet are both based in London,London,0,0.19999999999999998,0.4738936000067042,0.0001491476484992555,4.379282057415259e-05,0.0,0.0,0.0
39,The animal formerly known as the pygmy chimpan,Concealed ovulation,0,0.0,0.5394411999877775,0.0001649854752260671,4.844313260461844e-05,0.0,0.0,0.0
40,S. Sylvan Simon was a lawyer and politician,director and producer,0,0.18181818181818182,0.5525433000002522,0.00016709608461801045,4.906285097988975e-05,0.0,0.0,0.0
41,The company that published a magazine which was a hybrid,GameFan,0,0.0,0.47848579999117646,0.0001498359276079988,4.3994913492260404e-05,0.0,0.0,0.0
42,The region where Jews supported by Kolel Ch,the medieval city of Halych,0,0.15384615384615385,0.5098285999993095,0.00015652206657288263,4.595810156105835e-05,0.0,0.0,0.0
43,Fabián Bielinsky was born in,Murdock MacQuarrie,0,0.0,0.5129585000104271,0.00015598811879837302,4.580132350038926e-05,0.0,0.0,0.0
44,Cardinal Hayes High School is a member of the,"New York City, Long Island, and Westchester",0,0.0,0.4778794000012567,0.0001496317811079803,4.393497187644474e-05,0.0,0.0,0.0
45,ICI House is named after Imperial Chemical Industries (ICI,explosives,0,0.0,0.5270097000029637,0.00016076982661467797,4.720533137141186e-05,0.0,0.0,0.0
46,"I am sorry, I cannot answer that question.",Juventus,0,0.0,0.5162042000010842,0.00015662802359306307,4.598921272385591e-05,0.0,0.0,0.0
47,"I am sorry, I cannot answer that question.",both a lauded intellectual and a controversial public figure,0,0.0,0.4638970999949379,0.00014568271798831925,4.277544563264893e-05,0.0,0.0,0.0
48,"I am sorry, I cannot answer that question.",small forward,0,0.0,0.5728312999999616,0.0001704431520263384,5.004561888764682e-05,0.0,0.0,0.0
49,"I am sorry, I cannot answer that question.",1866,0,0.0,0.5230871000094339,0.00015773189188483534,4.6313331183151096e-05,0.0,0.0,0.0
