qid,prompt,original_pred,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who is the owner of reading football club
Answer: ",The Reading Football Club is owned by the owners of The Redpath Group., reading football club is owned by owners of redpath group,Xiu Li Dai,0,0.0,0.11435920000076294,3.5222437322299924e-05,1.0342032833642133e-05,0.0,0.0,0.0
1,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who was the first lady nominated member of the rajya sabha
Answer: ",Indira Gandhi,indira gandhi,Mary Kom,0,0.0,0.22103500000957865,6.16369335615692e-05,1.46524467633879e-07,0.0,0.0,0.0
2,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: cast of law & order special victim unit
Answer: ",Jane Benson & Stephanie Dunford,jane benson stephanie dunford,Christopher Meloni,0,0.0,0.26575570000568405,7.441634182308125e-05,1.7690391521498897e-07,0.0,0.0,0.0
3,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who designed the garden city of new earswick
Answer: ",J.P. Scott designed it.,jp scott designed it,Raymond Unwin,0,0.0,0.39538360000005923,0.00010972346370666453,2.60836663629685e-07,0.0,0.0,0.0
4,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: what is the first step in the evolution of the eye
Answer: ",Development of photoreceptor cells.,development of photoreceptor cells,photoreceptor proteins that sense light,0,0.22222222222222224,0.3172748000069987,8.923690468219913e-05,2.6201792617332556e-05,0.0,0.0,0.0
5,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who is the president of usa right now
Answer: ",Joe Biden,joe biden,Donald Trump,0,0.0,0.2268214999930933,6.310376636695401e-05,1.50011449926764e-07,0.0,0.0,0.0
6,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who died in the plane crash greys anatomy
Answer: ",Dr. Willie Hart.,dr willie hart,Dr. Lexie Grey,0,0.3333333333333333,0.3907737999979872,0.00010823293589965324,2.572933531371592e-07,0.0,0.0,0.0
7,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: where does kylo ren's name come from
Answer: ",From a Sith family name.,from sith family name,"the character, ""came to the name Kylo Ren when he joined a group called the Knights of Ren.""",0,0.11111111111111112,0.3616786000056891,0.00010171039443638289,2.9864266040379695e-05,0.0,0.0,0.0
8,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: what type of car is a jeep considered
Answer: ",SUV/Truck ,,sport utility vehicles,0,0.0,0.3458826000132831,9.435434479201853e-05,2.2430090760086164e-07,0.0,0.0,0.0
9,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: what is the name of manchester united stadium
Answer: ",Old Trafford,old trafford,Old Trafford,1,1.0,0.2536727999977302,6.884185669354473e-05,2.021338659044952e-05,0.0,0.0,0.0
10,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who is rose in the fall season 2
Answer: ",Rose,rose,Valene Kane,0,0.0,0.15885760000674054,4.385420408492304e-05,1.0425103157723086e-07,0.0,0.0,0.0
11,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: what is the corporate tax rate in great britain
Answer: ",19%,19,a flat rate of 20%,0,0.0,0.2477052000031108,6.924131834545977e-05,2.0330676756433313e-05,0.0,0.0,0.0
12,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: what is the meaning of the name sinead
Answer: ",Irish Gaelic for “sinew.”,irish gaelic for “sinew”,God forgave/God gratified,0,0.0,0.39808289999200497,0.00011067749219228134,2.6310459793279114e-07,0.0,0.0,0.0
13,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: which five year plan was affected by indo pak indo china war
Answer: ",Indo-China War,indochina war,The Third Five-year Plan,0,0.0,0.24521680000179913,6.83130691910112e-05,1.6239510172339646e-07,0.0,0.0,0.0
14,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: what are three different types of hotel properties
Answer: ",1. Hotel 2. Motel 3. Resort,3 resort,Hotel barge,0,0.0,0.36881040000298526,0.00010337416791586595,3.035278419132727e-05,0.0,0.0,0.0
15,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who decides the number of judges in the high court
Answer: ",The Supreme Court decides., supreme court decides,the President of India,0,0.0,0.22880830000212882,6.380092192639841e-05,1.516687411205829e-07,0.0,0.0,0.0
16,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who has won the mens singles title in the australian open tennis tournament
Answer: ",Bjorn Borg,bjorn borg,Roger Federer,0,0.0,0.18301449999853503,5.07434553827933e-05,1.4899323316534065e-05,0.0,0.0,0.0
17,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: where does the brain get its energy from
Answer: ",Glucose.,glucose,"most of its energy from oxygen-dependent metabolism of glucose (i.e., blood sugar)",0,0.15384615384615385,0.21072030000505038,5.778842087836655e-05,1.6967870243040087e-05,0.0,0.0,0.0
18,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: where was the first season of slasher filmed
Answer: ",Los Angeles California.,los angeles california,"Sudbury, Parry Sound, and Sault Ste. Marie, Ontario",0,0.0,0.33904079999774694,9.38610080391909e-05,2.231281382741707e-07,0.0,0.0,0.0
19,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who said if a tree falls in the woods and nobody hears it
Answer: ",Neither. ,,Charles Riborg Mann,0,0.0,0.2701219000009587,7.482801019601532e-05,2.1971044514666398e-05,0.0,0.0,0.0
20,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: the seed of a gymnosperm seed is made in the
Answer: ",Within the fruit.,within fruit,the surface of scales or leaves,0,0.0,0.29418470000382513,8.2087615219402e-05,2.410261402600185e-05,0.0,0.0,0.0
21,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: where would a subcutaneous injection be made in the skin
Answer: ",Under the skin.,under skin,"into the subcutis,[1] the layer of skin directly below the dermis and epidermis",0,0.16666666666666669,0.25568199998815544,7.071970218369689e-05,2.0764760691507678e-05,0.0,0.0,0.0
22,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: when do primary ossification centers appear in an embryo
Answer: ",During the 6th week.,during 6th week,prenatal development,0,0.0,0.3521838000015123,9.90070843361174e-05,2.90705185333393e-05,0.0,0.0,0.0
23,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who wrote there's a guy works down the chip shop lyrics
Answer: ",Simon & Garfunkel,simon garfunkel,Kirsty MacColl/Philip Rambow,0,0.0,0.3531407999980729,9.848559153756736e-05,2.8917397510061964e-05,0.0,0.0,0.0
24,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: what is the weight of a honda fit
Answer: ",85-145 lbs.,85145 lbs,"1,020–1,080 kg",0,0.0,0.27459499999531545,7.640446275619747e-05,1.8163011336411716e-07,0.0,0.0,0.0
25,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: when does bloom find out who she is
Answer: ",When she discovers her true identity.,when she discovers her true identity,"Addio Magix!""  / ""The Font of Dragon Fire",0,0.0,0.3648186999926111,0.0001022563002920996,3.0024555239910055e-05,0.0,0.0,0.0
26,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: what is the job of justice of the peace
Answer: ",To provide legal services resolve minor disputes and enforce laws.,to provide legal services resolve minor disputes and enforce laws,"a judicial officer, of a lower or puisne court, elected or appointed by means of a commission (letters patent) to keep the peace.",0,0.06896551724137931,0.3315549999970244,9.139915300614573e-05,2.1727577059029811e-07,0.0,0.0,0.0
27,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who was kat slater's sisters in eastenders
Answer: ",Sharon Slater.,sharon slater,Lynne,0,0.0,0.25113299999793526,6.945202806519242e-05,2.0392545468694827e-05,0.0,0.0,0.0
