qid,prompt,original_pred,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who is the owner of reading football club
Answer: ",The owner of Reading Football Club is Dai Yongge., owner of reading football club is dai yongge,Dai Yongge,0,0.4,0.5461087000003317,0.00017409961169895347,5.111923073463652e-05,0.0,0.0,0.0
1,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who was the first lady nominated member of the rajya sabha
Answer: ",Indira Gandhi was the first lady nominated member of the Rajya Sabha.,indira gandhi was first lady nominated member of rajya sabha,Mary Kom,0,0.0,0.5926008999958867,0.0001987871234608466,5.836799250788207e-05,0.0,0.0,0.0
2,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: cast of law & order special victim unit
Answer: ","The main cast of *Law & Order: Special Victims Unit* includes:  - **Mariska Hargitay** as Detective Olivia Benson  - **Ice-T** as Sergeant Odafin ""Fin"" Tutuola  - **Dann Florek** as Captain Donald Cragen (seasons 1–14)  - **Kelli Giddish** as Detective Amy Rollins (seasons 9–16)  - **Richard Belzer** as Dr. George Huang (seasons 1–14)  - **Peter Hermann** as ADA Ben Stone (seasons 1–12)  - **Tammy Foster** as ADA Dana Lewis (season 10–12)  - **Christopher Meloni** as Detective Elliot Stabler (seasons 1–12)  - **Adrienne Barbeau** as ADA Annalise Candell (season 13–14)  - **Jordan Fisher** as Detective Nick Amaro (seasons 13–17)  - **Barbara Rosenblat** as ADA Serena Southerlyn (seasons 14–17)  - **Tamara Feldman** as Dr. Lina Lewis (season 15–present)  - **Chris Meloni** returned as Elliot Stabler in later seasons (seasons 15–18)   Note: The cast has changed over the show's long run.",note cast has changed over shows long run,Christopher Meloni,0,0.0,8.275395800003025,0.0030430368618412588,0.0008934982792692961,0.0,0.0,0.0
3,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who designed the garden city of new earswick
Answer: ",The garden city of New Earswick was designed by Thomas C. Hine., garden city of new earswick was designed by thomas c hine,planner Raymond Unwin and the architect Barry Parker,0,0.0,0.830248099999153,0.0002623809209208077,7.70404408489431e-05,0.0,0.0,0.0
4,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: what is the first step in the evolution of the eye
Answer: ",The first step in the evolution of the eye is the development of light-sensitive cells that can detect the presence or absence of light., first step in evolution of eye is development of lightsensitive cells that can detect presence or absence of light,"photoreceptor proteins that sense light, found even in unicellular organisms, called ""eyespots""",0,0.1935483870967742,0.9474339000007603,0.00032365849951590146,9.503279963994925e-05,0.0,0.0,0.0
5,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who is the president of usa right now
Answer: ",Joe Biden,joe biden,Donald Trump,0,0.0,0.29921230000036303,8.885143274028959e-05,2.608861011825682e-05,0.0,0.0,0.0
6,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who died in the plane crash greys anatomy
Answer: ",Answer: Dr. Miranda Bailey Dr. Derek Shepherd (McDreamy) and Dr. Arizona Robbins died in the plane crash in Grey's Anatomy.,dr miranda bailey dr derek shepherd mcdreamy and dr arizona robbins died in plane crash in greys anatomy,Dr. Lexie Grey,0,0.09523809523809525,1.036290199997893,0.00035834966727252873,0.00010521884079018159,0.0,0.0,0.0
7,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: where does kylo ren's name come from
Answer: ","Kylo Ren's name is a combination of his original name Ben Solo and his chosen identity. ""Kylo"" is derived from his mother's name Leia and his father's name Han (a portmanteau of ""Leia"" and ""Han "" with a slight variation). ""Ren"" is a Japanese word meaning ""to be born again"" or ""reborn "" reflecting his transformation and self-reinvention.",kylo rens name is combination of his original name ben solo and his chosen identity kylo is derived from his mothers name leia and his fathers name han portmanteau of leia and han with slight variation ren is japanese word meaning to be born again or reborn reflecting his transformation and selfreinvention,"the character, ""came to the name Kylo Ren when he joined a group called the Knights of Ren.""",0,0.15151515151515152,2.642901499995787,0.0009448063085199398,0.00027741458589974156,0.0,0.0,0.0
8,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: what type of car is a jeep considered
Answer: ",A Jeep is considered an SUV (Sport Utility Vehicle) or off-road vehicle., jeep is considered suv sport utility vehicle or offroad vehicle,sport utility vehicles,0,0.30769230769230765,0.8201553000035346,0.00025962569369315965,7.623144940432094e-05,0.0,0.0,0.0
9,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: what is the name of manchester united stadium
Answer: ",Old Trafford,old trafford,Old Trafford,1,1.0,0.35522730000229785,0.00010442666189981154,3.066181809603904e-05,0.0,0.0,0.0
10,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who is rose in the fall season 2
Answer: ",Rose is a character in *The Fall* Season 2 portrayed by Fiona Shaw. She is a patient at the psychiatric hospital and becomes a central figure in the story forming a complex relationship with Dr. West.,rose is character in fall season 2 portrayed by fiona shaw she is patient at psychiatric hospital and becomes central figure in story forming complex relationship with dr west,a woman who had a sexual relationship with Paul whilst at university,0,0.15384615384615385,1.3626702999972622,0.00047679730872897825,0.00013999750717833952,0.0,0.0,0.0
11,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: what is the corporate tax rate in great britain
Answer: ",The corporate tax rate in Great Britain is 25%., corporate tax rate in great britain is 25,a flat rate of 20%,0,0.16666666666666666,0.6198010000007343,0.00019242843800745105,5.650095153237909e-05,0.0,0.0,0.0
12,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: what is the meaning of the name sinead
Answer: ","The name Sinead means ""God is gracious.""", name sinead means god is gracious,God forgave/God gratified,0,0.2222222222222222,0.5356590000010328,0.00016592400401797366,4.871870398238538e-05,0.0,0.0,0.0
13,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: which five year plan was affected by indo pak indo china war
Answer: ",Third Five-Year Plan,third fiveyear plan,The Third Five-year Plan,1,1.0,0.3449592999968445,0.00010486761847119178,3.079129202476508e-05,0.0,0.0,0.0
14,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: what are three different types of hotel properties
Answer: ",1. Full-service hotels  2. Limited-service hotels  3. Boutique hotels,3 boutique hotels,Hotel barge,0,0.0,0.6380352999985917,0.00020960665388503988,6.154482941634762e-05,0.0,0.0,0.0
15,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who decides the number of judges in the high court
Answer: ",The President of India decides the number of judges in a High Court after consultation with the Chief Justice of India., president of india decides number of judges in high court after consultation with chief justice of india,the President of India,0,0.3,0.8939910999979475,0.0003003561851990254,8.81907603580054e-05,0.0,0.0,0.0
16,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who has won the mens singles title in the australian open tennis tournament
Answer: ",Novak Djokovic has won the men's singles title in the Australian Open tennis tournament most recently (2024). He has won the tournament a record 10 times.,novak djokovic has won mens singles title in australian open tennis tournament most recently 2024 he has won tournament record 10 times,Roger Federer,0,0.0,1.3019885000030627,0.000449495968437589,0.00013198127152967183,0.0,0.0,0.0
17,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: where does the brain get its energy from
Answer: ",The brain gets its energy primarily from glucose., brain gets its energy primarily from glucose,"most of its energy from oxygen-dependent metabolism of glucose (i.e., blood sugar)",0,0.4210526315789474,0.5787214000010863,0.00017426668077037227,5.116828565398492e-05,0.0,0.0,0.0
18,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: where was the first season of slasher filmed
Answer: ",The first season of *Slasher* was filmed in Toronto Ontario Canada., first season of slasher was filmed in toronto ontario canada,"Orangeville, Ontario, Canada",0,0.30769230769230765,0.7228582000025199,0.00023345206283501406,6.854633246497748e-05,0.0,0.0,0.0
