qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,The series of ministerial meetings and agreements between European,Bologna Process,0,0.0,0.9015408999985084,0.00030199853851257594,8.867298910719042e-05,0.05638909999106545,1.5113413951959534e-05,4.43760952399033e-06
1,Randal Malone was not born in Louisville. He,107 mi southwest of Louisville,0,0.0,0.8423428000096465,0.0002837698342895423,8.332066621527038e-05,0.09063770000648219,2.5312959569592182e-05,7.4324061276598845e-06
2,Aly Mohamed Ahmed plays for ENPPI in,United Arab Emirates,0,0.0,0.7374143000051845,0.0002529186552462767,7.426212481728426e-05,0.04764489999797661,1.376291190059984e-05,4.041074314650337e-06
3,"Thomas Tull produced ""The Hangover,"" which",Las Vegas,0,0.0,0.6841322999971453,0.00022862273517240838,6.712834242658047e-05,0.0727679999981774,1.9214665064960456e-05,5.641821296206702e-06
4,To determine which writer had a longer lifespan between Ann,Michel Butor,0,0.0,0.6276112000050489,0.00020028059592399036,5.880650677390631e-05,0.022254900002735667,6.805545192968588e-06,1.9982481959576303e-06
5,"The German software corporation SAP SE, which has established",Walldorf,0,0.0,0.6779924000002211,0.0002137158673716373,6.275137910539852e-05,0.04596050000691321,1.2253961131088311e-05,3.598015299175629e-06
6,"In 1943, designer Robert L","City of Westminster, London",0,0.0,0.746766900003422,0.00023442124729539194,6.88309049782129e-05,0.060121299989987165,1.603731629769155e-05,4.708886275999483e-06
7,The French refer to the period when the Pruss,War of 1870,0,0.0,0.7483758999878773,0.0002560472065678183,7.518073190267847e-05,0.022595700007514097,5.917317223389141e-06,1.7374461753281814e-06
8,Francesca Schiavone and Olga,French Open,0,0.0,0.9168807999958517,0.0003145606543576517,9.236148497534933e-05,0.0238346999976784,7.147047324550312e-06,2.0985202533754427e-06
9,The original serialized story of the Bride of Re-,horror fiction,0,0.0,0.6553094999981113,0.00021817414032358344,6.406041984066796e-05,0.11394959999597631,3.227510872082428e-05,9.476636470265105e-06
10,The Stone Book series is set in **England**,North West England,0,0.0,0.7625545999908354,0.0002480098114832365,7.282078721455001e-05,0.059702099999412894,1.6666611618438498e-05,4.893660339465609e-06
11,The question is asking how many Grammy Awards were won,two Grammy awards,0,0.30769230769230765,0.893830999993952,0.0002973680912655095,8.73133944537764e-05,0.07964500000525732,2.14691511093406e-05,6.303784819077554e-06
12,Jessica Jones is the second show in the series leading,Daredevil,0,0.0,0.8597575000021607,0.00028722143603948636,8.433412755810532e-05,0.10940470000787172,3.054337076486713e-05,8.968162549624915e-06
13,The second First Lady to be born outside the United,fashion model,0,0.0,0.704588499997044,0.00024266480362652708,7.12513828532236e-05,0.1313289999961853,3.576582846563159e-05,1.0501583661837899e-05
14,The end of Riley Hawk's amateur career occurred before,"October 15, 2013",0,0.0,0.8628480000043055,0.00028862676881628965,8.474676219740928e-05,0.1570140999974683,4.437883091168688e-05,1.3030538523145818e-05
15,Sinimol Paulose's favorite events are the,1896,0,0.0,0.7612999000120908,0.0002580215173760494,7.576043020736145e-05,0.16492440000001807,4.661974267241817e-05,1.3688516356840617e-05
16,"The song ""Hold On"" features the vocals of",Mercury Prize,0,0.0,0.7743941000080667,0.00026451635934299613,7.766744953872822e-05,0.1093710999994073,2.9403315129149585e-05,8.633418741043991e-06
17,Adolfo Rodríguez Saá.,Adolfo Rodríguez Saá,0,0.6666666666666666,0.6857659999950556,0.0002168618932005479,6.367511706595925e-05,0.14249009999912232,4.0048549530500775e-05,1.1759078748419141e-05
18,"The man who played Lex Luthor in ""Super","January 30, 1930",0,0.0,0.7194197999924654,0.00024756199443827856,7.268929890952328e-05,0.051172999999835156,1.3491469579219276e-05,3.961373260050674e-06
19,The 1966 Football League Cup Final,West Bromwich Albion Football Club,0,0.1818181818181818,0.7503541000041878,0.00025686672113315066,7.54213582530006e-05,0.12355240000761114,3.432886516074682e-05,1.0079661648211422e-05
20,The major benefactor who donated money to build Arch,John D Rockefeller's Standard Oil Company,0,0.0,0.8578766999999061,0.00027166557727963125,7.976660712850503e-05,0.04424119999748655,1.1671083888197447e-05,3.4268705391239558e-06
21,"Armie Hammer stars as Oliver in the film """,Luca Guadagnino,0,0.0,0.6935053000051994,0.00023004525150263793,6.754602251098257e-05,0.058932400002959184,1.5831311663674162e-05,4.648399073782463e-06
22,The question asks about the nationalities of the political,Palestinian,0,0.0,0.8548004999902332,0.00027603492261077107,8.104953688327131e-05,0.045381399992038496,1.153249777691801e-05,3.3861788033413413e-06
23,"The scientific name of the true creature featured in """,Eucritta melanolimnetes,0,0.0,0.7784819000080461,0.0002549525701321225,7.485932410641278e-05,0.023882399997091852,6.313881665280657e-06,1.853885660795033e-06
24,"The brother-in-law of Ezzo, Count Pal",1002,0,0.0,0.8354552999953739,0.0002711042606476399,7.960179300775e-05,0.041413200000533834,1.1020929444445452e-05,3.2359718076507525e-06
25,"The board game ""San Marco"" was released in",San Marco,0,0.0,0.7485801000002539,0.0002457933743360168,7.216999563131855e-05,0.04975060001015663,1.432498022449223e-05,4.206109147624971e-06
26,The 1876 battle that featured The,Battle of the Rosebud,0,0.4,0.8321148999966681,0.000269941381658015,7.926034779252523e-05,0.021838400003616698,5.71162666690523e-06,1.6770511927418988e-06
27,The Bee Cliff in northeast Tennessee overlooks the W,78.5 mi long,0,0.0,0.7681242999969982,0.0002503824370762985,7.351743894142672e-05,0.03335359999618959,9.802776863552204e-06,2.878297127937212e-06
28,"The prison where William Penn wrote *No Cross,",1952,0,0.0,0.6973098000016762,0.00022176242015933812,6.511401268372133e-05,0.05738809998729266,1.5901157398037972e-05,4.66890721952691e-06
29,Bangalore Naatkal featured the actor Rana,Ramanaidu Daggubati,0,0.0,0.6906950999982655,0.0002294081793847363,6.73589650197463e-05,0.024991300000692718,6.5252427758726596e-06,1.915945634825099e-06
30,The question is asking about an American sitcom where the,Bonnie Franklin,0,0.0,0.6081326999992598,0.00020472525591775116,6.0111550464359486e-05,0.1512321000045631,4.292589878812083e-05,1.2603927735553896e-05
31,Greensky Bluegrass band's home is in,"Bell's Brewery, Inc.",0,0.0,0.886042300000554,0.0003062940511425823,8.993424006067637e-05,0.19856620000791736,5.510742773891966e-05,1.618067545520595e-05
32,The company that designed the Glomar Challenger was,"Vernier, Switzerland",0,0.0,0.6676849000068614,0.0002132961042760438,6.262812801754064e-05,0.05797929999243934,1.6507054065556925e-05,4.846810956623154e-06
33,Stitch's Great Escape! replaced the theater-in,Tomorrowland,0,0.0,0.7975513999990653,0.00027033823996533543,7.937687356293276e-05,0.156092000004719,4.309936844526986e-05,1.2654861998661806e-05
34,The architect of Hook and Ladder No.,Cuyler Reynolds,0,0.0,0.8166549000015948,0.0002654785063693128,7.794995571642132e-05,0.09132019999378826,2.5652864682981017e-05,7.5322092676533965e-06
35,The question asks about the type of students who attend,girls aged 11 to 18,0,0.0,0.864751700006309,0.00028863305727214867,8.474860861752984e-05,0.04049230000237003,1.1769464079101195e-05,3.4557569888377116e-06
36,Glenn Quagmire is a character from,Ted,0,0.0,0.6901133000064874,0.0002273666854648787,6.675954037017837e-05,0.05989930000214372,1.6911850079936366e-05,4.9656674012619004e-06
37,Colin Kaepernick is an American football quarterback who played,an American football quarterback,0,0.6153846153846153,0.6733851000026334,0.0002136748389586039,6.27393323185501e-05,0.017142500000772998,3.9883711108511e-06,1.1710678793672548e-06
38,British Airways and EasyJet are both based out of,London,0,0.0,0.6478682000015397,0.00020528652855048916,6.027635166602778e-05,0.03789659999893047,1.0124563334344807e-05,2.9727802613986196e-06
39,The animal formerly known as the pygmy chimpan,Concealed ovulation,0,0.0,0.8032559999992372,0.00026144050384912425,7.676431503335366e-05,0.07656370000040624,2.148962456395349e-05,6.3097962469037175e-06
40,"S. Sylvan Simon was a film director,",director and producer,0,0.0,0.5183107999910135,0.00016655273027520328,4.8903310957085706e-05,0.14243789999454748,3.95455732202731e-05,1.161139454737081e-05
41,The company that published a magazine which was a hybrid,GameFan,0,0.0,0.6870387999952072,0.00022841666914537177,6.706783719810892e-05,0.0985997999960091,2.7083913135495712e-05,7.952394558836232e-06
42,The region where Jews supported by Kolel Ch,the medieval city of Halych,0,0.15384615384615385,0.9204724000010174,0.0003049860485927444,8.955018358005496e-05,0.02798850000544917,8.376490202168302e-06,2.4595099966764458e-06
43,Murdock MacQuarrie was born on,Murdock MacQuarrie,0,0.5714285714285715,0.6497774999879766,0.00020632610649878432,6.0581593156729275e-05,0.13983239998924546,3.994232109240166e-05,1.1727887891732117e-05
44,The schools in the athletic association that Cardinal Hayes High,"New York City, Long Island, and Westchester",0,0.0,0.8337382000026992,0.0002711482160648274,7.961469922328557e-05,0.09312939998926595,2.5382501908698713e-05,7.452825190309836e-06
45,ICI House is now named after the company that provides,explosives,0,0.0,0.8205361000000266,0.0002747605201335811,8.067534607581037e-05,0.06554619999951683,1.763758889080944e-05,5.178759259216482e-06
46,The winner of the European Cup in the year when,Juventus,0,0.0,0.7024605999904452,0.0002420108575333479,7.105937081540788e-05,0.05231719999574125,1.4965416303776794e-05,4.394154367187804e-06
47,God Is Not Great was written by Christopher Hitchens,both a lauded intellectual and a controversial public figure,0,0.0,0.6885493000008864,0.00022843765740954966,6.707399978462338e-05,0.021011699995142408,5.531631666801533e-06,1.6242009545846066e-06
48,"Mindaugas Kuzminskas, who",small forward,0,0.0,0.6991484000027413,0.00023082785311843334,6.777581045927693e-05,0.041594700000132434,9.633896836281646e-06,2.82871047466286e-06
49,The question is asking about the publication year of the,1866,0,0.0,0.6666960000002291,0.00021126826121051751,6.203271153987774e-05,0.0902467000123579,2.494674901990407e-05,7.3248791699356174e-06
