qid,original_pred,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,Yes both were American.,"Yes, both were American.",yes,0,0.0,35.664570400025696,0.011381669474429907,0.0033418925081511197,0.16498530004173517,4.524195445456043e-05,1.3283969367190111e-05
1,"The woman who portrayed Corliss Archer in ""Kiss and Tell "" Shirley Temple did not hold a government position as per the provided context.  Answer: None",None,Chief of Protocol,0,0.0,56.77838959987275,0.01812393274798246,0.005321559829583006,0.20603709993883967,5.662992127856922e-05,1.6627710906841064e-05
2,Animorphs,Animorphs,Animorphs,1,1.0,90.85309430002235,0.02896722897585258,0.008505374867349908,0.1972604999318719,5.3886548167512655e-05,1.5822200074928384e-05
3,No they are not. The Laleli Mosque is in Laleli while the Esma Sultan Mansion is in Ortaköy.,"No, they are not. The Laleli Mosque is in Laleli, while the Esma Sultan Mansion is in Ortaköy.",no,0,0.0,31.742644200101495,0.010117912301485107,0.0029708273812051444,0.1466161001008004,3.9863965266487056e-05,1.1704881007884162e-05
4,"The director of ""Big Stone Gap "" Adriana Trigiani is not explicitly stated to be based in any specific city within the context provided. Therefore her base in New York City cannot be confirmed from the given information.  Answer: The context does not specify where Adriana Trigiani is based in New York City.",The context does not specify where Adriana Trigiani is based in New York City.,"Greenwich Village, New York City",0,0.33333333333333337,42.445052300114185,0.013527174563352206,0.003971856978563636,0.16955329990014434,4.615555087670297e-05,1.3552220087832722e-05
5,J. Tune Camp,J. Tune Camp,YG Entertainment,0,0.0,63.47869819984771,0.020256950682185085,0.005947857814257242,0.17820980004034936,4.864225367597328e-05,1.428236723132075e-05
6,Eenasul Fateh known as Aladin was a consultant who helped organizations improve their performance.,"Eenasul Fateh, known as Aladin, was a consultant who helped organizations improve their performance.",Eenasul Fateh,0,0.2666666666666667,40.4581107001286,0.01291761730985658,0.0037928784180525695,0.13221160019747913,3.604545530335928e-05,1.0583687858957626e-05
7,The context does not provide the seating capacity of the Androscoggin Bank Colisée where the Lewiston Maineiacs played their home games.  Answer: The seating capacity is not specified in the provided context.,The seating capacity is not specified in the provided context.,"3,677 seated",0,0.0,84.25393340014853,0.026893812877012674,0.007896577208749821,0.12443069997243583,3.4011373748943344e-05,9.986439632505197e-06
8,Based on the provided context Annie Morton was born in 1970. The other Terry Richardson mentioned (the photographer) does not have a specified birth year in the context. Therefore it is not possible to definitively determine who is older between Annie Morton and Terry Richardson from the given information.  Answer: It cannot be determined from the provided context who is older between Annie Morton and Terry Richardson.,It cannot be determined from the provided context who is older between Annie Morton and Terry Richardson.,Terry Richardson,0,0.2222222222222222,349.24836179986596,0.11135839632232566,0.03269711804804837,0.04705590009689331,1.2314263889048662e-05,3.615721430556556e-06
9,Local H is from the United States but there's no information about For Against.,"Local H is from the United States, but there's no information about For Against.",yes,0,0.0,30.542404199950397,0.009741041641201282,0.002860170395516534,0.06274560000747442,1.674796836450696e-05,4.917548355260178e-06
10,"The fight song of the University of Kansas is called **""The Wildcat Song.""**","The fight song of the University of Kansas is called **""The Wildcat Song.""**",Kansas Song,0,0.33333333333333337,42.79234819998965,0.013635647550153776,0.00400370688096533,0.11515469988808036,3.116302789684116e-05,9.150106642415412e-06
11,"The screenwriter who co-wrote a film starring Nicolas Cage and Téa Leoni and also worked on ""Evolution"" is **David Diamond**.","The screenwriter who co-wrote a film starring Nicolas Cage and Téa Leoni and also worked on ""Evolution"" is **David Diamond**.",David Weissman,0,0.09999999999999999,256.2579691999126,0.08170625274722278,0.023990638151853597,0.06988910003565252,1.8675553928025895e-05,5.483527166015166e-06
12,The promo likely occurred in **1990**.,The promo likely occurred in **1990**.,1999,0,0.0,136.7320487999823,0.043557033002021794,0.012789241735913155,0.07352309999987483,1.9936106349151338e-05,5.853651311840608e-06
13,Yes both Random House Tower and 888 7th Avenue are used for real estate. 888 7th Avenue houses a major real estate company while Random House Tower includes both commercial offices and luxury apartments fitting the real estate category.,"Yes, both Random House Tower and 888 7th Avenue are used for real estate. 888 7th Avenue houses a major real estate company, while Random House Tower includes both commercial offices and luxury apartments, fitting the real estate category.",no,0,0.0,37.90280760009773,0.012110254887841333,0.0035558201872229796,0.08372780005447567,2.2774773564857592e-05,6.687142454999823e-06
14,The football manager who recruited David Beckham managed Manchester United from 1986 to 2013.  Answer: 1986–2013,1986–2013,from 1986 to 2013,0,0.0,30.247353999875486,0.009637897938686768,0.0028298852807123647,0.07331139990128577,1.971079116109548e-05,5.7874941333503894e-06
15,The United States of America where Brown State Fishing Lake is located has an estimated population of around 332 million people.   Answer: 332 million,332 million,"9,984",0,0.0,29.172367699909955,0.009305450654956325,0.0027322719130645043,0.11764920013956726,3.192844131414681e-05,9.374847781725312e-06
16,The Vermont Catamounts men's soccer team currently competes in the America East Conference which was known as the same from 1988 onwards.  Answer: The conference is currently and was known as the America East Conference from 1988 to 1996.,The conference is currently and was known as the America East Conference from 1988 to 1996.,the North Atlantic Conference,0,0.11764705882352941,77.29280219995417,0.02461966231090752,0.007228839777404749,0.15161499986425042,4.124547747446488e-05,1.2110521437711498e-05
17,Yes both Giuseppe Verdi and Ambroise Thomas were opera composers.,"Yes, both Giuseppe Verdi and Ambroise Thomas were opera composers.",yes,0,0.0,44.852828100090846,0.014295531132007197,0.004197462287709676,0.037626399891451,9.907731640204374e-06,2.9091140113985137e-06
