qid,original_pred,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,True,True,False,0,0.0,6.6550494999974035,0.002380268820861137,0.00069889593593386,0.0,0.0,0.0
1,False,False,True,0,0.0,4.525933499986422,0.001596254913885336,0.0004686933098696414,0.0,0.0,0.0
2,True,True,True,1,1.0,4.4394869999960065,0.0015700954495755958,0.00046101235252060126,0.0,0.0,0.0
3,False,False,True,0,0.0,5.238133299993933,0.0018489636273823814,0.000542893791466616,0.0,0.0,0.0
4,True,True,True,1,1.0,5.990599099983228,0.0021373390609483824,0.0006275667564595061,0.0,0.0,0.0
5,False,False,False,1,1.0,5.54283380000561,0.001977421336620849,0.000580611619864527,0.0,0.0,0.0
6,False,False,True,0,0.0,9.9013615000149,0.003543503714348915,0.0010404456518608798,0.0,0.0,0.0
7,True,True,True,1,1.0,5.689999700000044,0.0019952891888648273,0.0005858579891853945,0.0,0.0,0.0
8,True,True,True,1,1.0,9.098396199988201,0.0032130752129300414,0.0009434250402667583,0.0,0.0,0.0
9,True,True,True,1,1.0,5.912428199982969,0.002070359916496944,0.0006079003005368922,0.0,0.0,0.0
10,True,True,True,1,1.0,5.426715099994908,0.0018870081625615958,0.0005540644503385101,0.0,0.0,0.0
11,False,False,False,1,1.0,4.547795999998925,0.0015851114141150922,0.0004654213488905929,0.0,0.0,0.0
12,False,False,True,0,0.0,6.14574919998995,0.0021610763658560686,0.0006345365179354401,0.0,0.0,0.0
13,False,False,True,0,0.0,5.687419300011243,0.0019980956482636317,0.000586682023450347,0.0,0.0,0.0
14,True,True,True,1,1.0,3.9207461000041803,0.0013795347631732125,0.00040505981131678484,0.0,0.0,0.0
15,False,False,True,0,0.0,7.545856300013838,0.002660974453561452,0.0007813168894701151,0.0,0.0,0.0
16,False,False,True,0,0.0,4.867943000004743,0.0017184693060798022,0.0005045779718325023,0.0,0.0,0.0
17,True,True,True,1,1.0,4.757407299999613,0.0016711543328524494,0.0004906853214698206,0.0,0.0,0.0
18,True,True,True,1,1.0,5.354197200023918,0.001882505785295416,0.0005527424596684666,0.0,0.0,0.0
19,True,True,True,1,1.0,5.58257670000603,0.001970428445351232,0.0005785583630029787,0.0,0.0,0.0
20,True,True,False,0,0.0,8.91664100001799,0.0031607927610960546,0.0009280738359039621,0.0,0.0,0.0
21,True,True,True,1,1.0,4.579002700003912,0.0016099809577645547,0.00047272355897409556,0.0,0.0,0.0
22,False,False,True,0,0.0,5.890952099987771,0.002075174256465919,0.0006093138898798404,0.0,0.0,0.0
23,True,True,True,1,1.0,7.363750600008643,0.00259735203456432,0.0007626360372564186,0.0,0.0,0.0
24,False,False,True,0,0.0,6.768039300004602,0.002387730328237457,0.0007010867881332193,0.0,0.0,0.0
25,True,True,True,1,1.0,5.047030499990797,0.0017780608819657913,0.0005220752855130404,0.0,0.0,0.0
26,True,True,True,1,1.0,5.358294700010447,0.0018951447849952406,0.0005564535302194311,0.0,0.0,0.0
27,True,True,False,0,0.0,7.449585300011677,0.0026361555880089105,0.0007740295595193389,0.0,0.0,0.0
28,False,False,True,0,0.0,7.339053000003332,0.0025732821084445212,0.0007555686113438825,0.0,0.0,0.0
29,False,False,True,0,0.0,7.402047900002799,0.0025924516544941455,0.0007611971847681784,0.0,0.0,0.0
30,False,False,True,0,0.0,7.43032869999297,0.002617777853597766,0.0007686334782956334,0.0,0.0,0.0
31,True,True,True,1,1.0,7.017693499990855,0.002475566538597351,0.0007268773080569952,0.0,0.0,0.0
32,False,False,False,1,1.0,7.3073558999894885,0.0025588732971897313,0.0007513378876796673,0.0,0.0,0.0
33,False,False,True,0,0.0,9.725001200000406,0.003457979469943144,0.0010153339727449965,0.0,0.0,0.0
34,False,False,True,0,0.0,5.323366099997656,0.0018565614252954252,0.0005451246613738024,0.0,0.0,0.0
35,True,True,True,1,1.0,6.205140699996264,0.0021683385892270275,0.000636668856247535,0.0,0.0,0.0
36,False,False,False,1,1.0,6.682637700010673,0.002337426745404312,0.0006863166204543107,0.0,0.0,0.0
37,False,False,True,0,0.0,6.997345800002222,0.0024544259872454374,0.0007206700068926216,0.0,0.0,0.0
38,True,True,False,0,0.0,9.350653399989824,0.003306617597480677,0.0009708910104240069,0.0,0.0,0.0
39,True,True,False,0,0.0,4.645821400001296,0.0016459975353614958,0.00048329876774385206,0.0,0.0,0.0
40,True,True,True,1,1.0,5.11475999999675,0.0017966693724462022,0.0005275391214699884,0.0,0.0,0.0
41,False,False,False,1,1.0,6.871340600002441,0.00243781085582745,0.0007157914621999942,0.0,0.0,0.0
42,True,True,True,1,1.0,7.211366300005466,0.002554239683791675,0.0007499773633791311,0.0,0.0,0.0
43,False,False,False,1,1.0,3.1222802999982378,0.0011032098373488727,0.0003239251235187956,0.0,0.0,0.0
44,True,True,True,1,1.0,7.434671900016838,0.0026389085662186736,0.0007748378906060026,0.0,0.0,0.0
45,False,False,True,0,0.0,7.655866299988702,0.0027209294592236426,0.0007989209136160253,0.0,0.0,0.0
46,True,True,True,1,1.0,7.047994799984735,0.002499617631238297,0.0007339392040723557,0.0,0.0,0.0
47,False,False,True,0,0.0,8.600346599996556,0.003050737679579715,0.0008957593979184189,0.0,0.0,0.0
48,True,True,True,1,1.0,4.775844399991911,0.0016719803100567411,0.000490927845384008,0.0,0.0,0.0
49,True,True,True,1,1.0,5.256354700002703,0.0018545629435637342,0.0005445378659883082,0.0,0.0,0.0
50,True,True,True,1,1.0,8.254808199999388,0.0029302724890370147,0.0008603883375768681,0.0,0.0,0.0
51,True,True,True,1,1.0,4.248321699997177,0.0014929353562916094,0.0004383565603933298,0.0,0.0,0.0
52,False,False,False,1,1.0,6.079307699998026,0.002158084343793457,0.0006336579986516279,0.0,0.0,0.0
53,True,True,True,1,1.0,7.89767920000304,0.0028096923748255724,0.0008249835332798771,0.0,0.0,0.0
54,False,False,False,1,1.0,5.911393500005943,0.0020853983535209196,0.0006123158952910392,0.0,0.0,0.0
55,True,True,False,0,0.0,8.195298100006767,0.0029069047908644005,0.0008535271002486149,0.0,0.0,0.0
56,False,False,True,0,0.0,6.289395400002832,0.0022180767451066893,0.0006512730029306663,0.0,0.0,0.0
57,False,False,True,0,0.0,4.5322007999930065,0.0015968323902897186,0.00046886286883230293,0.0,0.0,0.0
58,False,False,False,1,1.0,5.973438600005466,0.0021107595347098266,0.0006197624602790211,0.0,0.0,0.0
59,True,True,True,1,1.0,3.388232600002084,0.0011823692849989532,0.00034716796725498965,0.0,0.0,0.0
60,False,False,False,1,1.0,3.117106400008197,0.001084157877173965,0.000318331075728429,0.0,0.0,0.0
61,False,False,False,1,1.0,8.503619100010837,0.003009317038092338,0.0008835974447198603,0.0,0.0,0.0
62,False,False,False,1,1.0,6.843273200007388,0.002431982626149803,0.0007140801739624234,0.0,0.0,0.0
63,True,True,True,1,1.0,7.7469445999886375,0.00273590889917623,0.0008033191856152532,0.0,0.0,0.0
64,True,True,True,1,1.0,4.586688499999582,0.0016172782631260181,0.0004748661980809465,0.0,0.0,0.0
65,True,True,True,1,1.0,8.36975889999303,0.002964614173744812,0.0008704717633080501,0.0,0.0,0.0
66,False,False,True,0,0.0,4.78818850000971,0.0016844993557090097,0.0004946036949567363,0.0,0.0,0.0
67,False,False,False,1,1.0,6.064123899996048,0.002132919655614855,0.0006262691280572951,0.0,0.0,0.0
68,False,False,False,1,1.0,7.598215799996979,0.002694705963598053,0.0007912211553542365,0.0,0.0,0.0
69,True,True,True,1,1.0,7.448117000007187,0.002621346359816899,0.0007696812651977045,0.0,0.0,0.0
70,True,True,True,1,1.0,6.832622899979469,0.0024099234163793303,0.0007076031357710318,0.0,0.0,0.0
71,False,False,True,0,0.0,4.199246000003768,0.0014746596207864122,0.00043299042814858463,0.0,0.0,0.0
72,True,True,False,0,0.0,6.56307740000193,0.002318665955983359,0.0006808080663925592,0.0,0.0,0.0
73,True,True,True,1,1.0,6.521265100003802,0.002311193840769704,0.0006786140995137409,0.0,0.0,0.0
74,True,True,True,1,1.0,8.966280400010874,0.0031335475978702394,0.000920074094998442,0.0,0.0,0.0
75,True,True,True,1,1.0,6.565094100005808,0.0023190638497318588,0.000680924896189817,0.0,0.0,0.0
76,False,False,False,1,1.0,6.226049000004423,0.002212900510298776,0.0006497531538115315,0.0,0.0,0.0
77,False,False,False,1,1.0,12.619816199992783,0.00445791368941695,0.0013089352483936052,0.0,0.0,0.0
78,False,False,True,0,0.0,8.902195900009247,0.0031403187871307876,0.0009220622555852467,0.0,0.0,0.0
79,False,False,False,1,1.0,8.185905899998033,0.002889456324790071,0.0008484038713423871,0.0,0.0,0.0
80,False,False,False,1,1.0,6.595309299998917,0.002334258840582971,0.0006853864583710803,0.0,0.0,0.0
81,True,True,True,1,1.0,3.4473128999961773,0.0012013628109606355,0.0003527448575571832,0.0,0.0,0.0
82,False,False,False,1,1.0,5.306492799994885,0.0018491850164533365,0.000542958795856286,0.0,0.0,0.0
83,False,False,True,0,0.0,4.237959800011595,0.0014832631636884635,0.00043551660549299943,0.0,0.0,0.0
84,True,True,False,0,0.0,5.4914649999991525,0.0019002718908611952,0.0005579589540696338,0.0,0.0,0.0
85,True,True,True,1,1.0,5.462167999998201,0.0019031461367076314,0.0005588028918313453,0.0,0.0,0.0
86,True,True,True,1,1.0,7.008731599984458,0.0024707740444897585,0.0007254701331087591,0.0,0.0,0.0
