qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,It’s highly unlikely that Scott Derrickson and,yes,0,0.0,1.6808849000080954,0.0004856206626109309,0.0001425882255523978,0.0,0.0,0.0
1,The woman who portrayed Corliss Archer in *Kiss,Chief of Protocol,0,0.0,0.08918579999590293,2.6525134178355676e-05,7.788325551668694e-06,0.0,0.0,0.0
2,The series you’re referring to is **“,Animorphs,0,0.0,0.3626304999925196,0.00010154536444228113,2.981580983611652e-05,0.0,0.0,0.0
3,"Yes, the Laleli Mosque and Esma Sultan",no,0,0.0,0.34133950000978075,9.549222557580666e-05,2.8038483629788376e-05,0.0,0.0,0.0
4,New York City.,"Greenwich Village, New York City",0,0.5,0.21016750001581386,5.8715733078971864e-05,1.7240148198649517e-05,0.0,0.0,0.0
5,The 2014 S/S is,YG Entertainment,0,0.0,0.2749963999958709,7.678199003684227e-05,2.2544773228701556e-05,0.0,0.0,0.0
6,Aladin was a consultant known for his work with,Eenasul Fateh,0,0.0,0.3365371999971103,9.412424105884215e-05,2.7636815208579946e-05,0.0,0.0,0.0
7,The arena where the Lewiston Maineiacs played,"3,677 seated",0,0.0,0.31619439998758025,8.859839162797981e-05,2.601431203752428e-05,0.0,0.0,0.0
8,"Terry Richardson is older.

While both were artists",Terry Richardson,0,0.4,0.28378800000064075,7.974503938336537e-05,2.3414785526517263e-05,0.0,0.0,0.0
9,"Okay, let’s break this down.",yes,0,0.0,0.3583666000049561,0.0001002429651849037,2.9433398597534212e-05,0.0,0.0,0.0
10,The fight song of the University of Kansas is “,Kansas Song,0,0.33333333333333337,0.3300304000149481,9.240999999984949e-05,2.7133478737152537e-05,0.0,0.0,0.0
11,**Paul Thomas Anderson**,David Weissman,0,0.0,0.27794460000586696,7.647149376778567e-05,2.2453605130936964e-05,0.0,0.0,0.0
12,"Okay, this is a tricky one! There’",1999,0,0.0,0.40116649999981746,0.0001115359400152804,3.274924853195391e-05,0.0,0.0,0.0
13,"Yes, both Random House Tower and 88",no,0,0.0,0.34282590000657365,9.596695176728351e-05,2.817787301429684e-05,0.0,0.0,0.0
14,The football manager who recruited David Beckham managed Manchester United,from 1986 to 2013,0,0.0,0.31068160000722855,8.740071363759841e-05,2.5662649119160227e-05,0.0,0.0,0.0
15,I need more information to answer this question. I,"9,984",0,0.0,0.3514744999993127,9.836004016360313e-05,2.8880533041542493e-05,0.0,0.0,0.0
16,The Vermont Catamounts men’s soccer team competed,the North Atlantic Conference,0,0.18181818181818182,0.3330044000176713,9.317337608038245e-05,2.7357621672436873e-05,0.0,0.0,0.0
17,"Yes, both Giuseppe Verdi and Ambroise Thomas were",yes,0,0.0,0.3225625999912154,9.092092828958777e-05,2.6696256622786694e-05,0.0,0.0,0.0
18,1998–1999,1969 until 1974,0,0.0,0.3442323000053875,9.640233511918127e-05,2.8305710531029308e-05,0.0,0.0,0.0
19,"**Henry Roth**

While Robert Erskine Childers",Robert Erskine Childers DSC,0,0.6,0.34027859999332577,9.527417009463298e-05,2.797445805071733e-05,0.0,0.0,0.0
20,"Based on available information, the other Mexican Formula One",Pedro Rodríguez,0,0.0,0.32338529999833554,9.108348935085379e-05,2.6743987897533558e-05,0.0,0.0,0.0
21,"The singer voiced what hedgehog?

**Hazel**",Sonic,0,0.0,0.37105819999123923,0.00010393932091773482,3.051872474926983e-05,0.0,0.0,0.0
22,"Okay, here’s an answer to your question",keyboard function keys,0,0.0,0.34489370000665076,9.656476452738166e-05,2.8353403149725345e-05,0.0,0.0,0.0
23,Based on general observations and analysis of their live performances,Badly Drawn Boy,0,0.0,0.30092619999777526,8.493858036608334e-05,2.493971609491178e-05,0.0,0.0,0.0
24,"The father of Kasper Schmeichel, Willem Sch",World's Best Goalkeeper,0,0.0,0.3621232000004966,0.00010106026873772146,2.967337574905695e-05,0.0,0.0,0.0
25,The writer of “These Boots Are Made for Walk,Barton Lee Hazlewood,0,0.0,0.33073759998660535,9.260864999938149e-05,2.7191806467251505e-05,0.0,0.0,0.0
26,Virginia Commonwealth University was founded in 184,1838,0,0.0,0.3169824999931734,8.929094543324841e-05,2.6217660094548632e-05,0.0,0.0,0.0
27,"Yes, both Dictyosperma and Hu",yes,0,0.0,0.35683109998353757,9.987741132594285e-05,2.932606445772884e-05,0.0,0.0,0.0
28,The answer is **John Pierpont Morgan**.,Henry J. Kaiser,0,0.0,0.3552763999905437,9.939021130058561e-05,2.9183012498754786e-05,0.0,0.0,0.0
29,The name for the adventure in “Tunnels and,Arena of Khazan,0,0.0,0.30000090002431534,8.463281364937766e-05,2.4849936691099687e-05,0.0,0.0,0.0
30,"Poison’s album “Shut Up, Make",2000,0,0.0,0.37318519997643307,0.00010494615673397391,3.0814352475833744e-05,0.0,0.0,0.0
31,Buck-Tick hails from **Australia**.,"Fujioka, Gunma",0,0.0,0.33070979997864924,9.264898059343269e-05,2.7203648360078544e-05,0.0,0.0,0.0
32,The French ace pilot and adventurer who flies L',Charles Eugène,0,0.0,0.3131948999944143,8.819298149341626e-05,2.5895275274554645e-05,0.0,0.0,0.0
33,"Yes, absolutely. Both *Freakonomics*",no,0,0.0,0.35771810001460835,0.00010017417415510286,2.9413200134765996e-05,0.0,0.0,0.0
34,"Letters to Cleo had more members.

While",Letters to Cleo,0,0.6,0.3680196000204887,0.00010218263920675397,3.0002926828558635e-05,0.0,0.0,0.0
35,The Bolsheviks defeated and destroyed Alexander Kerensky in,October 1922,0,0.0,0.3260117000027094,9.185541718955078e-05,2.697064180509697e-05,0.0,0.0,0.0
36,The Italian physicist who wrote Seven Brief Lessons on Physics,2000,0,0.0,0.3535435999801848,9.884148199768955e-05,2.9021894276997322e-05,0.0,0.0,0.0
37,The Livesey Hal War Memorial commemorates the lives of,World War II,0,0.16666666666666666,0.3313209000043571,9.277677946072893e-05,2.7241172738916553e-05,0.0,0.0,0.0
38,"Yes, both Elko Regional Airport and Gerald R",no,0,0.0,0.30341959997895174,8.554415973993018e-05,2.5117526668052764e-05,0.0,0.0,0.0
39,Chicago.,New York City,0,0.0,0.22268040000926703,6.194762856823808e-05,1.8189099259561177e-05,0.0,0.0,0.0
40,Based on the history of the Manchester Terrier and Irish,Scotch Collie,0,0.0,0.4080424999992829,0.00011456291518125973,3.3638030766605164e-05,0.0,0.0,0.0
41,Sachin Warrier worked for **Google** as,Mumbai,0,0.0,0.338244400016265,9.436596181719622e-05,2.7707789400303128e-05,0.0,0.0,0.0
42,"Okay, let’s break this down.",1962,0,0.0,0.24606850001146086,6.854135975362737e-05,2.012515450160805e-05,0.0,0.0,0.0
43,The battle in which Giuseppe Arimondi lost his,sovereignty,0,0.0,0.3868209000211209,0.00010823080586035666,3.177879309080895e-05,0.0,0.0,0.0
44,Alfred Balk served as the secretary of the Committee on,Nelson Rockefeller,0,0.0,0.28660549997584894,8.007935570284953e-05,2.3512947681546167e-05,0.0,0.0,0.0
45,"Dirleton, East Lothian, Scotland, borders",Yellowcraig,0,0.0,0.308297700015828,8.679479034110538e-05,2.54847375632489e-05,0.0,0.0,0.0
46,The writer of the song inspired by words on a,Phil Spector,0,0.0,0.3286394999886397,9.198514107984985e-05,2.700873141032515e-05,0.0,0.0,0.0
47,The former Soviet statesman most famously associated with initiating a,Organizations could come together to address global issues,0,0.0,0.3071512999886181,8.576297190676947e-05,2.5181774425615515e-05,0.0,0.0,0.0
48,"Yes, Ferocactus and Silene are both",yes,0,0.0,0.28408349998062477,8.028341919972371e-05,2.3572864925929608e-05,0.0,0.0,0.0
49,The British first-generation jet-powered medium bomber,English Electric Canberra,0,0.0,0.33690029999706894,9.430173057750873e-05,2.7688929785799022e-05,0.0,0.0,0.0
50,"Okay, let’s break this down.",2009 Big 12 Conference,0,0.0,0.2713359000044875,7.574049557794759e-05,2.223896901102677e-05,0.0,0.0,0.0
51,"Okay, here’s the answer to your question","1,462",0,0.0,0.35929849999956787,0.00010064016312995463,2.9550024092572602e-05,0.0,0.0,0.0
