qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,The Swedish higher education system is called “Universitet,Bologna Process,0,0.0,3.210743799998454,0.0009036515277439888,0.0002653306948801738,0.0,0.0,0.0
1,"Randal Malone was born in Louisville, Kentucky.",107 mi southwest of Louisville,0,0.0,0.2669720000012603,7.443110436179269e-05,2.1854504789381808e-05,0.0,0.0,0.0
2,Aly Mohamed plays for Al-Nassr.,United Arab Emirates,0,0.0,0.36730180000085966,0.00010284053689317373,3.0196099135513746e-05,0.0,0.0,0.0
3,That’s a funny question! Thomas Tull produced,Las Vegas,0,0.0,0.3022300000011455,8.422982016108088e-05,2.4731609505233117e-05,0.0,0.0,0.0
4,"Based on available information, **Michel Butor**",Michel Butor,0,0.0,0.29862969999885536,8.328719454042745e-05,2.4454835214191706e-05,0.0,0.0,0.0
5,Berlin,Walldorf,0,0.0,0.20841500000096858,5.6584544223351984e-05,1.6614387269108204e-05,0.0,0.0,0.0
6,"1943, the company was headquartered in","City of Westminster, London",0,0.0,0.3770182999978715,0.00010556436528925286,3.0995871236680135e-05,0.0,0.0,0.0
7,The French name for the war during which the Prussians,War of 1870,0,0.15384615384615383,0.3119524000030651,8.706147410209839e-05,2.556304140653923e-05,0.0,0.0,0.0
8,Francesca Schiavone and Olga Morozova have,French Open,0,0.0,0.3405595000003814,9.406107766836361e-05,2.7618269136590783e-05,0.0,0.0,0.0
9,"**Stephen King**.

Here’s",horror fiction,0,0.0,0.31818850000126986,8.878499137670074e-05,2.606910156586846e-05,0.0,0.0,0.0
10,Japan.,North West England,0,0.0,0.20501980000335607,5.568826140602629e-05,1.6351220179329806e-05,0.0,0.0,0.0
11,This is a trick question! The Joni Mitchell song,two Grammy awards,0,0.0,0.3694412000004377,0.00010350211640131858,3.039035250113666e-05,0.0,0.0,0.0
12,The second show that led to “The Defenders”,Daredevil,0,0.0,0.3529776999966998,9.877652731458539e-05,2.9002822244610267e-05,0.0,0.0,0.0
13,The second First Lady born outside the United States or,fashion model,0,0.0,0.3322909999988042,9.208288600165522e-05,2.703743133195133e-05,0.0,0.0,0.0
14,"Based on readily available information, the end of Riley","October 15, 2013",0,0.0,0.35727240000051097,9.99444373145591e-05,2.934574466806277e-05,0.0,0.0,0.0
15,Based on common knowledge and the context of Sinim,1896,0,0.0,0.31541400000060094,8.809021639193423e-05,2.586510132480907e-05,0.0,0.0,0.0
16,**Brit Awards**,Mercury Prize,0,0.0,0.24392300000181422,6.80413386964608e-05,1.997833802370761e-05,0.0,0.0,0.0
17,"Based on the information available, the relative who would",Adolfo Rodríguez Saá,0,0.0,0.35814229999959935,0.0001000740328655301,2.9383796590221703e-05,0.0,0.0,0.0
