qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,"The context does not specify their nationalities, so I cannot determine whether they were from thesame country.",yes,0,0.0,6.738220700004604,0.0018342687588839908,0.0005385790755057136,0,0,0
1,The context does not mention any information about the government or political office held in Corlis Archer's portrayal in Kiss & Tell.,Chief of Protocol,0,0.0,8.708914299990283,0.0023707321144475525,0.0006960957625684678,0,0,0
2,The Black Company trilogy by Nii Ayikwei Parkes.,Animorphs,0,0.0,4.632664700009627,0.0012610905961102817,0.00037028216508210233,0,0,0
3,"No, they are not located within close proximity to each other.",no,0,0.0,4.550188199995318,0.0012386282194426811,0.000363686748788441,0,0,0
4,"Los Angeles, California.

The director's name is Peter Hedges and he was born in Los Angles, CA.","Greenwich Village, New York City",0,0.0,7.951415999996243,0.0021645285738868146,0.0006355501572948019,0,0,0
5,Big Hit Entertainment,YG Entertainment,0,0.4,1.5810056999907829,0.0004303588133289142,0.00012636220875257342,0,0,0
6,Aladin is a character from Disney's Aladdin movie. He is known for his magical lamp that grants him wishes.,Eenasul Fateh,0,0.0,7.911389199987752,0.0021536177699982848,0.0006323465206178714,0,0,0
7,"Approximately 10,500 fans can fit into the Arena at any given time.","3,677 seated",0,0.0,6.261173099977896,0.0017044073183338493,0.000500449082691635,0,0,0
8,It's impossible to tell who is more senior between Annie and Terry because they have different birth dates.,Terry Richardson,0,0.09999999999999999,6.750290099997073,0.0018375569511101476,0.0005395445564477355,0,0,0
9,"Yes, LocalH and FortAgainst are both based in the US.",yes,0,0.0,4.7128582000150345,0.0012829202366706645,0.00037669179702654336,0,0,0
10,"The University of Kansas Fight Song is called ""Fight On Blue.""",Kansas Song,0,0.3076923076923077,4.509704399999464,0.0012276200455582714,0.0003604545222758558,0,0,0
