qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,The Swedish higher education system is called the Bologna Process,Bologna Process,0,0.33333333333333337,0.3520146000009845,0.00010199574954887322,2.994805217691586e-05,0.0638600000020233,1.709900501358339e-05,5.02061994333173e-06
1,"Randal Malone was born in Owensboro, Kentucky",107 mi southwest of Louisville,0,0.0,0.35551350000241655,0.00010188934125802828,2.991680851175946e-05,0.08511189999990165,2.2836652221909994e-05,6.7053113028022e-06
2,Aly Mohamed plays for Egyptian Premier League club ENPPI,United Arab Emirates,0,0.0,0.41651269999783835,0.00011650501543988492,3.420827139070332e-05,0.04604939999990165,1.2378539547947027e-05,3.6345940874555726e-06
3,"Los Angeles, California.",Las Vegas,0,0.0,0.3666754000005312,0.00010265063243398135,3.0140339276130613e-05,0.06309019999753218,1.6963023952884272e-05,4.98069310403792e-06
4,"Michel Butor had a longer lifespan.

Here",Michel Butor,0,0.4444444444444445,0.3988094000014826,0.00011177988551543603,3.282087595367783e-05,0.02240159999928437,5.839236111165115e-06,1.7145199530761818e-06
5,The German software corporation that has established Remote Function Call,Walldorf,0,0.0,0.27720010000120965,7.690659307111915e-05,2.258135924516235e-05,0.041991100002633175,1.1145981666797727e-05,3.272689714979339e-06
6,"In 1943, designer Robert L","City of Westminster, London",0,0.0,0.3636893000002601,0.00010163760171805581,2.9842892599464746e-05,0.04651749999902677,1.2415705596090311e-05,3.6455068044455243e-06
7,The French name for the war during which the Prussians,War of 1870,0,0.15384615384615383,0.421193599999242,0.00011784213937799614,3.4600878510536e-05,0.021527400000195485,5.590414444628145e-06,1.6414607885016258e-06
8,The 1974 Virginia Slims of,French Open,0,0.0,0.40778019999925164,0.00011792799626346053,3.462608785991583e-05,0.021529400000872556,5.599111110799034e-06,1.644014308755195e-06
9,H. P. Lovecraft,horror fiction,0,0.0,0.32054559999960475,8.936019573613535e-05,2.6237993409351436e-05,0.08483179999893764,2.2804357799059553e-05,6.695828995305798e-06
10,"The Stone Book series is set in eastern Cheshire,",North West England,0,0.0,0.3754418999997142,0.00010498203183056602,3.0824886142867365e-05,0.04915919999984908,1.3281957331132277e-05,3.899856150120462e-06
11,Two.,two Grammy awards,0,0.0,0.33016549999956624,9.205148134731754e-05,2.7028210278810755e-05,0.0728199000004679,1.96146750595477e-05,5.759272466889519e-06
12,"Jessica Jones is a television series created for Netflix,",Daredevil,0,0.0,0.3693931999987399,0.00010297924321640018,3.0236826167999186e-05,0.09424570000192034,2.5470780109912966e-05,7.478745487849116e-06
13,Louisa Catherine Johnson Adams (February 12,fashion model,0,0.0,0.35769929999878514,9.966395866457254e-05,2.9263390361324886e-05,0.10634779999963939,2.8724053966280285e-05,8.433973677525781e-06
14,The end of Riley Hawk’s amateur career occurred,"October 15, 2013",0,0.0,0.32764139999926556,9.421962944813089e-05,2.7664823203737847e-05,0.12367199999789591,3.348681732604439e-05,9.832419066038485e-06
15,The question asks for the year the Summer Olympics begin,1896,0,0.0,0.3408536999995704,9.493170689398848e-05,2.7873903803634116e-05,0.1280150999991747,3.493838143675097e-05,1.0258628176887256e-05
16,Daniel Pearce.,Mercury Prize,0,0.0,0.35857279999981984,0.00010021535168933332,2.9425290706668306e-05,0.0808653999993112,2.1816608963313236e-05,6.405805599218648e-06
17,Adolfo Rodríguez Saá,Adolfo Rodríguez Saá,1,1.0,0.31605909999780124,8.832727977133587e-05,2.5934708014175614e-05,0.11426120000032824,3.098572847766505e-05,9.098047882320914e-06
18,Michael Rosenbaum,"January 30, 1930",0,0.0,0.3925036000000546,0.0001091529954230522,3.20495669344521e-05,0.03919870000027004,1.0390230000181568e-05,3.0507854646089183e-06
19,West Bromwich Albion,West Bromwich Albion Football Club,0,0.7499999999999999,0.3664638999980525,0.0001024253961851326,3.007420527581697e-05,0.09116220000214525,2.478842355938956e-05,7.278391554781118e-06
20,John D Rockefeller’s Standard Oil Company.,John D Rockefeller's Standard Oil Company,0,0.6666666666666666,0.4314388999991934,0.0001208133650763374,3.547329155359795e-05,0.03994349999993574,1.0605108333564e-05,3.1138781676704537e-06
21,Armie Hammer stars as Oliver in a film directed,Luca Guadagnino,0,0.0,0.3753447999988566,0.00010418317062344184,3.059032404377122e-05,0.05077990000063437,1.3696988470275255e-05,4.021717838132696e-06
22,The context states that “Persona non grata”,Palestinian,0,0.0,0.4048261000025377,0.00011308992254018833,3.32055297980243e-05,0.035831099998176796,9.533205603919346e-06,2.7991454555921466e-06
23,The true creature from the black lagoon is Euc,Eucritta melanolimnetes,0,0.0,0.4272404000003007,0.00011968334620438258,3.514149474551639e-05,0.02256689999921946,5.882308889057539e-06,1.7271670075410241e-06
24,1034,1002,0,0.0,0.3727284000015061,0.00010395989411531358,3.05247654636845e-05,0.03687490000083926,9.762699470364336e-06,2.8665295800970943e-06
25,About Time came out first.,San Marco,0,0.0,0.40750820000175736,0.00011422888168746291,3.353995165502149e-05,0.04202649999933783,1.114054222248847e-05,3.271092582131082e-06
26,The 1876 Battle of the Rose,Battle of the Rosebud,0,0.6,0.2904780999997456,8.067458700147715e-05,2.3687719846734204e-05,0.019650199999887263,5.0712566666334165e-06,1.4890253753377877e-06
27,Eight,78.5 mi long,0,0.0,0.3635126000008313,0.00010186717082892987,2.991029881728336e-05,0.031272799998987466,8.230647777074611e-06,2.4166876577492643e-06
28,1865,1952,0,0.0,0.40408299999762676,0.0001133276706061271,3.327533752545595e-05,0.047836400000960566,1.2753413333707108e-05,3.7446647496680344e-06
29,"Bangalore Naatkal starred Arya, Rana D",Ramanaidu Daggubati,0,0.0,0.40723749999961,0.00011390309315629908,3.3444293434232005e-05,0.021859100001165643,5.655733333615999e-06,1.6606397592351962e-06
30,Bonnie Franklin,Bonnie Franklin,1,1.0,0.3024915999994846,8.44967335506829e-05,2.4809980772211146e-05,0.11362690000169096,3.079413291331467e-05,9.04179147964326e-06
31,"Greensky Bluegrass is known for their improvisation,","Bell's Brewery, Inc.",0,0.0,0.35155440000016824,0.00010199689409332207,2.99483882387324e-05,0.14602750000267406,3.97259441186924e-05,1.1664355157013372e-05
32,Global Marine Inc. (now Transocean Inc.),"Vernier, Switzerland",0,0.0,0.3567183999984991,9.951713764929524e-05,2.9220280688170465e-05,0.04734519999692566,1.2619081110723426e-05,3.705222043077318e-06
33,Stitch's Great Escape! replaced the theater,Tomorrowland,0,0.0,0.32520819999990636,9.347490213441563e-05,2.744615593037238e-05,0.11838509999870439,3.197689173297562e-05,9.389073822295595e-06
34,Marcus T. Reynolds,Cuyler Reynolds,0,0.4,0.33249849999992875,9.21098180837877e-05,2.7045339145801455e-05,0.07173329999932321,1.9215993888731947e-05,5.642211466226713e-06
35,The students attending the school adjacent to Pilgram Hospital,girls aged 11 to 18,0,0.14285714285714285,0.4377654999989318,0.0001224266933253616,3.594699794620716e-05,0.03592719999869587,9.51628555566357e-06,2.794177381037657e-06
36,The creator of “The Three Stooges” film,Ted,0,0.0,0.29911409999840544,8.311672818682103e-05,2.4404782782842424e-05,0.04929619999893475,1.3419656332231675e-05,3.940287412088471e-06
37,Colin Kaepernick is an American football quarterback who,an American football quarterback,0,0.6666666666666666,0.4060998999993899,0.00011326653718081472,3.325738749303689e-05,0.01337720000083209,3.390114999557328e-06,9.954075668990418e-07
38,London Heathrow Airport.,London,0,0.5,0.4250567000017327,0.00011928890969180738,3.502568006391123e-05,0.03332800000134739,8.802882222860515e-06,2.5847074734339666e-06
39,The animal formerly known as the pygmy chimpanzee,Concealed ovulation,0,0.0,0.41949250000106986,0.00011746119888713599,3.4489026538791694e-05,0.06519119999938994,1.7468779444081722e-05,5.129193329842774e-06
40,S. Sylvan Simon and Danny Cannon both worked,director and producer,0,0.18181818181818182,0.3122455999982776,8.59323729793896e-05,2.5231514068532913e-05,0.10993380000218167,2.973265954615785e-05,8.730121043133681e-06
41,GameFan.,GameFan,0,0.0,0.3684257000022626,0.0001031737252616347,3.0293930100897545e-05,0.07566499999666121,2.05215346145158e-05,6.025545104616504e-06
42,The region where Jews supported by Kolel Chibas,the medieval city of Halych,0,0.15384615384615385,0.4565398000013374,0.00012766526898742064,3.7485151623727724e-05,0.025691599999845494,6.735222222151707e-06,1.977599923764184e-06
43,Fabián Bielinsky was born earlier.,Murdock MacQuarrie,0,0.0,0.31619729999874835,8.714533580346192e-05,2.5587664928785878e-05,0.10691819999919971,2.8987988462716726e-05,8.511470280134491e-06
44,Cardinal Hayes High School is part of the CHSAA,"New York City, Long Island, and Westchester",0,0.0,0.40246660000047996,0.00011257960923931393,3.3055691305452235e-05,0.0702990999998292,1.9059350742017405e-05,5.596217813043004e-06
45,The answer is “Hammacher Schlemmer.”,explosives,0,0.0,0.42520170000352664,0.00012183379224126269,3.577290997998426e-05,0.04810850000285427,1.2879571730960294e-05,3.7817074527238524e-06
46,The European Cup the year that 39 people,Juventus,0,0.0,0.4056120999994164,0.00011334202028768494,3.3279550887423655e-05,0.041297199997643474,1.1030123961388356e-05,3.238671507141815e-06
47,God Is Not Great is by journalist **Robert A,both a lauded intellectual and a controversial public figure,0,0.1111111111111111,0.41477390000000014,0.0001161828605609449,3.411368008502425e-05,0.020148300001892494,5.174910556201616e-06,1.5194602915657552e-06
48,Mindaugas Kuzminskas.,small forward,0,0.0,0.3941202999994857,0.00011026295984738438,3.237547534378726e-05,0.0314552999989246,8.27291777734192e-06,2.4290990001740487e-06
49,2004,1866,0,0.0,0.36315509999985807,0.00010174165135328918,2.9873443714768473e-05,0.06811500000185333,1.8414957903716173e-05,5.407010807562554e-06
50,Blonde Redhead has released more studio albums.,Blonde Redhead,0,0.4444444444444445,0.3457957000027818,9.641864032601985e-05,2.8310498075484026e-05,0.13886019999699784,3.7735669679025874e-05,1.1079969601447114e-05
51,Steve McKeever,Mike Holmgren,0,0.0,0.38341910000235657,0.00010723543689706844,3.14865322683758e-05,0.04456749999735621,1.1934941195250397e-05,3.5043444773403306e-06
52,Two. They released “The Cactus Album” and,two studio albums,0,0.0,0.3981318000005558,0.00011538549357105594,3.387955671887454e-05,0.0875384999999369,2.3642441770231163e-05,6.9419077055294785e-06
53,Chris Reason was awarded the Graham Perkin Australian Journalist of,Man Haron,0,0.0,0.3754146999999648,0.00010499166968583037,3.0827716015618014e-05,0.0369866999972146,9.820111145619212e-06,2.883386830067823e-06
54,Monstera has more species than Cercis.,Monstera,0,0.2857142857142857,0.30944430000090506,8.640853634448062e-05,2.5371325436806143e-05,0.04275860000052489,1.1417722778343079e-05,3.3524785005235223e-06
55,The Devil Came on Horseback has more creators.,The Devil Came on Horseback,0,0.7692307692307693,0.41822969999702764,0.00011723578842633691,3.442284138626238e-05,0.028700700000626966,7.540925555197948e-06,2.214171011911557e-06
56,Blackstone.,the world,0,0.0,0.24793639999916195,6.913235091945296e-05,2.0298681676500374e-05,0.031379600000946084,8.281823889451011e-06,2.4317140180676e-06
57,Giulio Caccini (8 October 1,1618,0,0.0,0.3924607000008109,0.00011361507726028823,3.3359726036868244e-05,0.11872099999891361,3.2203589067869844e-05,9.455636827556189e-06
58,Gillian Flynn’s 2009,Tom Rob,0,0.0,0.30089589999988675,8.389188341718352e-05,2.463238431905136e-05,0.0918762000001152,2.5021793565300962e-05,7.346913793643757e-06
59,Of Montreal,"Vib Gyor was a band that was formed in Leeds, England.",0,0.0,0.38967240000056336,0.00010952699736092994,3.2159381604174815e-05,0.03371749999860185,8.912393888446484e-06,2.6168623533133294e-06
60,The article states that the San Diego Community College District,University of California,0,0.0,0.3828369000002567,0.00010691382565754735,3.139210058642375e-05,0.11622319999878528,3.159498576293876e-05,9.276938365985631e-06
61,"Edmonton, Alberta.","Edmonton, Alberta",0,0.5,0.3960131000021647,0.00011107852285096052,3.261494143421446e-05,0.043537300000025425,1.158608999923874e-05,3.4019145832874365e-06
62,Margaret Avery,Akosua Gyamama Busia,0,0.0,0.3710810999982641,0.00010404681480673341,3.0550287168396786e-05,0.07888079999975162,2.1412043523908067e-05,6.287016856139925e-06
63,Ian MacKaye.,Ian Thomas Garner MacKaye,0,0.3333333333333333,0.41455929999938235,0.00011618664172345434,3.411479031219178e-05,0.04305439999734517,1.1432691110854243e-05,3.356873511149244e-06
64,The star of “Lady in a Cage” was,1916,0,0.0,0.358834200000274,0.00010401442160744642,3.054077585810479e-05,0.09716949999710778,2.6174402244593442e-05,7.68534343428753e-06
65,"No, the mountains known as Trivor and The",yes,0,0.0,0.33663460000025225,9.328380859765253e-05,2.739004693333118e-05,0.06037110000033863,1.614285777751421e-05,4.739875427591956e-06
66,"Based on the provided text, Robatumumab is",Merck,0,0.0,0.40534820000175387,0.00011354470883976794,3.333906441970606e-05,0.011602200000197627,2.89006777709599e-06,8.485834063293092e-07
67,The Chronicle of Philanthropy was first published earlier.,The Chronicle of Philanthropy,0,0.6666666666666666,0.3863496000012674,0.00010810889973060254,3.174299894104574e-05,0.029024699997535208,7.631775034243393e-06,2.2408462895651115e-06
68,The story takes place in 1926,1926 Paris,0,0.25,0.30847820000053616,8.569797932739792e-05,2.516269126610406e-05,0.06027410000024247,1.6295929018367e-05,4.784820295668522e-06
69,Michael Szilágyi,king John of Denmark,0,0.0,0.30163309999988996,8.292767160084301e-05,2.434927187649288e-05,0.10552860000098008,2.9098945523633217e-05,8.544049557843824e-06
70,Disporum has more species in Asia.,Disporum,0,0.2857142857142857,0.3416748000017833,9.479448501490946e-05,2.783361263451531e-05,0.03695059999881778,9.906053981561777e-06,2.9086214162777783e-06
71,"The Government of Canada, which is the federal administration",The sponsorship scandal,0,0.16666666666666666,0.2905841000028886,8.071241756335329e-05,2.369882767863857e-05,0.032102699999086326,8.46622000020337e-06,2.4858565129309362e-06
72,Pedro Duque and Mark Shuttleworth both went to space,space,0,0.19999999999999998,0.3823188999995182,0.00010711990259600293,3.1452609018712586e-05,0.026434200000949204,6.980038390500961e-06,2.049482991596956e-06
73,Ciril Cvetko is the brother of Guy,Musicology,0,0.0,0.41380239999853075,0.00011566922314159982,3.3962865562825046e-05,0.03198220000194851,8.432119444761256e-06,2.4758438877170504e-06
74,Davey Graham.,Eric Clapton,0,0.0,0.39015350000045146,0.00010948322667576205,3.214652962976387e-05,0.02656089999800315,7.057877289496112e-06,2.0723380950577476e-06
75,Check It Out! with Dr. Steve Brule,Check It Out!,0,0.6,0.3645879999967292,0.00010088058658934589,2.96206173706087e-05,0.06461990000025253,1.742416012087943e-05,5.11609217783133e-06
76,Ricki-Lee Coulter,Usher,0,0.0,0.3052367999989656,8.91295499967485e-05,2.6170271071233506e-05,0.17242840000108117,4.7215263240402635e-05,1.3863373457467929e-05
77,Manasseh Cutler Hall.,Manasseh Cutler Hall,0,0.6666666666666666,0.41870249999919906,0.00011726188667943502,3.443050437073934e-05,0.1648929999973916,4.488409690063025e-05,1.317889502100994e-05
78,"Para Hills West, South Australia lies within a city","138,535",0,0.0,0.38377960000070743,0.00010740352417294831,3.153588615351897e-05,0.0754125000021304,2.040102293078363e-05,5.990160392917223e-06
79,John Paul “Johnny” Herbert,Johnny Herbert,0,0.3333333333333333,0.36073859999669367,0.00010073706330132324,2.9578475978076994e-05,0.056622299998707604,1.516243002993649e-05,4.452001653733524e-06
80,Aron Warner produced the American computer-animated fantasy,William Steig's 1990 fairy tale,0,0.0,0.3939338000018324,0.00010915235469107421,3.204937880235059e-05,0.06973170000128448,1.8896185717260957e-05,5.548309202179642e-06
81,"Murwillumbah.

It was 8",848,0,0.0,0.42915310000171303,0.00012045542695656006,3.536819355162619e-05,0.13584410000112257,3.703659975310234e-05,1.0874708277230473e-05
82,Duri.,Mollie Elizabeth King,0,0.0,0.363705800002208,0.00010144826100216394,2.978729826672221e-05,0.11500840000007884,3.1311401367386306e-05,9.193672148401785e-06
83,Debi Thomas has won more Olympic medals for figure,Katarina Witt,0,0.0,0.4324978000004194,0.0001247491691081621,3.6628924656198196e-05,0.03069080000204849,8.109544491222673e-06,2.381129239486433e-06
84,"The head coach for the defensive backs coach, Peter",New York Giants,0,0.0,0.3232343999989098,9.383088147922134e-05,2.7550678795680972e-05,0.08318900000085705,2.2642863552871607e-05,6.648410959431756e-06
85,Penor is an electoral district that includes the jail,McLaren Vale,0,0.0,0.31879050000134157,8.902740362741723e-05,2.614027879398719e-05,0.08123239999986254,2.176243334483383e-05,6.389898522148142e-06
86,"Utena, Lithuania",a city in north-east Lithuania.,0,0.0,0.32846409999910975,9.085558310458073e-05,2.667706993100045e-05,0.1235428999971191,3.353709238937628e-05,9.847180859804605e-06
87,"Yes, both Jelena Janković and Marat",yes,0,0.0,0.3922848000001977,0.00010976245087782833,3.222851560476307e-05,0.03886709999642335,1.0653284178372745e-05,3.1280235876549204e-06
88,The wife of the actor who played Derrick Banning,Ashley Jensen,0,0.0,0.4250221000002057,0.00012256689863410835,3.598816511170572e-05,0.04721350000181701,1.2696763438701473e-05,3.7280311740636646e-06
89,Rain Man,Rain Man,1,1.0,0.37678699999742093,0.00010585143167818614,3.108015983921541e-05,0.014578399997844826,3.7041783330803607e-06,1.0876230282374287e-06
90,"Based on the provided text, **Zoltán",yes,0,0.0,0.2708803000023181,7.535181589682234e-05,2.2124844653669426e-05,0.020487699999648612,5.310901666315557e-06,1.5593900815746765e-06
