qid,prompt,original_pred,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
5adf62d05542992d7e9f932d,"Answer with as few words as possible. Be thorough in your analysis but answer in as few words as possible. Do not overcomplicate your thinking. Do not go in circles.
Question: Which number-one single is Michael Steele responsible for?
Answer:",“Rockin’ All Over the World.”,“Rockin’ All Over the World.”,"""Walk Like an Egyptian""",0,0.0,0.2465766000004805,7.072457337870326e-05,2.0766190974660264e-05,0.0,0.0,0.0
5ab2a54b554299295394678e,"Answer with as few words as possible. Be thorough in your analysis but answer in as few words as possible. Do not overcomplicate your thinking. Do not go in circles.
Question: What is the size of the hydroelectric dam that will inundate part of Bui National Park?
Answer:",Approximately 600 million cubic meters.,Approximately 600 million cubic meters.,400 MW,0,0.0,0.3026661000003514,8.34806732043163e-05,2.451164453366719e-05,0.0,0.0,0.0
5ae63dad55429929b0807afe,"Answer with as few words as possible. Be thorough in your analysis but answer in as few words as possible. Do not overcomplicate your thinking. Do not go in circles.
Question: When was the British author who wrote the novel on which ""Here We Go Round the Mulberry Bush"" was based born? 
Answer:",1861. E. Nesbit.,1861. E. Nesbit.,7 January 1936,0,0.0,0.3408839999992779,9.485472070702922e-05,2.7851299073984543e-05,0.0,0.0,0.0
5ab9ba6855429970cfb8eb87,"Answer with as few words as possible. Be thorough in your analysis but answer in as few words as possible. Do not overcomplicate your thinking. Do not go in circles.
Question: Which novel by the author of ""Armada"" will adapted as a feature film by Steven Spielberg?
Answer:",*The Remains of the Day*.,*The Remains of the Day*.,Ready Player One,0,0.0,0.3268915999997261,9.105378514911678e-05,2.673526613228914e-05,0.0,0.0,0.0
5a863ff0554299211dda2ac6,"Answer with as few words as possible. Be thorough in your analysis but answer in as few words as possible. Do not overcomplicate your thinking. Do not go in circles.
Question: Are both Bird Talk and Decibel monthly magazines about birds?
Answer:",Yes.,Yes.,no,0,0.0,0.3001260999990336,8.384373354380948e-05,2.4618246524814875e-05,0.0,0.0,0.0
5a7653d25542992db9473765,"Answer with as few words as possible. Be thorough in your analysis but answer in as few words as possible. Do not overcomplicate your thinking. Do not go in circles.
Question: Nick Hexum of which American rock band helped produce Decomposer by The Matches?
Answer:",The Black Keys.,The Black Keys.,311,0,0.0,0.3416508999998768,9.546358667608884e-05,2.8030074659151533e-05,0.0,0.0,0.0
5a7fa55555429969796c1b0e,"Answer with as few words as possible. Be thorough in your analysis but answer in as few words as possible. Do not overcomplicate your thinking. Do not go in circles.
Question: The star of ""The Inkwell"" also starred in what 1993 movie as O-Dog?
Answer:",Men in Black,Men in Black,Menace II Society,0,0.0,0.3188513000004604,8.800620806454126e-05,2.5840434750141127e-05,0.0,0.0,0.0
5ab707d65542991d32223761,"Answer with as few words as possible. Be thorough in your analysis but answer in as few words as possible. Do not overcomplicate your thinking. Do not go in circles.
Question: Witkins Township is served what district that is represented by Tim Murphy?
Answer:",14th Congressional District.,14th Congressional District.,Pennsylvania's 18th congressional district,0,0.5714285714285715,0.3335743000006914,9.314369203680695e-05,2.734890582604374e-05,0.0,0.0,0.0
5ae30aa05542992decbdcdd7,"Answer with as few words as possible. Be thorough in your analysis but answer in as few words as possible. Do not overcomplicate your thinking. Do not go in circles.
Question: The design team for role playing game Black Crusade featured the work of this designer who was the lead developer for what game?
Answer:",Warren Spector -Ultima Online.,Warren Spector -Ultima Online.,Dark Heresy,0,0.0,0.3274664000000484,9.119053068861715e-05,2.6775417438299747e-05,0.0,0.0,0.0
5ac514d05542994611c8b372,"Answer with as few words as possible. Be thorough in your analysis but answer in as few words as possible. Do not overcomplicate your thinking. Do not go in circles.
Question: What is the name of the person that named Moltke Nunatak after the Chief of the German General staff that served from 1906 to 1914?
Answer:",Ludwig von Moltke.,Ludwig von Moltke.,Second German Antarctic Expedition of 1911–12 under Wilhelm Filchner.,0,0.0,0.329549500000212,9.18408890890788e-05,2.6966376055662405e-05,0.0,0.0,0.0
