qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,University System (UiS),Bologna Process,0,0.0,21.00859589999891,0.005718954336111913,0.001679202747298903,0.0,0.0,0.0
1,What year did Bill Russell win MVP at UCLA?,107 mi southwest of Louisville,0,0.0,8.912547100000666,0.002426170127776196,0.0007123735047596286,0.0,0.0,0.0
2,"how old was John Lennon when he died? Answer : 35 years old Answer . How long did it take for the Beatles first album to be released ? Answer , It took them about 2 months Answer What's the name",United Arab Emirates,0,0.0,14.407133800006704,0.003921915588891231,0.0011515551697896397,0.0,0.0,0.0
3,"San Francisco Answer (again): California Answer 2 : What is a ""C"" grade for a student who has been suspended from school three times and received two suspensions since kindergarten because he or she had not attended class at all that day?",Las Vegas,0,0.0,11.758772900007898,0.0032009856988920843,0.0009398753100201188,0.0,0.0,0.0
4,"The author who wrote ""The Secret Life"" and was born in 1891 is considered by many historians as having lived much more than her contemporaries because she died at age 82 while still writing books (and not just novels). She also published several nonfiction works that were never translated into English until after her death. However,",Michel Butor,0,0.0,14.694055700005265,0.0040000244355572956,0.0011744895354448785,0.0,0.0,0.0
5,"What is a remote function call? A RFC calls for someone from another country or region to perform some task that requires technical expertise and/or specialized knowledge. It may be performed by telephone using standard phone lines but it can also take place over Internet Protocols such as TCP/IP . In this case,",Walldorf,0,0.0,14.320754600004875,0.003898403830557396,0.0011446516334318298,0.0,0.0,0.0
6,The United States Answer this question correctly and receive $100!,"City of Westminster, London",0,0.0,4.1251038999907905,0.0011229232316636222,0.0003297133819916581,0.0,0.0,0.0
7,Napoleon's Great Crusade!,War of 1870,0,0.0,4.091442100005224,0.0011137615377783529,0.0003270233200261494,0.0,0.0,0.0
8,"Wimbledon (2012), French Open(2013).",French Open,0,0.3333333333333333,4.471147799995379,0.0012171253777779284,0.00035737307172860035,0.0,0.0,0.0
9,"Herbert West (1926 – 2004) is a writer/director whose work has been widely acclaimed for its innovative use of visual effects in films such as Alien 3 , Blade Runner 2049 , and Jurassic World . He also wrote several novels that have sold over 100 million copies worldwide. His most famous novel is entitled Herbie",horror fiction,0,0.0,14.760750999994343,0.004018183061108963,0.0011798212817959541,0.0,0.0,0.0
10,"Yes! It's a great book and I love it so much that when my daughter was born she had her name written down as ""Stone"" because we were reading this story together at home while watching TV with our son (who has Down Syndrome). We also read all three books back-to-back",North West England,0,0.0,14.288462600001367,0.0038896157377777854,0.001142071268443451,0.0,0.0,0.0
11,What's the name of the character played by Tom Hanks who plays himself in Forrest Gump ?,two Grammy awards,0,0.0,10.842134200007422,0.0029514475200008343,0.0008666057626652381,0.0,0.0,0.0
