qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,"The context does not specify their nationalities, so I cannot determine whether they were from thesame country.",yes,0,0,6.7382207,0.001834269,0.000538579,0.0217157,5.89E-06,1.73E-06
1,The context does not mention any information about the government or political office held in Corlis Archer's portrayal in Kiss & Tell.,Chief of Protocol,0,0,8.7089143,0.002370732,0.000696096,0.0655377,1.78E-05,5.23E-06
2,The Black Company trilogy by Nii Ayikwei Parkes.,Animorphs,0,0,4.6326647,0.001261091,0.000370282,0.0752449,2.05E-05,6.01E-06
3,"No, they are not located within close proximity to each other.",no,0,0,4.5501882,0.001238628,0.000363687,0.0547307,1.49E-05,4.37E-06
4,"Los Angeles, California.

The director's name is Peter Hedges and he was born in Los Angles, CA.","Greenwich Village, New York City",0,0,7.951416,0.002164529,0.00063555,0.0678776,1.85E-05,5.42E-06
5,Big Hit Entertainment,YG Entertainment,0,0.4,1.5810057,0.000430359,0.000126362,0.2024643,5.51E-05,1.62E-05
6,Aladin is a character from Disney's Aladdin movie. He is known for his magical lamp that grants him wishes.,Eenasul Fateh,0,0,7.9113892,0.002153618,0.000632347,0.070167,1.91E-05,5.60E-06
7,"Approximately 10,500 fans can fit into the Arena at any given time.","3,677 seated",0,0,6.2611731,0.001704407,0.000500449,0.0667577,1.81E-05,5.33E-06
8,It's impossible to tell who is more senior between Annie and Terry because they have different birth dates.,Terry Richardson,0,0.1,6.7502901,0.001837557,0.000539545,0.0149188,4.04E-06,1.19E-06
9,"Yes, LocalH and FortAgainst are both based in the US.",yes,0,0,4.7128582,0.00128292,0.000376692,0.0224446,6.09E-06,1.79E-06
10,"The University of Kansas Fight Song is called ""Fight On Blue.""",Kansas Song,0,0.307692308,4.5097044,0.00122762,0.000360455,0.0678615,1.84E-05,5.42E-06
11,"The screenwriter is Christopher Nolan. He co wrote the screenplay for the film ""The Prestige"".",David Weissman,0,0,5.7788873,0.001573118,0.0004619,0.0478353,1.30E-05,3.82E-06
12,There is no evidence or record indicating that Guns n' Roses have performed a promotional campaign for any film featuring Arnold Schwarzenberger.,1999,0,0,8.3674744,0.002277791,0.000668806,0.0486572,1.32E-05,3.88E-06
13,"Yes, RandomHouseTower is a commercial office building that serves as the headquarters for Random Housing Corporation, while 301 West 42nd Street is also used by Random Houses for their offices.",no,0,0,12.5913108,0.003427613,0.001006418,0.0407727,1.11E-05,3.25E-06
14,I am unable to provide a specific timeframe for the appointment or tenure of the football Manager who brought David Becksham to Manchester united.,from 1986 to 2013,0,0.071428571,8.3743174,0.002279654,0.000669353,0.0409731,1.11E-05,3.27E-06
15,"The context does not specify the population size of the country, so I cannot answer this question from the provided context.","9,984",0,0,7.2224817,0.001966098,0.000577287,0.0665272,1.81E-05,5.31E-06
16,"American Professional Soccer League (APSL).

The Vermont Cats were members of the APSL during its original run from1 9 8 7 to1  9  a 2 .",the North Atlantic Conference,0,0.066666667,12.0196268,0.003271987,0.000960723,0.2048734,5.57E-05,1.64E-05
17,"No, they were not both opera composers.",yes,0,0,3.097163,0.000843095,0.00024755,0.0155608,4.21E-06,1.24E-06
