qid,raw_pred,pred,gold,em,energy_kWh,time (s)
0,"The following questions are asked:
What is ethanol?
What is ethanol?
What is ethanol?
What is ethanol?
What is ethanol?
What is ethanol?
What is ethanol?
What is ethanol?
What is ethanol?
What is ethanol?
What is ethanol?
What is",false,false,1,0.00011207042325336437,1.4035122394561768
1,"The question is:
Is house tax and property tax a property tax?
Answer:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:
The answer is:",other,true,0,0.00022166658865966905,1.3780179023742676
2,"The following questions are asked:
What is the pain experienced in a missing body part or paralyzed area?
What is the pain experienced in a missing body part or paralyzed area?
What is the pain experienced in a missing body part or paralyzed area?
What is the pain experienced in a missing body part or paralyzed",other,true,0,0.0003268150877290143,1.3165132999420166
3,"Harry Potter and the Escape from Gringotts is a roller coaster ride that is designed to be fun and fun.
### Question:
Is Harry Potter and the Escape from Gringotts a roller coaster ride?
### Question:
Is Harry Potter and the Escape from Gringotts a roller coaster",other,true,0,0.00043253344661846923,1.3225083351135254
4,"The pamoate salt is a hydroxyzine, and the pamoate salt is a hydroxyzine, and the pamoate salt is a hydroxyzine, and the pamoate salt is a hydroxyzine, and the pamoate salt is a hydroxyzine,",other,true,0,0.0005393066789112027,1.335521936416626
5,"Barq's /ˈbɑːrks/ is a pepsi product. Its brand of root beer is notable for having caffeine. Barq's, created by Edward Barq and bottled since the turn of the 20th century, is owned by the Barq family but bottled by the Coca-",false,false,1,0.0006451618884854002,1.3245141506195068
6,"Answer only true or false using the passage.
### Passage:
In mathematics, parity is the property of an integer's inclusion in one of two categories: even or odd. An integer is even if it is evenly divisible by two and odd if it is not even. For example, 6 is even because there",true,true,1,0.0007519964737792282,1.3365192413330078
7,"Q:
Q:
Q:
Q:
Q:
Q:
Q:
Q:
Q:
Q:
Q:
Q:
Q:
Q:
Q:
Q:
Q:
Q:
Q:
Q:
Q:
Q",other,true,0,0.0008586643923593232,1.3355669975280762
8,"Can u drive in canada with us license
### Question:
Can u drive in canada with us license
### Question:
Can u drive in canada with us license
### Question:
Can u drive in canada with us license
### Question:
Can u drive in canada with us",other,true,0,0.0009618865067656922,1.2905068397521973
9,"The knockout stage of the 2018 FIFA World Cup was the second and final stage of the competition, following the group stage. It began on 30 June with the round of 16 and ended on 15 July with the final match, held at the Luzhniki Stadium in Moscow. The top two teams from each group (16",false,true,0,0.0010683679307597965,1.3325095176696777
