qid,prompt,original_pred,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who is the owner of reading football club
Answer: ",The owner of Reading Football Club is John W. Campbell., owner of reading football club is john w campbell,Dai Yongge,0,0.0,0.07108479999988049,1.9168603888788815e-05,5.628296786475467e-06,0.0,0.0,0.0
1,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who was the first lady nominated member of the rajya sabha
Answer: ",Rajya Sabha member.,rajya sabha member,Mary Kom,0,0.0,0.38599039999826346,0.00010844433229950296,3.1841488849887025e-05,0.0,0.0,0.0
2,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: cast of law & order special victim unit
Answer: ","The cast of *Law & Order: Special Victims Unit* includes:  - **David Schwimmer** as **Eliot Kerner**  - **Julie Tschida** as **Samantha ""Sam"" Kerner**  - **Matthew Perry** as **Frank ""Frank"" Hower**  - **Jenna Coleman** as **Lisa ""Liz"" Hower**  - **Sandra Bullock** as **Diane ""Diane"" ""Daisy"" Hower**  - **Jared Leto** as **Derek ""Derek"" Hower**  - **Gretchen Mol** as **Morgan ""Morgan"" Hower**  - **Morgan Freeman** as **Pete ""Pete"" Hower**  - **David Schwimmer** as **Eliot Kerner** (recurring)  - **Jared Leto** as **Derek ""Derek"" Hower** (recurring)", jared leto as derek derek hower recurring,Christopher Meloni,0,0.0,1.0057928000005631,0.00031798198439241616,9.336605791930794e-05,0.0,0.0,0.0
3,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who designed the garden city of new earswick
Answer: ",Lancelot Freke,lancelot freke,planner Raymond Unwin and the architect Barry Parker,0,0.0,0.14876779999940482,4.262196741672638e-05,1.2514687226915238e-05,0.0,0.0,0.0
4,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: what is the first step in the evolution of the eye
Answer: ",The first step in the evolution of the eye is the formation of a **persistence of vision** in the developing embryo., first step in evolution of eye is formation of persistence of vision in developing embryo,"photoreceptor proteins that sense light, found even in unicellular organisms, called ""eyespots""",0,0.07407407407407407,0.30708400000003166,8.85053207501208e-05,2.5986984511440093e-05,0.0,0.0,0.0
5,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who is the president of usa right now
Answer: ",Joe Biden,joe biden,Donald Trump,0,0.0,0.22859369999969203,6.082867412192194e-05,1.786055119466549e-05,0.0,0.0,0.0
6,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who died in the plane crash greys anatomy
Answer: ",Meredith Grey.,meredith grey,Dr. Lexie Grey,0,0.4,0.3489306999999826,9.761180136865471e-05,2.8660834724984995e-05,0.0,0.0,0.0
7,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: where does kylo ren's name come from
Answer: ","Kylo Ren's name comes from the Indonesian word ""kylo "" which means ""child"" or ""son.""",kylo rens name comes from indonesian word kylo which means child or son,"the character, ""came to the name Kylo Ren when he joined a group called the Knights of Ren.""",0,0.14814814814814817,0.3510640999993484,9.86281087251748e-05,2.8959243490795992e-05,0.0,0.0,0.0
8,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: what type of car is a jeep considered
Answer: ",A Jeep is considered a military vehicle., jeep is considered military vehicle,sport utility vehicles,0,0.0,0.2860185999998066,8.060195634038489e-05,2.3666393989160182e-05,0.0,0.0,0.0
9,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: what is the name of manchester united stadium
Answer: ",Old Trafford,old trafford,Old Trafford,1,1.0,0.22428500000023632,6.113307708124171e-05,1.7949930171229094e-05,0.0,0.0,0.0
10,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who is rose in the fall season 2
Answer: ","Rose is a character in the TV series ""The Fall Season "" played by actress Emily Ratajkowski. She is a young woman who moves to New York City and becomes involved in the city's underground art scene.",rose is character in tv series fall season played by actress emily ratajkowski she is young woman who moves to new york city and becomes involved in citys underground art scene,a woman who had a sexual relationship with Paul whilst at university,0,0.0975609756097561,0.3760576000004221,0.00010823165373882051,3.1779042045383886e-05,0.0,0.0,0.0
11,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: what is the corporate tax rate in great britain
Answer: ",The corporate tax rate in Great Britain is 19%., corporate tax rate in great britain is 19,a flat rate of 20%,0,0.16666666666666666,0.3906735000000481,0.00011029092009352257,3.238368504775953e-05,0.0,0.0,0.0
12,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: what is the meaning of the name sinead
Answer: ","Sinead is a name meaning ""sun"" in Irish.",sinead is name meaning sun in irish,God forgave/God gratified,0,0.0,0.34225490000062564,9.743598412932507e-05,2.860921116341175e-05,0.0,0.0,0.0
13,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: which five year plan was affected by indo pak indo china war
Answer: ",The 5th Five-Year Plan (1961–1965) was affected by the Indo-Pak Indo-China War., 5th fiveyear plan 1961–1965 was affected by indopak indochina war,The Third Five-year Plan,0,0.30769230769230765,0.4007485000001907,0.000112572657941978,3.305365026142604e-05,0.0,0.0,0.0
14,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: what are three different types of hotel properties
Answer: ",Residential commercial and hospitality.,residential commercial and hospitality,Hotel barge,0,0.0,0.26673399999890535,7.489594609337905e-05,2.199099189294376e-05,0.0,0.0,0.0
15,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who decides the number of judges in the high court
Answer: ",The number of judges in the High Court is decided by the government., number of judges in high court is decided by government,the President of India,0,0.15384615384615383,0.36103629999888653,0.00010062402795739405,2.9545286473682943e-05,0.0,0.0,0.0
16,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who has won the mens singles title in the australian open tennis tournament
Answer: ",Roger Federer,roger federer,Roger Federer,1,1.0,0.1683441999994102,4.748428486911734e-05,1.394236374685843e-05,0.0,0.0,0.0
17,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: where does the brain get its energy from
Answer: ",The brain gets its energy from glucose which is metabolized in the mitochondria through cellular respiration., brain gets its energy from glucose which is metabolized in mitochondria through cellular respiration,"most of its energy from oxygen-dependent metabolism of glucose (i.e., blood sugar)",0,0.30769230769230765,0.34154560000024503,9.525504586391662e-05,2.796884278280793e-05,0.0,0.0,0.0
18,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: where was the first season of slasher filmed
Answer: ",Los Angeles California.,los angeles california,"Sudbury, Parry Sound, and Sault Ste. Marie, Ontario",0,0.0,0.21780630000102974,6.0910031749643805e-05,1.788443946933165e-05,0.0,0.0,0.0
19,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who said if a tree falls in the woods and nobody hears it
Answer: ",Stephen Crane.,stephen crane,Charles Riborg Mann,0,0.0,0.1824477999998635,5.069319000658931e-05,1.4884564367108157e-05,0.0,0.0,0.0
20,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: the seed of a gymnosperm seed is made in the
Answer: ",The seed of a gymnosperm is made in the **ovule**., seed of gymnosperm is made in ovule,the surface of scales or leaves,0,0.16666666666666666,0.34544219999952475,9.657311496771818e-05,2.8355855010945096e-05,0.0,0.0,0.0
21,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: where would a subcutaneous injection be made in the skin
Answer: ",The subcutaneous injection is made in the fatty layer of the skin just beneath the epidermis., subcutaneous injection is made in fatty layer of skin just beneath epidermis,"into the subcutis,[1] the layer of skin directly below the dermis and epidermis",0,0.3636363636363636,0.3342817999982799,9.381520462709163e-05,2.754607574910671e-05,0.0,0.0,0.0
22,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: when do primary ossification centers appear in an embryo
Answer: ",At approximately 3 weeks of gestation.,at approximately 3 weeks of gestation,prenatal development,0,0.0,0.2664511000002676,7.51299812255516e-05,2.205970942657173e-05,0.0,0.0,0.0
23,"Answer the question. Provide concise, direct answers without excessive reasoning or repetition. Question: who wrote there's a guy works down the chip shop lyrics
Answer: ","The lyrics ""There's a Guy Works Down the Chip Shop"" were written by **Ian MacKaye**.", lyrics theres guy works down chip shop were written by ian mackaye,Kirsty MacColl/Philip Rambow,0,0.0,0.3816303000003245,0.00010916849111539187,3.20541167887819e-05,0.0,0.0,0.0
