qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,Scott Derrickson is an American director known for his,yes,0,0.0,4.709525999991456,0.0012820132772236117,0.0003764254950584435,0.0,0.0,0.0
1,"I am sorry, I cannot answer that question.",Chief of Protocol,0,0.0,1.3199854999838863,0.00035930411221714976,0.00010549908547810173,0.0,0.0,0.0
2,"I am sorry, I cannot answer that question.",Animorphs,0,0.0,1.414080999995349,0.00038491888222439834,0.0001130201093645844,0.0,0.0,0.0
3,"I am sorry, I cannot answer that question.",no,0,0.0,1.1945711000007577,0.00032516331111336413,9.547464330928418e-05,0.0,0.0,0.0
4,"The director of the romantic comedy ""Big Stone Gap","Greenwich Village, New York City",0,0.0,1.2336090999888256,0.0003357921294455688,9.859548322074833e-05,0.0,0.0,0.0
5,The 2014 S/S album is,YG Entertainment,0,0.0,1.3007279000012204,0.00035406376943946164,0.00010396041293904726,0.0,0.0,0.0
6,Aladdin is the stage name of Sir John A,Eenasul Fateh,0,0.0,1.2318891000177246,0.00033532489444688604,9.84582934046891e-05,0.0,0.0,0.0
7,"The Lewiston Maineiacs, as part of","3,677 seated",0,0.0,1.2295922999910545,0.00033469933999860787,9.8274617738405e-05,0.0,0.0,0.0
8,As of my last update in 202,Terry Richardson,0,0.0,1.08052950000274,0.000294123803340901,8.636080471868595e-05,0.0,0.0,0.0
9,Local H and For Against are both popular brands in,yes,0,0.0,1.1108316000027116,0.00030237216833209254,8.878269451530032e-05,0.0,0.0,0.0
10,The university you're referring to is the University of,Kansas Song,0,0.0,1.4503053999796975,0.00039478374666521425,0.00011591663668359973,0.0,0.0,0.0
11,"I am sorry, I cannot answer that question.",David Weissman,0,0.0,1.3203709999797866,0.00035941206610926507,0.00010553078296361529,0.0,0.0,0.0
12,Guns N' Roses is a well-known rock,1999,0,0.0,1.3385560999740846,0.0003643618194408999,0.00010698413245802372,0.0,0.0,0.0
13,As of my last update in July 20,no,0,0.0,1.2323797999997623,0.00033545871666800745,9.849758636423203e-05,0.0,0.0,0.0
14,David Beckham was recruited by Manchester United in 1,from 1986 to 2013,0,0.0,1.1491725000087172,0.0003128078288874046,9.18468193263182e-05,0.0,0.0,0.0
15,"Brown State Fishing Lake is located in Ohio, USA","9,984",0,0.0,1.2085198999848217,0.0003289633761100251,9.659042063627114e-05,0.0,0.0,0.0
16,The Vermont Catamounts men's soccer team currently,the North Atlantic Conference,0,0.18181818181818182,1.5099073000019416,0.00041100827666054504,0.00012068049275598711,0.0,0.0,0.0
17,"Yes, both Giuseppe Verdi and Ambro",yes,0,0.0,1.1411741999909282,0.0003106310338912105,9.120766749486631e-05,0.0,0.0,0.0
18,Roger O. Egeberg served as the Assistant,1969 until 1974,0,0.0,1.359361999988323,0.0003700265727775534,0.00010864742067587406,0.0,0.0,0.0
19,The writer from England is Robert Erskine Child,Robert Erskine Childers DSC,0,0.3333333333333333,1.1756131000001915,0.00032000600000368044,9.39603505775916e-05,0.0,0.0,0.0
20,As of my last update in July 20,Pedro Rodríguez,0,0.0,1.3189102000033017,0.00035901448111431413,0.00010541404382275684,0.0,0.0,0.0
21,"I am sorry, I cannot answer that question.",Sonic,0,0.0,1.1557206999859773,0.0003145911394450296,9.237043602469649e-05,0.0,0.0,0.0
22,Apple Remote is a universal remote control that supports various,keyboard function keys,0,0.0,1.2968874000071082,0.00035301917000356807,0.00010365369703619361,0.0,0.0,0.0
23,"I am sorry, I cannot answer that question.",Badly Drawn Boy,0,0.0,1.267256199993426,0.0003449528900007459,0.00010128527114132454,0.0,0.0,0.0
24,"I am sorry, I cannot answer that question.",World's Best Goalkeeper,0,0.0,1.3394932999799494,0.0003646170127776309,0.00010705906247616098,0.0,0.0,0.0
25,These Boots Are Made for Walkin' is a,Barton Lee Hazlewood,0,0.0,1.3079620000207797,0.00035603384611103037,0.00010453886801402462,0.0,0.0,0.0
26,The Virginia Commonwealth University (VCU) was founded,1838,0,0.0,1.5846649000013713,0.0004313590833364287,0.00012665590862250472,0.0,0.0,0.0
27,Both *Dictyosperma* and *,yes,0,0.0,1.1949508000107016,0.00032526885666755127,9.550563365719395e-05,0.0,0.0,0.0
28,The American industrialist you are referring to is Joseph,Henry J. Kaiser,0,0.0,1.2870359999942593,0.0003503374205561057,0.00010286628018075363,0.0,0.0,0.0
29,"The adventure in ""Tunnels and Trolls",Arena of Khazan,0,0.0,1.352963200013619,0.0003682840472221465,0.00010813577929391699,0.0,0.0,0.0
30,"I am sorry, I cannot answer that question.",2000,0,0.0,1.1573324999772012,0.0003150280688868305,9.249872750525876e-05,0.0,0.0,0.0
31,Buck-Tick is a fictional character from the,"Fujioka, Gunma",0,0.0,1.2136857000004966,0.00033037011055857875,9.700346683526166e-05,0.0,0.0,0.0
32,"The ""L'Oiseau Blanc"" is a",Charles Eugène,0,0.0,1.139586600009352,0.00031019974278266696,9.108103154504262e-05,0.0,0.0,0.0
33,"Yes, both ""Freakonomics"" and",no,0,0.0,1.1804884999874048,0.00032133234333014114,9.43497922878691e-05,0.0,0.0,0.0
34,Screaming Trees is a band that has fewer,Letters to Cleo,0,0.0,1.1890387999883387,0.0003236607872231009,9.503347135788727e-05,0.0,0.0,0.0
35,The Bolsheviks were the ruling party in the Soviet,October 1922,0,0.0,1.3037280000280589,0.0003548799444491225,0.00010420005872706223,0.0,0.0,0.0
36,Seven Brief Lessons on Physics was written by an Italian,2000,0,0.0,1.2462927000015043,0.00033924656166717693,9.960977564834373e-05,0.0,0.0,0.0
37,The Livesey Hal War Memorial commemorates the fallen,World War II,0,0.18181818181818182,1.3005816000222694,0.00035402543611368553,0.00010394915748530987,0.0,0.0,0.0
38,"Elko Regional Airport is indeed located in Michigan,",no,0,0.0,1.2016063000191934,0.0003270827622235325,9.603823367704571e-05,0.0,0.0,0.0
39,Ralph Hefferline was a psychology professor at,New York City,0,0.0,1.2176037000026554,0.0003314376316712393,9.73169130143752e-05,0.0,0.0,0.0
40,The Manchester Terrier is the dog whose ancestors include,Scotch Collie,0,0.0,1.2775366999849211,0.00034775265444526057,0.00010210733962984742,0.0,0.0,0.0
41,As of my last update in 202,Mumbai,0,0.0,1.2097580000117887,0.0003293019222299336,9.668982474779692e-05,0.0,0.0,0.0
42,"I am sorry, I cannot answer that question.",1962,0,0.0,1.460986199992476,0.000397690666112208,0.0001167701680871897,0.0,0.0,0.0
43,"I am sorry, I cannot answer that question.",sovereignty,0,0.0,1.214067900000373,0.0003304741766620686,9.703402278598456e-05,0.0,0.0,0.0
44,Alfred Balk did not serve as the secretary of,Nelson Rockefeller,0,0.0,1.3617592999944463,0.0003706799705512821,0.00010883927171580913,0.0,0.0,0.0
45,"A medieval fortress in Dirleton, East Loth",Yellowcraig,0,0.0,1.3033896000124514,0.0003547902377768575,0.00010417371900101001,0.0,0.0,0.0
46,"The song ""Back to Mono"" from the album",Phil Spector,0,0.0,1.418099100003019,0.00038601476277900576,0.00011334188245977916,0.0,0.0,0.0
47,"I am sorry, I cannot answer that question.",Organizations could come together to address global issues,0,0.0,1.1058581999968737,0.00030101671166824715,8.838470452971824e-05,0.0,0.0,0.0
48,"Yes, both Ferocactus and Silene are",yes,0,0.0,1.1136226000089664,0.0003031313994432114,8.900562040221908e-05,0.0,0.0,0.0
49,The question refers to a specific period and context that,English Electric Canberra,0,0.0,1.2637736000178847,0.0003440058850007417,0.00010100721097433359,0.0,0.0,0.0
50,The question seems to be asking about the history of,2009 Big 12 Conference,0,0.0,1.605329999991227,0.00043698519610625225,0.00012830785117431812,0.0,0.0,0.0
51,As of the available information up to 20,"1,462",0,0.0,1.4480839000025298,0.0003941777583328076,0.00011573870603180505,0.0,0.0,0.0
52,The racetrack in the Midwest that hosts a,Indianapolis Motor Speedway,0,0.0,1.2448507999943104,0.00033885223111153914,9.949399207787706e-05,0.0,0.0,0.0
53,"The ""Prince of Tenors"" is a film",Rome,0,0.0,1.3777220000047237,0.0003750242294463937,0.00011011483557642367,0.0,0.0,0.0
54,"Ellie Goulding's third studio album, *","Max Martin, Savan Kotecha and Ilya Salmanzadeh",0,0.0,1.2124218000099063,0.0003300259327755257,9.690240915147976e-05,0.0,0.0,0.0
55,The Australian city that founded a boarding school opened by,"Marion, South Australia",0,0.0,1.4968011000019033,0.0004074210522195143,0.00011962720979855545,0.0,0.0,0.0
56,D1NZ is not directly associated with a specific,Drifting,0,0.0,1.1402549000049476,0.0003103798122247099,9.113390364088605e-05,0.0,0.0,0.0
57,As of my last update in July 20,Keith Bostic,0,0.0,1.12362659999053,0.0003058557961140953,8.980555936056901e-05,0.0,0.0,0.0
58,The information you're asking for pertains to a,"35,124",0,0.0,1.336800300021423,0.00036388476222200554,0.00010684405863586923,0.0,0.0,0.0
59,"Yes, both **Cypress** and **Aj",no,0,0.0,1.0388285999943037,0.0002827721477749744,8.302772491206277e-05,0.0,0.0,0.0
60,The question seems to be asking about a specific individual,shortest player ever to play in the National Basketball Association,0,0.20000000000000004,1.6151068999897689,0.0004396459399999003,0.0001290891003666504,0.0,0.0,0.0
61,The question refers to a film whose scoring is attributed,Ronald Shusett,0,0.0,1.251656800013734,0.0003407070383337365,0.00010003860166910194,0.0,0.0,0.0
62,Both Emma Bull and Virginia Woolf were significant figures,Adeline Virginia Woolf,0,0.3333333333333333,1.106386500003282,0.00030116085555750437,8.84270281435507e-05,0.0,0.0,0.0
63,"The nursery rhyme ""What Are Little Girls Made Of",821,0,0.0,1.2582352999888826,0.0003424968416627962,0.00010056412477886067,0.0,0.0,0.0
64,As of my last update in 202,more than 70 countries,0,0.0,1.3032065999868792,0.00035473794333051455,0.00010415836427481241,0.0,0.0,0.0
65,Rose McGowan is a versatile actress who has appeared,Charmed,0,0.0,1.2676576999947429,0.000345061713888491,0.00010131722407546836,0.0,0.0,0.0
66,Vince Phillips held his junior welterweight title,International Boxing Hall of Fame,0,0.0,1.253730500000529,0.0003412715444464185,0.00010020435228705968,0.0,0.0,0.0
67,"The song you're referring to is likely ""Call",Usher,0,0.0,1.5168893999943975,0.0004129063477718672,0.00012123780551586967,0.0,0.0,0.0
68,"I am sorry, I cannot answer that question.",Bill Murray,0,0.0,1.2097738000156824,0.00032930189610956903,9.668981707832006e-05,0.0,0.0,0.0
69,"I am sorry, I cannot answer that question.",Carabao Cup,0,0.0,1.6753432000114117,0.00045604100999820123,0.00013390303049535672,0.0,0.0,0.0
70,Tara Strong does not have a major voice role,Teen Titans Go!,0,0.0,1.578678999998374,0.0004297224883339368,0.00012617537063201108,0.0,0.0,0.0
71,"I am sorry, I cannot answer that question.","276,170 inhabitants",0,0.0,1.4664241999853402,0.0003991686733337701,0.00011720414143985368,0.0,0.0,0.0
72,"I am sorry, I cannot answer that question.",orange,0,0.0,1.4408010999904945,0.0003921934477729438,0.00011515607159414616,0.0,0.0,0.0
73,"The 1996 film adaptation of """,Tromeo and Juliet,0,0.0,1.5020222000021022,0.0004088574099975327,0.00012004895401702608,0.0,0.0,0.0
74,"I am sorry, I cannot answer that question.",William Jefferson Clinton,0,0.0,1.2380969999940135,0.00033701283944246826,9.895390881045891e-05,0.0,0.0,0.0
