qid,pred,gold,em,f1,inference_duration (s),inference_energy_consumed (kWh),inference_emissions (kg),retrieval_duration (s),retrieval_energy_consumed (kWh),retrieval_emissions (kg)
0,Yes! This question will be answered in a separate section below as well (if not more than one). Please note that this article contains information about how we can help our country achieve its goals by providing answers for each other through direct communication with others via email or text messages from within Europe's government agencies such Assemblies,Bologna Process,0,0.0,1.4185682000097586,0.0003861421188882862,0.00011337927683574728,0.0,0.0,0.0
1,No! The closest we have is in our home state and it's not a good place for us at this point (we're still trying). We've been there since January 1st but that doesn't mean they were all over here or somewhere else...We just want people who can help out with their needs as well,107 mi southwest of Louisville,0,0.0,1.3511645999969915,0.00036779394610865794,0.00010799187551573369,0.0,0.0,0.0
2,Where does this team come in? What do they have at their disposal and how many players will be available if there's no one else out here who can help them get started or even start playing with us as we prepare our first game against Arsenal!,United Arab Emirates,0,0.0,1.0855078000022331,0.0002954758394461047,8.675779035782097e-05,0.0,0.0,0.0
3,Yes! It is a very funny film that has been adapted from his own experience and I think it will be one for everyone who wants more than just laughs at this kind-of thing (and if not even some people).,Las Vegas,0,0.0,0.9680335000011837,0.00026349735444584644,7.736824871944556e-05,0.0,0.0,0.0
4,The author has been working for over 20 years and is currently writing about her life in Canada since 2008 (she was born at age 18). She lives with two children who live together; one from their parents but they have no kids yet!,Michel Butor,0,0.0,1.0693559999926947,0.0002910798394412268,8.546703424202104e-05,0.0,0.0,0.0
5,"Berlin is a very small country with about 1 million people and it's not easy for them to get into contact directly from one another or even through Skype chat services like WhatsApp Messenger . It also hosts many other international companies such as Google Hangouts , Facebook Live etc.. but there have been some problems that can be fixed by",Walldorf,0,0.0,1.3808196000027237,0.0003758662755559878,0.00011036207765206928,0.0,0.0,0.0
6,The first time I was there at all (in 1942) my wife and two children were born here; they had been raised by their parents who lived nearby for many years before moving back home from school or going out into town with them as kids when we moved up through our family's neighborhood together.[1] They also,"City of Westminster, London",0,0.0,1.428880499996012,0.00038895039333349104,0.0001142038440356951,0.0,0.0,0.0
7,"The word ""prussian"" means a German-speaking country that has been invaded by Nazi Germany in 1939 and was then annexed into France as part (or later) annexation from Russia after World War II.[1] In addition there have also been reports about how many Germans were killed or wounded when they crossed over with their",War of 1870,0,0.03508771929824561,1.372577000001911,0.0003736226361126885,0.00010970329891460908,0.0,0.0,0.0
8,The two women's doubles champion Serena Williams has won three titles at Wimbledon since her debut with a double-double against Nadal last year (the first time she had ever lost). She is currently ranked No 1 by Tennis magazine as well; it was announced that this would be his third consecutive title win over fellow,French Open,0,0.0,1.367525099994964,0.0003722491922231307,0.00010930002750919787,0.0,0.0,0.0
9,"I am not a fan or writer but my own personal favorite is that it has been published in many different languages (e., English) for over 20 years now! It's also known as “The New York Times” which means we have no idea how much time this book will take us into our lives when",horror fiction,0,0.0,1.393792000002577,0.0003793935833336339,0.00011139776784343719,0.0,0.0,0.0
